N	2gram	Savitsky_E	Hudozhes
1	в качестве	14	31
2	то есть	6	26
3	в мире	2	24
4	и в	37	23
5	не только	18	20
6	состоит в	1	20
7	в том	11	20
8	при этом	1	19
9	может быть	6	19
10	в частности	5	18
11	и не	14	16
12	тогда как	1	15
13	но и	14	14
14	а не	2	13
15	в рамках	1	13
16	но не	5	13
17	а в	2	13
18	в себе	9	13
19	в этом	12	12
20	то же	15	12
21	так и	10	12
22	и его	1	12
23	сводится к	1	11
24	представляет собой	3	11
25	как бы	6	11
26	точки зрения	23	11
27	в его	2	11
28	по отношению	1	10
29	но в	14	10
30	или иной	4	9
31	том что	6	9
32	с другой	7	9
33	не сводится	1	9
34	не в	5	9
35	не может	9	9
36	в принципе	1	8
37	особого рода	1	8
38	в области	11	8
39	в то	16	8
40	что в	21	7
41	в самом	4	7
42	только в	9	7
43	в своей	8	7
44	в основе	1	7
45	же время	14	7
46	в отличие	1	7
47	отличие от	1	7
48	как это	4	7
49	по своей	2	7
50	лишь в	1	7
51	другой стороны	2	6
52	в состав	1	6
53	более или	1	6
54	уже не	1	6
55	можно сказать	4	6
56	с ее	1	6
57	с его	1	6
58	в ее	8	6
59	а также	7	6
60	или менее	1	6
61	всего лишь	3	6
62	в нем	1	6
63	не на	4	5
64	мыслится как	1	5
65	не менее	1	5
66	не является	3	5
67	того чтобы	6	5
68	для того	6	5
69	со стороны	5	5
70	иначе говоря	2	5
71	для него	1	5
72	того что	7	5
73	прежде всего	9	5
74	с другими	2	5
75	в их	11	5
76	а на	1	5
77	или иначе	1	5
78	между ними	2	5
79	той или	4	5
80	тем самым	5	5
81	то что	6	5
82	могут быть	2	5
83	место в	3	5
84	во втором	2	4
85	для себя	1	4
86	например в	1	4
87	в данном	3	4
88	входит в	1	4
89	говорить о	1	4
90	сказать что	4	4
91	к которому	1	4
92	в своем	14	4
93	к тому	8	4
94	и то	2	4
95	в отношении	32	4
96	и как	2	4
97	в этих	2	4
98	того или	4	4
99	между тем	8	4
100	он не	2	4
101	и тем	3	4
102	и что	2	4
103	далеко не	2	4
104	и о	1	4
105	в силу	2	4
106	или иного	4	4
107	хотя и	2	4
108	в той	5	3
109	и к	3	3
110	человеческой жизни	1	3
111	и на	6	3
112	всех и	1	3
113	с этой	6	3
114	даже в	4	3
115	если бы	2	3
116	и сам	1	3
117	есть в	2	3
118	а именно	2	3
119	в жизни	1	3
120	имеет место	2	3
121	как и	7	3
122	культуры в	4	3
123	и того	2	3
124	к нему	2	3
125	потому что	3	3
126	одной стороны	8	3
127	как совокупность	4	3
128	отношении к	15	3
129	в одном	2	3
130	не обязательно	1	3
131	известной степени	3	3
132	мог бы	2	3
133	во всей	2	3
134	от себя	1	3
135	и для	3	3
136	таким образом	2	3
137	по преимуществу	2	3
138	с одной	8	3
139	том числе	1	3
140	с точки	17	3
141	и притом	4	3
142	связи с	1	3
143	в таком	3	3
144	в связи	1	3
145	по своему	7	3
146	во всех	6	3
147	в свою	3	3
148	не будет	3	3
149	к области	1	3
150	в пределах	25	3
151	этом смысле	3	3
152	того же	3	3
153	перед лицом	1	3
154	одного и	1	3
155	являет собой	1	3
156	и прежде	3	3
157	в культуре	3	3
158	и ее	1	3
159	поскольку не	1	2
160	мире и	1	2
161	и другие	1	2
162	обращены к	1	2
163	однако с	1	2
164	один из	1	2
165	таковы например	1	2
166	для возникновения	1	2
167	с ним	1	2
168	не как	1	2
169	а затем	1	2
170	одно из	1	2
171	по себе	4	2
172	в них	3	2
173	оно не	1	2
174	этой точки	5	2
175	заключается в	2	2
176	все эти	1	2
177	именно в	4	2
178	в порядке	2	2
179	значительной степени	1	2
180	с ними	1	2
181	как в	3	2
182	жизни в	3	2
183	ни для	1	2
184	в известном	3	2
185	в каком	4	2
186	о том	3	2
187	в аспекте	1	2
188	свою очередь	2	2
189	ними и	2	2
190	при условии	2	2
191	между собой	2	2
192	духовной жизни	2	2
193	на основе	2	2
194	времени в	1	2
195	слова и	1	2
196	или иных	1	2
197	речь идет	1	2
198	вслед за	6	2
199	и это	1	2
200	так же	9	2
201	существования в	3	2
202	и наоборот	1	2
203	из перечисленных	1	2
204	об этом	1	2
205	если мы	1	2
206	в нашем	1	2
207	для понимания	2	2
208	который в	1	2
209	одна из	1	2
210	этого слова	1	2
211	в противном	1	2
212	в самой	1	2
213	чем это	1	2
214	никогда не	3	2
215	и по	5	2
216	жизни но	1	2
217	начиная с	2	2
218	бы то	4	2
219	то в	4	2
220	но на	3	2
221	одной из	5	2
222	ни столь	2	2
223	несмотря на	4	2
224	но от	1	2
225	ни было	4	2
226	в формах	1	2
227	ее в	3	2
228	способность к	1	2
