N	3gram	Tiupa_Teor	Komedia
1	в том что	10	29
2	к тому же	1	21
3	в то же	8	16
4	то же время	8	16
5	в самом деле	2	13
6	о том что	1	13
7	для того чтобы	5	11
8	в то время	1	11
9	в свою очередь	3	10
10	едва ли не	1	10
11	по отношению к	10	9
12	с одной стороны	3	9
13	речь идет о	1	8
14	с другой стороны	6	8
15	и в самом	2	8
16	обращает на себя	1	7
17	так или иначе	5	7
18	бы то ни	2	7
19	то ни было	2	7
20	на себя внимание	1	7
21	в первую очередь	1	7
22	в отличие от	7	6
23	в том числе	3	6
24	в связи с	3	6
25	с точки зрения	3	6
26	что он не	1	5
27	то же самое	1	5
28	тем не менее	3	5
29	том что он	2	5
30	в самом начале	2	4
31	именно потому что	1	4
32	к тому что	2	4
33	не в состоянии	1	4
34	по своему происхождению	1	3
35	друг от друга	1	3
36	более или менее	6	3
37	в соответствии с	2	3
38	в последние десятилетия	1	3
39	состоит в том	6	3
40	с первых же	1	3
41	не более чем	1	3
42	в новое время	1	3
43	том числе и	2	3
44	мере в какой	1	2
45	одной стороны и	1	2
46	в конечном счете	6	2
47	в известной степени	1	2
48	в большинстве случаев	1	2
49	в этом смысле	3	2
50	при этом что	2	2
51	с этой точки	2	2
52	как видно из	1	2
53	таким же образом	1	2
54	как и в	2	2
55	том что она	1	2
56	в первом случае	1	2
57	в отношении к	2	2
58	в зависимости от	1	2
59	точно так же	1	2
60	и в то	2	2
61	том что в	1	2
62	не было и	1	2
63	каждой из них	1	2
64	в основе своей	2	2
65	со своей стороны	1	2
66	если говорить о	1	2
67	так и не	5	2
68	этой точки зрения	2	2
69	и тем более	1	2
70	в одной из	1	2
71	таким образом и	1	2
72	подобно тому как	3	2
73	так же как	1	2
74	имеем в виду	3	2
75	мы имеем в	3	2
76	в этом случае	1	2
77	в поле зрения	1	2
78	я думаю что	1	2
79	а в другом	1	1
80	даже в том	1	1
81	друг перед другом	1	1
82	если никто не	1	1
83	никак не может	1	1
84	в той мере	1	1
85	в литературе нового	1	1
86	не может быть	5	1
87	только в условиях	1	1
88	себе отчет в	1	1
89	можно сказать что	3	1
90	имеем дело с	1	1
91	далекого прошлого с	1	1
92	литературе нового времени	1	1
93	она могла бы	1	1
94	и те и	1	1
95	и частной жизни	1	1
96	в коем случае	2	1
97	если он не	1	1
98	принадлежат к числу	1	1
99	того или иного	6	1
100	бы ни был	1	1
101	такова в частности	1	1
102	одного и того	4	1
103	но он не	2	1
104	в том случае	1	1
105	и не могла	1	1
106	в себе самом	1	1
107	а между тем	1	1
108	ни в коем	2	1
109	таким образом что	1	1
110	не сводится к	9	1
111	в полной мере	1	1
112	а тем более	1	1
113	и тем самым	2	1
114	и прежде всего	1	1
115	в данном случае	5	1
116	можно говорить о	1	1
117	той мере в	1	1
118	так же точно	1	1
119	решающая роль в	1	1
120	и в пределах	1	1
121	и того же	4	1
122	в рамках этой	1	1
123	точки зрения у	1	1
124	к вопросу о	1	1
125	в такое же	1	1
126	и не дает	1	1
127	в одном случае	1	1
128	имея в виду	1	1
129	в значительной степени	2	1
130	в частности с	1	1
131	мы имеем дело	2	1
132	может и не	1	1
133	при этом они	1	1
134	вовсе не означает	1	1
135	на задний план	1	1
136	те и другие	1	1
137	той или иной	3	1
138	но прежде всего	1	1
139	человека и его	1	1
140	он не только	1	1
141	в котором по	1	1
142	на второй план	1	1
143	по крайней мере	1	1
144	к более или	1	1
145	что одна из	1	1
146	в свое время	1	1
147	как бы в	1	1
148	в целом ряде	1	1
149	как один из	1	1
150	в общественном сознании	2	1
151	как впрочем и	1	1
152	связи с этим	1	1
153	в настоящее время	1	1
154	в основе его	1	1
155	во времени и	1	1
156	и здесь мы	1	1
157	со всех сторон	1	1
158	в противном случае	2	1
159	не что иное	1	1
160	и в частности	1	1
161	даже если она	1	1
162	между тем к	1	1
163	автор обращается к	1	1
164	жизнь в которой	1	1
165	в лучшем случае	1	1
166	состоит не в	1	1
167	нового времени в	1	1
168	однако и в	1	1
169	а в ее	1	1
170	как раз в	1	1
171	в частности все	1	1
172	принципиальное различие между	1	1
173	но только не	1	1
174	том случае если	1	1
175	что иное как	1	1
176	к окружающему его	1	1
177	со временем получает	1	1
178	в виду что	1	1
179	как уже говорилось	2	1
180	сама по себе	2	1
181	так и против	1	1
