N	4gram	Bakhtin_Pr	SlovoVZh
1	дело в том что	2	4
2	так как если бы	1	4
3	но тем не менее	1	2
4	одно и то же	1	2
5	мы имеем дело с	1	1
6	подчеркнем еще раз что	2	1
7	на самом же деле	2	1
8	но в то же	3	1
9	становятся все более и	1	1
10	что мы имеем в	1	1
11	одному и тому же	2	1
12	убедиться в этом достаточно	1	1
13	как мы уже сказали	2	1
14	как если бы оно	1	1
15	ни на один миг	1	1
16	одним и тем же	1	1
17	все более и более	1	1
18	мы имеем в виду	3	1
19	это один и тот	1	1
20	героя никогда не бывает	1	1
21	является и так называемый	1	1
22	еще раз подчеркнуть что	1	1
23	звучит так как если	1	1
24	мы ни на один	1	1
25	в том что все	1	1
26	по отношению к ним	1	1
27	раз подчеркнуть что мы	1	1
28	чтобы убедиться в этом	1	1
29	и не может быть	5	1
30	в то же время	8	1
31	на один миг не	1	1
32	один и тот же	1	1
