N	2gram	Tiupa_Narr	ViktorSh
1	в книге	1	3
2	в конце	4	2
3	и в	22	2
4	в том	20	2
5	а.н веселовский	1	2
6	том что	15	2
7	в другом	5	1
8	все время	2	1
9	но это	2	1
10	одно и	2	1
11	столь же	6	1
12	их как	1	1
13	главным образом	1	1
14	в самом	8	1
15	как же	1	1
16	и т.д	7	1
17	что слово	1	1
18	для них	2	1
19	а только	1	1
20	себе лишь	1	1
21	от других	1	1
22	то я	1	1
23	именно в	5	1
24	другое дело	1	1
25	самом деле	4	1
26	здесь достаточно	1	1
27	более чем	2	1
28	и составляет	2	1
29	ясно что	2	1
30	речи и	1	1
31	говоря о	2	1
32	в частности	23	1
33	и то	3	1
34	так в	4	1
35	крайней мере	1	1
36	этом и	5	1
37	и его	12	1
38	сводится к	10	1
39	даже не	1	1
40	к чему	3	1
41	значительной степени	1	1
42	на одном	2	1
43	хотя бы	4	1
44	по поводу	3	1
45	далеко не	6	1
46	тем более	2	1
47	по крайней	1	1
48	в которых	1	1
49	говорится в	1	1
50	к этому	2	1
51	только в	23	1
52	же с	1	1
53	потому что	7	1
54	в значительной	1	1
55	в их	1	1
56	и только	2	1
57	то же	12	1
58	по своим	2	1
59	и не	34	1
60	гораздо более	1	1
61	собственно и	3	1
62	я не	5	1
63	дело в	2	1
64	да и	5	1
65	в этом	23	1
66	так как	1	1
67	все это	1	1
68	значит и	1	1
69	сколь и	1	1
