N	2gram	Vygotskiy_	IolandNe
1	и с	5	3
2	что в	39	2
3	оба они	1	2
4	он не	8	2
5	должен быть	2	2
6	бы что	2	2
7	ничего не	4	2
8	о достоевском	1	2
9	и не	24	2
10	в этом	21	2
11	какую роль	1	1
12	все эти	7	1
13	для того	12	1
14	и очень	2	1
15	а в	10	1
16	и о	4	1
17	же это	1	1
18	жил в	1	1
19	понятий и	3	1
20	утверждает что	5	1
21	это было	1	1
22	у всех	2	1
23	и со	1	1
24	и та	1	1
25	что для	5	1
26	для него	1	1
27	не остается	2	1
28	стали бы	1	1
29	вплоть до	3	1
30	психологии творчества	1	1
31	и создавал	1	1
32	при такой	2	1
33	тех же	2	1
34	тем что	7	1
35	только что	3	1
36	бы его	1	1
37	а если	1	1
38	и чрезвычайно	1	1
39	того же	3	1
40	с а	2	1
41	художественного творчества	6	1
42	не так	2	1
43	введение в	1	1
44	и др	1	1
45	преступления и	1	1
46	жизни и	5	1
47	вечный эдип	2	1
48	они любили	1	1
49	с другой	7	1
50	в целом	8	1
51	он с	1	1
52	человеке и	1	1
53	точно и	4	1
54	значительной мере	1	1
55	очевидно что	7	1
56	в эту	1	1
57	другой стороны	7	1
58	я не	1	1
59	произведения и	2	1
60	автор не	1	1
61	могло бы	5	1
62	то и	2	1
63	и еще	1	1
64	создавал эти	1	1
65	разъясняет не	1	1
66	что при	8	1
67	как только	3	1
68	если бы	10	1
69	следующим образом	1	1
70	в художественном	9	1
71	по существу	6	1
72	и сам	3	1
73	того что	15	1
74	цель и	1	1
75	а с	2	1
76	для других	1	1
77	стало быть	3	1
78	иной как	1	1
79	по поводу	3	1
80	волшебный ключ	2	1
81	так то	1	1
82	и тот	4	1
83	и фантастическая	1	1
84	а также	1	1
85	комплекса эдипа	2	1
86	так и	6	1
87	мышь и	1	1
88	автора и	1	1
89	в основе	13	1
90	в значительной	1	1
91	без этого	1	1
92	о ней	4	1
93	эти произведения	1	1
94	его ученики	1	1
95	комплекс эдипа	2	1
96	того чтобы	13	1
97	произведения это	2	1
98	и без	3	1
99	и творчества	1	1
100	а для	1	1
101	другое дело	1	1
102	этом человеке	1	1
103	бы в	3	1
104	этим и	1	1
105	и ничего	1	1
106	не дает	3	1
107	а по	1	1
108	есть только	7	1
109	и в	55	1
110	видит в	1	1
111	никогда не	13	1
112	своего исследования	2	1
113	кто иной	1	1
114	все это	11	1
115	со всеми	5	1
116	на котором	2	1
117	как о	1	1
118	в них	4	1
