N	3gram	Bakhtin_Pr	VeschiIm
1	не может быть	8	24
2	не что иное	1	12
3	что иное как	1	12
4	тем не менее	2	11
5	по крайней мере	2	10
6	в том что	6	9
7	есть не что	1	8
8	на то что	2	7
9	по сравнению с	6	7
10	сама по себе	2	7
11	с точки зрения	13	6
12	может быть только	1	6
13	так или иначе	1	6
14	в чем же	1	5
15	значит ли это	1	5
16	в то же	8	5
17	и то же	1	5
18	и то что	1	5
19	одно и то	1	5
20	не только в	1	5
21	равно как и	1	4
22	есть прежде всего	1	4
23	более или менее	3	4
24	ли это что	1	4
25	дело в том	3	4
26	о том что	3	4
27	то же время	8	4
28	потому что они	1	4
29	мы видели что	2	3
30	между собою и	1	3
31	и даже не	1	3
32	вбирает в себя	1	3
33	вбирать в себя	1	3
34	и ничем не	1	3
35	именно тем что	1	3
36	можно сказать что	6	3
37	и для всякого	1	3
38	все же не	1	3
39	сами по себе	1	3
40	можно было бы	2	3
41	и в то	3	3
42	в собственном смысле	3	3
43	то что мы	1	3
44	с другой стороны	3	3
45	так же как	1	2
46	потому что я	1	2
47	то что он	1	2
48	в той или	1	2
49	не только их	1	2
50	все то что	2	2
51	мы находим в	3	2
52	а не к	1	2
53	в применении к	1	2
54	мы видим что	1	2
55	в данном случае	1	2
56	так как мы	1	2
57	и еще один	1	2
58	а не то	1	2
59	и без всякого	1	2
60	если же они	1	2
61	знает и понимает	1	2
62	в свое время	4	2
63	хотя бы и	2	2
64	в этом смысле	5	2
65	а следовательно и	2	2
66	с самим собою	6	2
67	но самое главное	1	2
68	это совершенно не	1	2
69	друг с другом	6	2
70	и в конце	2	2
71	что мы имеем	1	2
72	он ничего не	1	2
73	в отношении к	2	2
74	в конце концов	1	2
75	есть и что	1	2
76	и кроме того	1	2
77	в нем нет	3	2
78	тех или иных	2	2
79	даже и не	3	2
80	а затем и	1	2
81	нужно сказать что	2	2
82	а не в	1	2
83	в связи с	1	2
84	к тому что	1	2
85	то что я	1	2
86	во всяком случае	1	2
87	в этом отношении	1	2
88	и в этом	1	2
89	как раз и	1	2
90	в этом и	1	2
91	мы имеем дело	1	2
92	что он не	1	1
93	у нее нет	1	1
94	то что именно	1	1
95	как и во	1	1
96	и в целом	1	1
97	ничего не было	1	1
98	и прежде всего	5	1
99	смысле это не	1	1
100	в той же	1	1
101	таким образом между	1	1
102	была как бы	1	1
103	и может быть	1	1
104	но и в	2	1
105	нисколько не мешает	1	1
106	на него как	1	1
107	потому что это	2	1
108	я не хочу	1	1
109	к одному и	2	1
110	всего этого мы	1	1
111	и тому же	2	1
112	не в этом	1	1
113	этого достаточно чтобы	1	1
114	в xix веке	3	1
115	но между ними	1	1
116	один и тот	1	1
117	здесь как и	1	1
118	жизни не может	1	1
119	и в самом	1	1
120	под тем или	1	1
121	дело не в	1	1
122	если они только	1	1
123	и во всех	3	1
124	и в нем	2	1
125	все еще не	1	1
126	но тут же	1	1
127	она и не	1	1
128	себя самого в	1	1
129	да и сама	1	1
130	и тот же	1	1
131	если бы оно	1	1
132	потому что она	1	1
133	даже когда он	1	1
134	на почве этого	1	1
135	только с самим	1	1
136	него как бы	1	1
137	общаться с самим	1	1
138	мы будем говорить	1	1
139	но и она	2	1
140	он не есть	1	1
141	и один из	1	1
142	остановиться несколько подробнее	2	1
143	вовсе еще не	1	1
144	из них в	2	1
145	то что можно	1	1
146	до сих пор	8	1
147	именно потому что	1	1
148	этом и заключается	1	1
149	это одна из	1	1
150	мы переходим к	1	1
151	бы оно было	1	1
152	же а не	1	1
153	таким образом и	2	1
154	смысле этого слова	2	1
155	самим собою в	1	1
156	то что есть	1	1
157	один из самых	1	1
158	по своей природе	3	1
159	мы не знаем	1	1
160	сказать что не	1	1
161	как мы видим	1	1
162	и вместе с	1	1
163	но только в	2	1
164	одному и тому	2	1
165	в этом случае	1	1
166	точки зрения этого	1	1
167	но в то	3	1
168	может обойтись без	1	1
169	они вовсе не	1	1
170	что они не	1	1
171	и другие формы	1	1
172	этом смысле и	1	1
173	у него нет	1	1
174	в зависимости от	3	1
175	не может обойтись	1	1
176	и вещи в	1	1
177	по существу и	1	1
178	и есть подлинная	1	1
179	в новое время	4	1
180	то же самое	1	1
181	но как раз	1	1
182	самом же деле	2	1
183	что с точки	1	1
184	как и прежде	1	1
185	я не могу	1	1
186	он сам и	1	1
187	на самом же	2	1
188	сущности а не	1	1
189	точки зрения и	1	1
190	не есть и	1	1
191	было бы очень	1	1
192	является одним из	2	1
193	не то что	3	1
194	она проявляется в	1	1
195	мы как бы	1	1
196	это было бы	1	1
197	или хотя бы	1	1
198	и не может	6	1
199	и здесь как	1	1
200	есть все то	1	1
201	мы уже сказали	2	1
202	а также и	3	1
203	нас не интересует	1	1
204	может быть и	2	1
205	здесь как в	1	1
