N	3gram	Propp_Russ	Morfolog
1	и т д	12	60
2	в этих случаях	1	14
3	мы видим что	1	11
4	в этом случае	9	10
5	не может быть	1	9
6	в связи с	4	9
7	по отношению к	1	7
8	мы увидим ниже	2	6
9	с точки зрения	3	6
10	тем не менее	3	6
11	наряду с этим	1	5
12	подобно тому как	3	5
13	как мы увидим	5	5
14	в том что	27	4
15	не может считаться	1	4
16	независимо от того	1	4
17	на самом деле	1	4
18	к тому что	4	4
19	но все же	2	4
20	на то что	2	3
21	в большинстве случаев	2	3
22	о том что	6	3
23	в собственном смысле	1	3
24	как и в	1	3
25	для того чтобы	6	3
26	не значит что	2	3
27	и пр и	1	3
28	в настоящее время	3	3
29	в то время	3	3
30	состоит в том	16	3
31	на первый взгляд	1	3
32	то время как	1	3
33	в научной литературе	1	2
34	это не значит	2	2
35	встречается и в	1	2
36	в точности соответствует	1	2
37	с того что	1	2
38	мы увидим что	1	2
39	то что в	1	2
40	т д а	1	2
41	есть и другие	2	2
42	тем и другим	1	2
43	более или менее	1	2
44	для наших целей	2	2
45	хотя и не	1	2
46	не что иное	3	2
47	можно было бы	2	2
48	точно так же	1	2
49	и таким образом	1	2
50	в данном случае	7	2
51	и в других	7	2
52	но так как	1	2
53	тех случаях когда	2	2
54	можно показать что	1	2
55	можно сделать из	2	2
56	во всяком случае	1	2
57	что иное как	3	2
58	в тех случаях	2	2
59	с этого момента	2	2
60	с одной стороны	1	2
61	в этом отношении	1	2
62	вне связи с	1	2
63	мы не будем	4	2
64	вопрос о том	1	2
65	как будто не	1	2
66	отсюда видно что	1	2
67	друг к другу	2	2
68	может быть и	3	2
69	приводит к вопросу	1	1
70	отличие от других	1	1
71	чем решить вопрос	1	1
72	тому что в	1	1
73	имеет ничего общего	1	1
74	в церковь и	1	1
75	о характере этого	1	1
76	в отдельности может	1	1
77	также представляют собой	1	1
78	что в сказке	1	1
79	на этом кончается	1	1
80	т д и	1	1
81	нужно иметь в	1	1
82	в свою очередь	2	1
83	к заключению что	1	1
84	сделать из приведенных	1	1
85	т е не	1	1
86	хочет жениться на	1	1
87	к земле и	2	1
88	в очень ярких	1	1
89	и могут быть	1	1
90	в глаза что	1	1
91	мы уже знаем	2	1
92	они представляют собой	2	1
93	в других случаях	2	1
94	с этим в	1	1
95	бы пойти в	1	1
96	т д сюда	1	1
97	в применении к	1	1
98	определить в какой	1	1
99	можно предположить что	2	1
100	также в том	1	1
101	и многие другие	2	1
102	должен остаться открытым	1	1
103	т е на	2	1
104	правильнее было бы	1	1
105	обычаев и обрядов	3	1
106	какие же выводы	2	1
107	могут рассматриваться как	1	1
108	того или другого	1	1
109	не более как	1	1
110	как уже указано	1	1
111	т д с	1	1
112	наших целей нет	1	1
113	в поле или	1	1
114	в некоторых случаях	1	1
115	сказки а н	1	1
116	можно сказать что	1	1
117	в какой степени	3	1
118	д сюда же	1	1
119	потому что в	1	1
120	в этом и	1	1
121	и что следовательно	1	1
122	по существу не	1	1
123	здесь мы имеем	2	1
124	но и другие	1	1
125	но есть и	1	1
126	может быть поставлен	1	1
127	так как эти	1	1
128	решить вопрос о	2	1
129	на этот вопрос	1	1
130	нужно заметить что	1	1
131	как мы уже	2	1
132	хотя они и	1	1
133	в таком случае	1	1
134	очень ярких формах	1	1
135	на этом основании	1	1
136	из ряда других	2	1
137	относится между прочим	1	1
138	во многих отношениях	2	1
139	в противном случае	1	1
140	друг с другом	1	1
141	не менее следует	1	1
142	все же в	1	1
143	не потому что	1	1
144	так как это	2	1
145	не означает что	1	1
146	ни одна из	2	1
147	и представляют собой	1	1
148	иметь в виду	2	1
149	о том кто	1	1
150	между собой и	1	1
151	мы имеем здесь	1	1
152	чрезвычайно разнообразны и	1	1
153	бросается в глаза	3	1
154	так как они	2	1
155	наблюдения могут быть	1	1
156	этом случае он	1	1
157	так например в	1	1
158	всех других случаях	1	1
159	во всех этих	1	1
160	ничего не говорится	1	1
161	и в нашем	1	1
162	следует еще упомянуть	1	1
163	же выводы можно	2	1
164	и сл в	1	1
165	прежде чем решить	1	1
166	мы должны будем	2	1
167	не имеет смысла	1	1
168	стоит в связи	2	1
169	что в основе	1	1
170	без всякого изменения	1	1
171	не имеет ничего	1	1
172	к этому же	3	1
173	это означает что	1	1
174	подменивает ее своей	1	1
175	ниже мы увидим	1	1
176	входит в сказку	1	1
177	в е годы	2	1
178	об этом сообщает	1	1
179	еще не все	1	1
180	иное чем в	1	1
181	и в некоторых	2	1
182	два раза в	1	1
183	это все же	1	1
184	то что ему	1	1
185	во всех других	1	1
186	один из них	3	1
187	сюда же относятся	1	1
188	одна из них	1	1
189	выводы можно сделать	2	1
190	некоторые из них	1	1
191	приводит к тому	1	1
192	для этой цели	2	1
193	этот случай встречается	1	1
194	но это не	3	1
195	что и в	1	1
196	сюда же относится	1	1
197	после того как	3	1
198	мы не можем	5	1
199	можно установить что	1	1
200	имеет смысла но	1	1
201	а н веселовский	4	1
202	потому что они	1	1
203	только в тех	1	1
