N	2gram	Losev_Dial	Myshleni
1	в том	17	195
2	в этом	14	167
3	то что	25	166
4	и в	34	162
5	том что	18	161
6	таким образом	14	147
7	точки зрения	43	143
8	что в	12	119
9	не только	35	116
10	того что	22	109
11	в процессе	2	101
12	так же	7	100
13	потому что	21	95
14	того чтобы	1	91
15	может быть	30	89
16	с точки	25	89
17	что он	18	86
18	не может	29	81
19	как и	14	79
20	для того	4	78
21	так как	12	78
22	и не	50	78
23	только в	10	75
24	как мы	4	72
25	но и	14	70
26	заключается в	3	67
27	в его	6	67
28	сказать что	7	65
29	мы могли	1	65
30	как бы	19	64
31	вместе с	3	62
32	и что	21	60
33	было бы	13	60
34	в качестве	1	60
35	что ребенок	1	60
36	то же	9	58
37	в основе	6	58
38	в отношении	1	55
39	в силу	5	53
40	что мы	10	53
41	в самом	9	52
42	по сравнению	1	51
43	в сущности	10	51
44	мы должны	1	50
45	к тому	4	49
46	что они	2	48
47	тем что	5	48
48	мы можем	3	48
49	понятий и	1	47
50	тогда когда	9	47
51	мы не	11	47
52	сравнению с	1	46
53	если бы	10	46
54	но не	3	45
55	с другой	5	45
56	с тем	4	43
57	же как	4	43
58	тем самым	3	43
59	тому что	5	42
60	как это	8	42
61	не является	1	41
62	о том	11	40
63	по своей	1	40
64	одной стороны	3	40
65	никогда не	9	39
66	с одной	4	39
67	так и	11	39
68	и к	5	37
69	вопрос о	9	37
70	если мы	5	37
71	мы видим	4	37
72	не в	11	37
73	в этой	3	37
74	с самого	1	36
75	в своем	7	36
76	все эти	4	36
77	самого начала	1	36
78	как в	2	36
79	а не	39	36
80	и его	8	36
81	в себе	8	35
82	в которой	1	35
83	он не	8	35
84	для себя	2	35
85	связи с	3	34
86	и как	13	34
87	прежде всего	20	33
88	при этом	7	33
89	по себе	31	33
90	именно в	5	32
91	и на	6	32
92	той же	6	32
93	что оно	9	32
94	нас к	2	32
95	по своему	2	32
96	же самое	1	32
97	что и	8	32
98	и тем	3	32
99	но в	3	32
100	слова и	1	32
101	все же	4	31
102	из того	2	31
103	и то	7	31
104	на то	5	30
105	этом отношении	2	30
106	могут быть	5	29
107	показывает что	4	29
108	от того	9	29
109	с этим	4	28
110	что с	2	28
111	самом деле	7	28
112	переход от	1	28
113	к слову	1	28
114	только что	7	27
115	с этой	7	27
116	в результате	7	27
117	другой стороны	4	27
118	в то	9	27
119	и с	10	27
120	в своей	4	27
121	что все	16	27
122	перед нами	5	27
123	в их	2	26
124	понятия в	1	26
125	показали что	1	26
126	нашего исследования	1	26
127	в собственном	3	26
128	собственном смысле	1	26
129	что это	20	26
130	для него	4	26
131	в частности	3	26
132	в чем	11	25
133	что она	13	25
134	еще не	7	25
135	все это	13	25
136	можно сказать	5	25
137	только не	10	25
138	мы уже	6	25
139	это не	13	25
140	в смысле	4	24
141	мы знаем	3	24
