N	2gram	Voloshinov	EvropaiE
1	и в	13	37
2	в отношении	2	32
3	в пределах	3	25
4	точки зрения	7	23
5	что в	3	21
6	не только	6	18
7	с точки	5	17
8	в то	1	16
9	то же	4	15
10	хотя бы	5	15
11	и не	8	14
12	но и	3	14
13	же время	1	14
14	в своем	1	14
15	но в	4	14
16	в этом	2	12
17	в том	2	11
18	в их	3	11
19	в области	2	11
20	так и	3	10
21	в себе	3	9
22	прежде всего	9	9
23	только в	6	9
24	так же	2	9
25	не может	8	9
26	отнюдь не	1	9
27	с одной	2	8
28	в ее	3	8
29	в своей	4	8
30	одной стороны	2	8
31	между тем	2	8
32	было бы	4	8
33	думать что	2	8
34	к тому	2	8
35	так как	3	7
36	а также	2	7
37	как и	3	7
38	также и	1	7
39	с другой	2	7
40	нам кажется	1	7
41	с этой	2	6
42	вслед за	2	6
43	том что	2	6
44	вовсе не	2	6
45	может быть	8	6
46	того чтобы	1	6
47	для того	1	6
48	то что	6	6
49	как бы	6	6
50	на то	1	6
51	в виде	1	5
52	этой точки	1	5
53	не в	3	5
54	но не	1	5
55	от этого	2	5
56	которую мы	1	5
57	в течение	2	5
58	же как	1	5
59	одной из	1	5
60	столь же	1	5
61	но если	1	5
62	в самом	2	4
63	мы не	4	4
64	того или	2	4
65	не на	2	4
66	само по	1	4
67	в процессе	5	4
68	по себе	1	4
69	не имеет	2	4
70	тем более	1	4
71	вопрос о	1	4
72	но даже	1	4
73	или иного	2	4
74	как это	1	4
75	несмотря на	2	4
76	в ней	2	4
77	сказать что	1	4
78	на всем	1	4
79	и к	2	3
80	приближается к	1	3
81	этом отношении	1	3
82	ее в	2	3
83	или иную	1	3
84	мы можем	4	3
85	не является	4	3
86	можно было	1	3
87	на себя	1	3
88	тем что	2	3
89	как в	2	3
90	в которых	1	3
91	в них	2	3
92	во все	1	3
93	в данном	2	3
94	ту или	1	3
95	потому что	1	3
96	время в	1	3
97	и тем	2	3
98	и для	3	3
99	отметить что	1	3
100	себе в	1	3
101	в общем	2	3
102	там где	2	3
103	не из	1	3
104	того же	1	3
105	никогда не	3	3
106	данной области	1	2
107	всего в	1	2
108	таким образом	6	2
109	и то	3	2
110	в другой	1	2
111	мы видим	2	2
112	и этот	2	2
