N	2gram	Ircho_Kome	Tvorches
1	и в	37	56
2	как бы	7	41
3	в его	12	37
4	в то	14	30
5	то же	14	25
6	не только	13	24
7	же время	12	24
8	но в	7	24
9	как и	10	23
10	и не	28	23
11	а в	12	23
12	и его	10	23
13	в этом	18	22
14	и т	5	22
15	что в	11	21
16	в том	24	21
17	он не	11	19
18	том что	22	19
19	может быть	14	19
20	потому что	19	19
21	у него	10	18
22	то что	5	18
23	таким образом	16	17
24	и на	6	17
25	что он	15	17
26	т д	1	17
27	все это	7	17
28	при этом	11	16
29	но и	18	16
30	никогда не	5	16
31	как в	4	16
32	в творчестве	1	16
33	прежде всего	7	16
34	не может	9	16
35	и с	5	15
36	в мире	2	15
37	в этой	7	15
38	с его	6	15
39	и даже	6	14
40	это не	3	14
41	там же	1	13
42	о том	21	13
43	времени в	2	13
44	а не	5	13
45	в котором	6	12
46	же с	1	12
47	тем самым	1	12
48	в целом	4	12
49	в своей	6	11
50	все же	9	11
51	отнюдь не	5	11
52	преступления и	1	11
53	для него	1	11
54	в самом	17	10
55	представление о	2	10
56	он сам	1	10
57	не в	7	10
58	в конце	14	10
59	только в	3	10
60	когда он	5	10
61	в основном	1	10
62	уже в	3	10
63	так и	4	10
64	но не	9	10
65	как будто	3	10
66	в душе	1	9
67	в своих	4	9
68	наряду с	4	9
69	а затем	4	9
70	по мнению	2	9
71	в изображении	3	9
72	и от	3	9
73	один из	6	9
74	жизни в	1	9
75	в свою	12	9
76	человека в	4	9
77	в нем	8	9
78	во многом	1	9
79	даже в	3	8
80	в духе	1	8
81	в соответствии	1	8
82	не менее	9	8
83	так же	8	8
84	к этому	11	8
85	хотя и	6	8
86	одним из	2	8
87	вместе с	16	8
88	соответствии с	1	8
89	одной из	4	8
90	еще не	10	8
91	в себе	4	8
92	так как	16	8
93	в их	5	8
94	на его	5	8
95	об этом	12	8
96	вовсе не	6	8
97	человека и	2	8
98	в лице	1	8
99	в этих	2	7
100	и сам	11	7
101	например в	3	7
102	в дальнейшем	5	7
103	что она	10	7
104	и он	5	7
105	в которой	6	7
106	в чем	7	7
107	не случайно	3	7
108	самом деле	13	7
109	во сне	1	7
110	в момент	1	6
111	еще более	4	6
112	в принципе	1	6
113	не столько	3	6
114	и как	3	6
115	конечном счете	3	6
116	если он	3	6
117	хотя бы	5	6
118	его в	9	6
119	в конечном	2	6
120	так что	7	6
121	и ее	3	6
122	героя в	1	6
123	и далее	1	6
124	с ним	10	6
125	если бы	18	6
126	и все	6	6
127	приводит к	4	6
128	все эти	1	6
129	ли не	6	6
130	место в	1	6
131	и другие	1	5
132	из всех	3	5
133	в пользу	1	5
134	что человек	1	5
135	в них	6	5
136	в трагическом	1	5
137	что этот	1	5
138	с другой	5	5
139	больше не	1	5
140	приходит к	2	5
141	по отношению	6	5
142	как правило	1	5
143	в своем	9	5
144	в одной	2	5
145	все время	3	5
146	из них	11	5
147	что они	3	5
148	что у	2	5
149	на него	6	5
150	в ее	3	5
151	что и	12	5
152	не было	6	5
153	что не	5	5
154	в таком	2	5
155	я не	4	5
156	и это	4	5
157	и у	4	5
158	а с	2	5
159	т п	5	5
160	если не	7	5
161	между тем	6	5
162	в первой	3	5
163	дело не	2	5
164	показывает что	1	5
165	не так	4	5
166	на деле	1	5
167	с этим	5	5
168	в современном	1	5
169	в истории	2	5
170	начиная с	1	5
171	до конца	4	5
172	в образе	5	5
173	том же	2	5
174	но если	3	5
175	тот же	11	5
176	ничего не	6	5
177	из этой	2	5
178	мы не	6	5
179	бы не	3	5
180	в ту	2	5
181	и по	3	5
182	но его	2	5
183	и других	1	5
184	что я	5	5
185	это как	1	5
186	как он	5	5
187	отношению к	4	5
188	в известной	3	5
189	с этой	5	4
190	в финале	1	4
191	говорит о	2	4
192	него в	3	4
193	о времени	1	4
194	с собой	4	4
195	на земле	2	4
196	тем что	12	4
197	роль в	3	4
198	восходит к	1	4
199	представляет собой	5	4
200	по самой	1	4
201	только на	1	4
202	говорить о	6	4
203	и когда	2	4
204	превращается в	1	4
205	рассказывает о	2	4
206	самого начала	5	4
207	с большим	4	4
208	что все	1	4
209	точки зрения	8	4
210	крайней мере	1	4
211	к нему	8	4
212	мы видим	2	4
213	и мы	5	4
214	и потому	2	4
215	с точки	6	4
216	не знает	7	4
217	что его	10	4
218	который в	3	4
219	же как	1	4
220	сих пор	12	4
221	в такой	1	4
222	не был	2	4
223	в каждом	3	4
224	тут же	8	4
225	не мог	2	4
226	как это	5	4
227	главного героя	1	4
228	но только	1	4
229	чувство стыда	1	4
230	и я	3	4
231	на стороне	1	4
232	этот вопрос	2	4
233	себя в	3	4
234	однако в	5	4
235	могут быть	3	4
236	о его	4	4
237	и есть	3	4
238	до сих	12	4
239	известно что	1	4
240	в действии	1	4
241	с ними	1	4
242	сюжета и	1	4
243	героев и	1	4
244	в которых	7	4
245	по крайней	1	4
246	перед нами	1	4
247	нет ничего	4	4
248	его и	3	4
249	в основе	3	4
250	и более	1	4
251	эта мысль	1	4
252	времени и	2	4
253	при помощи	1	4
254	в отличие	3	4
255	той же	2	4
256	в произведениях	2	4
257	того что	1	4
258	чуть ли	2	4
259	это был	1	4
260	же не	3	4
261	отказаться от	3	4
262	дело в	1	4
263	было в	2	4
264	к жизни	1	4
265	особенно в	1	4
266	на свете	2	4
267	с самого	5	4
268	он говорит	3	4
269	он ни	1	4
270	отличие от	5	4
271	но он	3	4
272	в частности	4	4
273	еще в	1	4
274	далеко не	3	4
275	у нее	2	4
276	х годов	2	4
277	из жизни	2	4
278	такой же	2	4
279	и наконец	1	4
280	что на	1	4
281	и к	4	3
282	от него	2	3
283	этого персонажа	1	3
284	только что	11	3
285	кроме того	1	3
286	в с	2	3
287	в виду	3	3
288	другой стороны	2	3
289	по себе	1	3
290	людей и	2	3
291	в первом	2	3
292	мысль о	1	3
293	в мир	1	3
294	в жизни	1	3
295	к самому	1	3
296	только для	2	3
297	к тому	11	3
298	во всяком	3	3
299	можно сказать	1	3
300	больше чем	4	3
301	с полным	4	3
302	в этот	1	3
303	может служить	2	3
304	точно так	1	3
305	как она	2	3
306	в одном	3	3
307	перед ним	4	3
308	и еще	4	3
309	бога и	1	3
310	сказать что	4	3
311	едва ли	16	3
312	то в	1	3
313	к человеку	2	3
314	собой в	1	3
315	к себе	9	3
316	мы знаем	2	3
317	несмотря на	7	3
318	к идеалу	1	3
319	тому же	11	3
320	для того	9	3
321	полным правом	2	3
322	на себя	10	3
323	я и	2	3
324	воздействие на	1	3
325	себя как	1	3
326	в себя	1	3
327	со всеми	2	3
328	на площади	4	3
329	на этом	3	3
330	говорил о	1	3
331	всяком случае	3	3
