N	3gram	Bakhtin_Pr	FransuaR
1	то же время	13	55
2	в то же	13	55
3	мы уже говорили	3	43
4	как мы уже	2	28
5	в том что	6	27
6	в том числе	1	27
7	до сих пор	9	27
8	в большинстве случаев	10	22
9	с точки зрения	21	20
10	но в то	7	20
11	в этом отношении	3	20
12	для того чтобы	1	17
13	том числе и	1	17
14	о том что	2	17
15	в связи с	1	16
16	большей или меньшей	2	16
17	как мы видели	1	16
18	и до конца	2	16
19	но и в	1	15
20	в большей или	2	15
21	нужно сказать что	1	14
22	с начала и	2	14
23	или меньшей степени	2	14
24	начала и до	2	14
25	не может быть	8	13
26	дело в том	1	13
27	уже говорили что	1	13
28	с одной стороны	1	13
29	в той же	3	13
30	на самом деле	4	13
31	и в то	2	12
32	с другой стороны	6	12
33	в другом месте	1	12
34	все то что	3	11
35	в отличие от	4	11
36	как и все	4	11
37	можно сказать что	2	11
38	в той или	1	10
39	таким образом и	2	10
40	той или иной	1	10
41	как и в	3	10
42	в данном случае	2	10
43	в значительной степени	1	10
44	в конце концов	7	10
45	не только в	2	10
46	по отношению к	12	9
47	так и в	2	9
48	зрения на мир	4	9
49	до известной степени	1	9
50	вполне понятно что	2	8
51	таким образом в	1	8
52	в его целом	6	8
53	более или менее	4	8
54	в его романе	2	8
55	после того как	1	8
56	в самом деле	6	7
57	в то время	2	7
58	и в романе	2	7
59	в узком смысле	2	7
60	можно было бы	3	7
61	прежде всего в	1	7
62	и в других	2	7
63	в своей книге	1	7
64	в настоящее время	3	7
65	подобно тому как	3	7
66	как мы видим	1	7
67	во всех его	1	6
68	к тому же	2	6
69	такой же характер	1	6
70	но все же	3	6
71	имеем в виду	1	6
72	выходит за пределы	1	6
73	это прежде всего	1	6
74	и во всех	1	6
75	в свою очередь	1	6
76	и до сих	1	6
77	с самого начала	1	6
78	как мы сказали	3	6
79	одной стороны и	1	5
80	до настоящего времени	2	5
81	друг с другом	3	5
82	то же самое	1	5
83	со всеми его	1	5
84	по сравнению с	1	5
85	и в частности	1	5
86	мы имеем в	1	5
87	во всяком случае	4	5
88	все это в	1	5
89	в том же	1	5
90	прежде всего необходимо	1	5
91	в первом случае	1	5
92	потому что он	1	5
93	вместо того чтобы	1	5
94	только то что	2	5
95	как бы в	6	5
96	это и есть	1	5
97	и так сказать	1	5
98	то что в	1	4
99	в собственном смысле	1	4
100	и все что	1	4
101	здесь не в	1	4
102	сочетается здесь с	1	4
103	но несмотря на	1	4
104	по ту сторону	2	4
105	так как его	1	4
106	и еще не	1	4
107	в самой жизни	1	4
108	в одном из	2	4
109	прежде всего на	1	4
110	таким образом все	2	4
111	на этот вопрос	2	4
112	в первой части	1	4
113	так же как	1	4
114	как мы увидим	3	4
115	в нем и	1	4
116	также и в	1	4
117	что и в	1	4
118	может быть и	2	4
119	точку зрения на	3	4
120	здесь перед нами	1	4
121	на мир и	2	4
122	но прежде всего	1	4
123	в нем не	1	4
124	как раз и	5	4
125	мы увидим дальше	2	4
126	это вовсе не	2	4
127	и не может	6	4
128	но он не	1	4
129	а следовательно и	2	4
130	конечно не в	2	4
131	и до настоящего	1	4
132	иногда бывает трудно	1	3
133	у него в	2	3
134	друг от друга	1	3
135	в сущности не	1	3
136	мысли и слова	1	3
137	в его творчестве	3	3
138	смысле этого слова	1	3
139	между тем как	5	3
140	в одном месте	1	3
141	они вовсе не	1	3
142	не только не	2	3
143	не входит в	4	3
144	в виду прежде	1	3
145	но это не	2	3
146	всего того что	1	3
147	он не только	2	3
148	правда о мире	1	3
149	как мы знаем	1	3
150	в себе и	2	3
151	в целом ряде	2	3
152	у него был	1	3
153	как один из	2	3
154	все же не	3	3
155	как бы ни	1	3
156	но на самом	1	3
157	и не могут	1	3
158	является одним из	1	3
159	оно ни было	1	3
160	в себе в	1	3
161	прямо сказать что	1	3
162	в этом смысле	12	3
163	на том же	1	3
164	можно прямо сказать	1	3
165	далеко за пределы	1	3
166	в одной плоскости	7	3
167	именно потому что	2	3
168	тех или иных	1	3
169	в пределах одной	1	3
170	и не в	1	3
171	хотя он и	1	3
172	бы то ни	3	3
173	говорит об этом	1	3
174	и в том	1	3
175	и в этом	5	3
176	там где он	1	3
177	виду прежде всего	1	3
178	заключается в том	1	3
179	бы оно ни	1	3
180	с таким же	1	3
181	в основе этого	1	3
182	в дантовском мире	2	3
183	что в нем	1	3
184	к нему не	1	2
185	но и не	2	2
186	несмотря на их	1	2
187	всех разобранных нами	1	2
188	же время не	3	2
189	том что это	1	2
190	точка зрения на	2	2
191	существенные различия между	1	2
192	в том или	1	2
193	в сущности все	1	2
194	и в другом	1	2
195	они и не	1	2
196	самом деле в	1	2
197	наконец и это	1	2
