1	в то же время	7	13
2	в связи с этим	1	4
3	и в то же	2	4
4	с одной стороны и	1	4
5	но в то же	1	3
6	химическом соединении с художественной	1	2
7	в химическом соединении с	1	2
8	не может быть и	1	2
9	и глубже чем это	1	1
10	соединении с художественной идеологемой	1	1
11	этом смысле можно говорить	1	1
12	мы имеем в виду	3	1
13	в том случае если	1	1
14	смысле можно говорить о	1	1
15	той мере в какой	1	1
16	в той мере в	1	1
17	произведения искусства в его	1	1
18	того или иного жанра	3	1
19	иметь в виду что	1	1
20	в каком мы говорим	1	1
21	не что иное как	1	1
22	в этом смысле можно	1	1
23	в том отношении что	1	1
24	в том числе и	2	1
25	в их отношении к	1	1
26	языка не может быть	1	1
27	в более или менее	1	1
28	каком мы говорим о	1	1
29	с этой точки зрения	2	1
30	в отдельности и в	1	1
31	в том или ином	1	1
32	есть не что иное	1	1
33	бы то ни было	2	1
