N	4gram	Vinokur_St	EvropaiC
1	до сих пор не	1	5
2	заключается в том что	3	3
3	совершенно так же как	1	3
4	бы то ни было	1	3
5	в то же время	5	2
6	что при таких условиях	1	2
7	что и для самого	1	1
8	именно в том что	1	1
9	в то время как	1	1
10	только с точки зрения	1	1
11	а на самом деле	1	1
12	мысль о том что	1	1
13	и в том и	1	1
14	до сих пор еще	1	1
15	в том и другом	1	1
16	не говоря уже о	2	1
17	в том что он	3	1
18	одно и то же	1	1
19	одно из двух или	1	1
20	каких бы то ни	1	1
21	но с другой стороны	2	1
22	тем более что он	1	1
23	не трудно видеть что	1	1
24	говоря уже о том	1	1
25	дело в том что	7	1
26	принять во внимание что	1	1
27	иметь в виду следующие	1	1
28	не потому чтобы я	1	1
29	в целом ряде случаев	1	1
30	не может не быть	1	1
31	только в том случае	1	1
32	надо иметь в виду	1	1
33	и в голову не	1	1
34	встать на точку зрения	1	1
35	в том числе и	2	1
36	о том что он	3	1
37	уже о том что	2	1
38	указание на то что	1	1
39	в том же духе	1	1
40	в этой области не	1	1
41	также и то что	1	1
