N	2gram	Bakhtin_Pr	OGranits
1	и в	64	13
2	и его	21	12
3	прежде всего	16	9
4	может быть	43	8
5	и не	55	8
6	не может	26	8
7	и пр	5	7
8	в его	30	7
9	и т.п	1	7
10	и их	3	7
11	точки зрения	31	7
12	таким образом	15	6
13	не только	26	6
14	социального общения	1	6
15	мы должны	3	6
16	стилистических приемов	1	6
17	только в	13	6
18	то что	21	6
19	как бы	33	6
20	в музыке	2	5
21	в поэзии	2	5
22	хотя бы	4	5
23	с точки	21	5
24	художественного произведения	2	5
25	в процессе	6	5
26	но ведь	3	5
27	все же	11	5
28	и эта	2	5
29	и наконец	7	5
30	в каждом	15	4
31	мы можем	1	4
32	человеческого голоса	1	4
33	произведения как	2	4
34	только и	1	4
35	вполне понятно	2	4
36	мы не	4	4
37	то же	18	4
38	еще и	1	4
39	было бы	8	4
40	в поэтику	1	4
41	все это	9	4
42	в сознании	3	4
43	слов и	2	4
44	лишь в	4	4
45	социальной группы	2	4
46	материала в	1	4
47	в своей	11	4
48	на фоне	5	4
49	в выборе	1	4
50	но в	14	4
51	вопроса о	1	4
52	с этим	3	3
53	что в	11	3
54	к одному	7	3
55	понятно что	2	3
56	со всей	1	3
57	ни один	3	3
58	монологическое высказывание	1	3
59	в искусстве	1	3
60	и уже	3	3
61	так и	8	3
62	не как	20	3
63	одно и	1	3
64	есть прежде	1	3
65	в одном	20	3
66	не столько	1	3
67	за пределы	7	3
68	отношению к	12	3
69	по отношению	12	3
70	превращается в	5	3
71	слово в	10	3
72	в пределах	24	3
73	в их	6	3
74	при анализе	1	3
75	в ее	2	3
76	здесь мы	4	3
77	самом деле	10	3
78	не в	15	3
79	в которой	2	3
80	что же	9	3
81	и все	6	3
82	но для	3	3
83	в себе	11	3
84	так как	9	3
85	да и	2	3
86	но и	26	3
87	и для	7	3
88	как и	25	3
89	ничего общего	1	3
90	точку зрения	7	3
91	никогда не	11	3
92	в области	1	2
93	к сожалению	2	2
94	своего рода	1	2
95	в самом	17	2
96	во всем	1	2
97	и к	5	2
98	что они	1	2
99	того или	1	2
100	каждый элемент	3	2
101	может иметь	1	2
102	представим себе	2	2
103	материалом для	1	2
104	и отчасти	1	2
105	мы видим	3	2
106	в данном	2	2
107	мы уже	4	2
108	предметного значения	1	2
109	и наиболее	1	2
110	а как	11	2
111	в своих	4	2
112	в этом	33	2
113	этой проблемы	1	2
114	в общем	1	2
115	случае и	1	2
116	данном случае	2	2
117	героя и	14	2
118	он только	2	2
119	в языке	1	2
120	с одной	1	2
121	в произведении	7	2
122	мог бы	1	2
123	входит в	9	2
124	для себя	3	2
125	наконец в	4	2
126	и при	2	2
127	одной стороны	1	2
128	роль в	1	2
129	в другом	3	2
130	мы считаем	1	2
131	тяготением к	1	2
132	при этом	8	2
133	несмотря на	7	2
134	между тем	7	2
135	в материал	1	2
136	для него	23	2
137	и стиль	1	2
138	лишь путем	1	2
139	речи не	1	2
140	только его	2	2
141	и тем	1	2
142	в руках	3	2
143	с помощью	2	2
144	смысле слова	2	2
145	те же	3	2
146	ее в	3	2
147	не исчерпывается	2	2
148	в том	12	2
149	с этой	2	2
150	громадную роль	1	2
151	каждое слово	1	2
152	и является	2	2
153	в тех	1	2
154	в отношении	5	2
155	конечно в	2	2
156	ни одно	1	2
157	другой стороны	6	2
158	сознания и	8	2
159	во времени	3	2
160	но так	2	2
161	не на	7	2
162	от этого	2	2
163	так же	8	2
164	в них	5	2
165	самого начала	2	2
166	а в	10	2
167	в г	1	2
168	связанных с	1	2
169	если бы	12	2
170	себе что	2	2
171	от всех	1	2
172	и делают	1	2
173	от своего	2	2
174	в книге	2	2
175	на две	1	2
176	в ней	2	2
177	с самого	1	2
178	литературное произведение	1	2
179	тем что	6	2
180	она является	2	2
181	и др	7	2
182	могут быть	9	2
183	вовсе не	12	2
184	в действительности	1	2
185	же слово	1	2
186	между собою	5	2
187	его на	2	2
188	учение о	1	2
189	в связи	1	2
190	в зависимости	5	2
191	во всей	3	2
192	с ними	2	2
193	материал в	2	2
194	все явления	1	2
195	говорить об	1	2
196	может стать	5	2
197	все эти	13	2
198	поэтического языка	1	2
199	с другой	7	2
200	как в	7	2
201	художественных произведений	1	2
202	и внутренняя	2	2
203	не менее	3	2
204	явлений и	1	2
205	не имеет	2	2
206	там где	12	2
207	к предмету	1	2
208	в структуре	3	2
209	том что	8	2
210	в интонации	1	2
211	в нем	28	2
212	уже в	5	2
213	и следовательно	7	2
214	или иного	1	2
215	зависимости от	5	2
216	не мог	1	2
217	является уже	1	2
218	а не	29	2
219	в целом	8	2
220	и ее	5	2
221	тот же	2	2
222	подойти к	1	2
223	к тому	4	2
224	кажется что	4	2
225	слова и	8	2
226	этот материал	1	2
227	бы в	7	2
228	более того	8	2
229	в особенности	1	1
230	но у	4	1
231	его к	4	1
232	самое слово	2	1
233	всего в	2	1
234	в категории	2	1
235	себе в	1	1
236	как к	3	1
237	в каждой	2	1
238	ориентируется на	1	1
239	к которому	2	1
240	переходим к	4	1
241	типа который	1	1
242	языка в	1	1
243	как объективный	1	1
244	к речи	1	1
245	оценками и	1	1
246	произведения чтобы	1	1
247	социальными оценками	1	1
248	особенности и	1	1
249	уже сам	1	1
250	то он	3	1
251	выражение в	6	1
