N	4gram	Ircho_Kome	Analitik
1	в то же время	5	14
2	состоит в том что	1	7
3	не что иное как	1	6
4	мы имеем дело с	1	5
5	обращает на себя внимание	4	4
6	в том что он	4	4
7	бы то ни было	4	3
8	с этой точки зрения	1	2
9	ни в коем случае	1	2
10	в тех случаях когда	1	2
11	в литературе нового времени	1	2
12	не говоря уже о	4	2
13	одних и тех же	1	2
14	и к тому же	1	2
15	к тому же в	5	2
16	одна и та же	1	1
17	в том случае если	1	1
18	по поводу того что	1	1
19	в той же мере	1	1
20	выходит далеко за пределы	1	1
21	к тому же не	1	1
22	идет о том что	1	1
23	речь идет о том	1	1
24	в том что именно	1	1
25	том что он якобы	1	1
26	в том числе и	1	1
27	на себя внимание что	1	1
28	не следует упускать из	1	1
29	одна из них не	1	1
30	в том же году	1	1
31	то же время он	1	1
32	едва ли не в	1	1
