N	4gram	Vygotskiy_	Dialekti
1	не что иное как	2	18
2	в то же время	1	14
3	и т д и	1	14
4	одно и то же	3	12
5	т д и т	1	12
6	д и т д	1	12
7	одна и та же	2	8
8	в то время как	4	8
9	ни в каком случае	1	7
10	одной и той же	4	5
11	с этой точки зрения	3	4
12	по одному тому что	1	4
13	если иметь в виду	1	4
14	с одной стороны и	1	4
15	и в этом смысле	1	4
16	вовсе не в том	1	3
17	несмотря на то что	1	3
18	что с точки зрения	1	2
19	так как она есть	2	2
20	и даже больше того	1	2
21	в том что именно	1	2
22	дело в том что	2	2
23	ни в чем не	1	2
24	угодно но только не	1	2
25	это значило бы что	1	2
26	в каком случае нельзя	1	2
27	так же как и	1	2
28	если принять во внимание	1	2
29	именно в том что	1	1
30	ошибемся если скажем что	1	1
31	что иное как именно	1	1
32	до тех пор пока	2	1
33	а с другой стороны	3	1
34	именно он а не	1	1
35	сами по себе совершенно	1	1
36	иное как именно это	1	1
37	сомневаться в том что	1	1
38	и т д мы	1	1
39	в данном случае в	1	1
40	то время как на	1	1
41	в том что в	2	1
42	на самом деле не	1	1
43	говорить не только о	1	1
44	как она дана в	1	1
45	друг к другу как	1	1
46	на самом деле есть	1	1
47	что для того чтобы	2	1
48	будем иметь в виду	1	1
49	сами по себе не	1	1
50	в течение всей нашей	1	1
51	прав если иметь в	1	1
52	заключается в том что	6	1
53	бы то ни было	1	1
54	мы все время говорим	1	1
55	то же самое и	2	1
56	принять во внимание что	1	1
57	есть одна из самых	1	1
58	но как только мы	1	1
59	до сих пор не	1	1
60	и в том что	1	1
61	сам по себе не	1	1
62	мы уже заранее знаем	1	1
63	то же самое мы	1	1
64	и именно в этом	1	1
65	в этом отношении совершенно	1	1
66	что это и есть	1	1
67	если это так то	1	1
68	самом деле есть не	1	1
69	я имею в виду	1	1
70	как и то что	1	1
71	же самое и в	1	1
72	так как она построена	1	1
73	с другой стороны мы	2	1
74	а на самом деле	1	1
75	можно было бы показать	1	1
76	в том что он	2	1
77	нельзя сомневаться в том	1	1
78	на этом примере совершенно	1	1
79	все что угодно но	1	1
80	обратим внимание на тот	1	1
81	вместе с ним и	1	1
82	которые сами по себе	1	1
83	только для того чтобы	1	1
84	характера и что в	1	1
85	приводит к тому что	1	1
86	ни на одной из	1	1
87	том что для того	1	1
88	что угодно но только	1	1
89	привело к тому что	1	1
90	ни другого ни третьего	1	1
91	между искусством и жизнью	1	1
92	в самом деле если	2	1
