N	2gram	Losev_Prob	OGranits
1	и в	62	13
2	и его	12	12
3	прежде всего	13	9
4	может быть	39	8
5	и не	56	8
6	не может	14	8
7	в его	10	7
8	точки зрения	14	7
9	таким образом	13	6
10	не только	33	6
11	мы должны	13	6
12	только в	33	6
13	то что	42	6
14	как бы	11	6
15	языка и	4	5
16	хотя бы	6	5
17	с точки	9	5
18	художественного произведения	14	5
19	в процессе	2	5
20	но ведь	2	5
21	все же	10	5
22	и эта	1	5
23	и наконец	2	5
24	в каждом	1	4
25	мы можем	11	4
26	не является	19	4
27	произведения как	1	4
28	только и	9	4
29	вполне понятно	1	4
30	мы не	15	4
31	то же	23	4
32	еще и	10	4
33	было бы	14	4
34	все это	9	4
35	лишь в	1	4
36	в своей	8	4
37	но мы	1	4
38	но в	17	4
39	с этим	5	3
40	что в	11	3
41	к одному	1	3
42	понятно что	1	3
43	и то	17	3
44	только путем	4	3
45	со всей	1	3
46	связана с	1	3
47	ни один	1	3
48	в искусстве	4	3
49	так и	16	3
50	не как	1	3
51	говорить о	7	3
52	одно и	4	3
53	есть прежде	3	3
54	в одном	4	3
55	не столько	2	3
56	за пределы	6	3
57	превращается в	1	3
58	поставить вопрос	1	3
59	в пределах	3	3
60	в их	2	3
61	в ее	6	3
62	здесь мы	5	3
63	самом деле	6	3
64	не в	21	3
65	в которой	3	3
66	что же	9	3
67	и все	13	3
68	общего с	3	3
69	но для	3	3
70	в себе	23	3
71	так как	14	3
72	языка как	1	3
73	да и	9	3
74	но и	20	3
75	и для	5	3
76	как и	15	3
77	ничего общего	7	3
78	точку зрения	1	3
79	никогда не	7	3
80	как системы	1	3
81	в области	2	2
82	к сожалению	1	2
83	языком как	1	2
84	своего рода	1	2
85	истории литературы	1	2
86	в самом	4	2
87	во всем	2	2
88	нет ничего	6	2
89	и к	9	2
90	представляет себе	1	2
91	что они	8	2
92	того или	8	2
93	каждый элемент	2	2
94	может иметь	4	2
95	функцию в	1	2
96	мы видим	1	2
97	иное как	6	2
98	в данном	14	2
99	мы уже	4	2
100	и этот	3	2
101	и наиболее	1	2
102	а как	2	2
103	в своих	2	2
104	в этом	25	2
105	что иное	6	2
106	в целях	6	2
107	данном случае	12	2
108	категорий но	1	2
109	человеческой речи	1	2
110	он только	2	2
111	которое мы	5	2
112	в языке	4	2
113	с одной	3	2
114	мог бы	1	2
115	входит в	3	2
116	для себя	6	2
117	не чем	2	2
118	и при	2	2
119	одной стороны	2	2
120	и научно	1	2
121	который мы	2	2
122	в другом	4	2
123	мы считаем	1	2
124	при этом	9	2
