N	4gram	Vygotskiy_	EvropaiE
1	в то же время	2	14
2	с одной стороны и	1	6
3	с этой точки зрения	5	5
4	бы то ни было	1	4
5	так же как и	2	3
6	само по себе не	1	2
7	заключается в том что	7	2
8	роль которая выпадает на	1	1
9	заключает в себе ничего	1	1
10	дело в том что	1	1
11	в том случае если	2	1
12	в том числе и	1	1
13	ту или иную идеологию	1	1
14	одну и ту же	1	1
15	и для того чтобы	1	1
16	с другой стороны в	1	1
17	поскольку речь идет о	1	1
18	только в том случае	2	1
19	может быть сведена к	2	1
20	в связи с этим	1	1
21	в то время как	6	1
22	не заключает в себе	1	1
23	несмотря на то что	2	1
24	которая выпадает на долю	1	1
25	указать на то что	1	1
26	одного и того же	1	1
27	что само по себе	1	1
28	один и тот же	2	1
29	то мы увидим что	1	1
30	в том смысле что	1	1
