N	2gram	Berdyaev_M	Myshleni
1	в том	9	195
2	в этом	34	167
3	то что	10	166
4	и в	61	162
5	том что	7	161
6	в развитии	1	151
7	точки зрения	6	143
8	что в	12	119
9	мышления и	1	117
10	не только	42	116
11	того что	13	109
12	так же	5	100
13	и речи	1	96
14	потому что	25	95
15	того чтобы	4	91
16	может быть	42	89
17	с точки	1	89
18	что он	16	86
19	не может	39	81
20	как и	14	79
21	для того	4	78
22	так как	10	78
23	и не	26	78
24	только в	7	75
25	но и	34	70
26	заключается в	1	67
27	в его	10	67
28	сказать что	5	65
29	как бы	10	64
30	вместе с	7	62
31	и что	4	60
32	было бы	11	60
33	то же	4	58
34	в основе	4	58
35	в отношении	6	55
36	могли бы	1	54
37	в силу	1	53
38	что мы	1	53
39	в самом	15	52
40	по сравнению	3	51
41	в сущности	2	51
42	мы должны	1	50
43	к тому	6	49
44	что они	4	48
45	тем что	7	48
46	тогда когда	2	47
47	мы не	2	47
48	сравнению с	2	46
49	если бы	5	46
50	по отношению	4	45
51	но не	8	45
52	с другой	1	45
53	в мышлении	1	44
54	с тем	10	43
55	же как	1	43
56	тому что	2	42
57	отношению к	4	42
58	о том	5	40
59	по своей	4	40
60	никогда не	30	39
61	так и	5	39
62	в области	1	38
63	и к	9	37
64	вопрос о	7	37
65	мы видим	4	37
66	не в	16	37
67	в этой	12	37
68	в своем	17	36
69	все эти	3	36
70	как в	9	36
71	а не	36	36
72	и его	13	36
73	можно было	1	35
74	в себе	12	35
75	в которой	8	35
76	он не	34	35
77	для себя	1	35
78	во внутренней	1	34
79	и как	3	34
80	приводит к	2	34
81	прежде всего	18	33
82	по себе	2	33
83	и на	9	32
84	той же	3	32
85	по своему	3	32
86	что и	6	32
87	и тем	1	32
88	но в	12	32
89	все же	2	31
90	и то	2	31
91	мысли и	2	30
92	на то	1	30
93	этом отношении	1	30
94	этого слова	1	29
95	между тем	2	29
96	могут быть	2	29
97	от того	4	29
98	с этим	4	28
99	самом деле	2	28
100	переход от	1	28
101	только что	1	27
102	с этой	4	27
103	в то	2	27
104	и с	6	27
105	в своей	18	27
106	что все	5	27
107	в их	4	26
108	что это	5	26
109	для него	28	26
110	мысли в	1	26
111	в частности	1	26
112	в чем	3	25
113	что она	5	25
114	еще не	1	25
115	уже в	6	25
116	все это	6	25
117	мы уже	1	25
118	это не	10	25
119	в смысле	1	24
120	тот же	1	24
121	зависимости от	1	24
122	целый ряд	2	24
123	в сфере	2	24
124	на этот	2	24
125	того как	3	24
126	в какой	1	24
127	так что	3	24
128	в нем	26	24
129	в высшей	4	24
130	друг друга	12	23
131	этот вопрос	1	23
132	бы в	3	23
133	отношение между	2	23
134	ни в	3	23
135	как он	4	23
136	во всяком	1	22
137	не могут	6	22
138	то время	2	22
139	смысле этого	1	22
140	в зависимости	1	22
141	высшей степени	4	22
142	между ними	1	21
143	к этому	3	21
144	как говорит	1	21
145	и ее	2	21
146	с таким	2	21
147	в нашем	2	21
148	его в	6	21
149	все время	3	21
150	в свете	3	21
151	и все	13	21
152	не имеет	7	21
153	в истории	2	21
154	ее в	1	21
155	и более	2	21
156	мышлении и	1	21
157	отношений между	2	21
158	отношение к	9	21
159	в виду	2	20
160	не менее	1	20
161	в котором	9	20
162	в другом	1	20
163	к которому	1	20
164	время как	2	20
165	на вопрос	1	20
166	в такой	4	20
167	и других	2	20
168	а в	4	20
169	говорит что	3	20
170	на этом	5	20
171	должно быть	5	20
172	и их	3	20
173	во всех	3	19
174	а с	1	19
175	и по	4	19
176	один из	9	19
177	но если	4	19
178	для других	1	19
179	в той	3	19
180	об отношении	1	19
181	как на	1	19
182	с ним	5	19
183	во всем	5	18
184	во всей	1	18
185	но это	8	18
186	в отличие	1	18
187	отличие от	1	18
188	приходит к	2	18
189	всяком случае	1	18
190	чем в	3	18
191	в этих	6	17
192	в своих	4	17
193	их в	1	17
194	казалось бы	1	17
195	в одном	1	17
196	я не	4	17
197	не есть	21	17
198	сих пор	5	17
199	и той	2	17
200	на деле	4	17
201	до сих	5	17
202	мысль не	1	17
203	о природе	1	17
204	в свою	5	17
205	до конца	16	17
206	и для	7	17
207	для этого	3	17
208	все что	5	17
209	у него	38	17
210	ту же	1	17
211	и от	3	17
212	и есть	21	17
213	то и	1	17
214	и только	1	17
215	своей природе	1	16
216	одной и	2	16
217	раньше чем	1	16
218	в которых	5	16
219	значение в	1	16
220	мы имеем	1	16
221	вовсе не	1	16
222	к одному	2	16
223	которые не	2	16
224	и даже	1	16
225	между двумя	1	16
226	по поводу	1	16
227	то в	2	16
228	в мысли	2	16
229	мысль что	4	16
230	для нас	3	16
231	которые в	2	16
232	тому как	2	16
233	является в	1	15
234	в них	5	15
235	от этого	4	15
236	и это	16	15
237	подобно тому	2	15
238	со всеми	1	15
239	что если	1	15
240	на все	3	15
241	тем более	1	15
242	хотя бы	8	15
243	в начале	2	15
244	те же	5	15
245	отличается от	2	15
246	между этими	1	15
247	значит что	4	15
248	ничего не	4	15
249	вообще не	2	15
250	когда он	3	15
251	это значит	3	14
252	но что	1	14
253	что у	3	14
254	точку зрения	1	14
255	из этого	1	14
256	и здесь	6	14
257	только тогда	1	14
258	одним из	2	14
259	одной из	1	14
260	он должен	4	14
261	в учении	1	14
262	о чем	3	14
263	это есть	4	14
264	когда мы	2	14
265	значение для	1	14
266	и во	5	14
267	с его	6	14
268	об этом	2	14
269	и тот	2	13
270	его к	2	13
271	если в	2	13
272	смысле слова	7	13
273	к его	1	13
274	они не	4	13
275	но на	2	13
276	на его	1	13
277	она не	9	13
278	человека и	19	13
279	как они	1	13
280	но все	1	13
281	с ней	3	13
282	связана с	9	13
283	в состоянии	1	13
284	лишь в	8	13
285	все более	1	13
286	совершается в	1	13
287	к другу	6	12
288	но он	17	12
289	должны были	1	12
290	за пределы	5	12
291	к другому	4	12
292	с их	2	12
293	в одной	1	12
294	и потому	17	12
295	в самых	2	12
296	еще более	3	12
297	ко всем	3	12
298	к нему	8	12
299	от его	3	12
300	в ее	3	12
301	все основные	1	12
302	были бы	1	12
303	мог бы	5	12
304	это и	7	12
305	в ней	23	12
306	входит в	3	12
307	не столько	1	11
308	с собой	5	11
309	на примере	1	11
310	не могли	1	11
311	ключ к	1	11
312	находится в	1	11
313	на том	3	11
314	по типу	1	11
315	отношения к	6	11
316	не означает	2	11
317	в каком	2	11
318	моментов в	1	11
319	ответ на	1	11
320	на самом	2	11
321	раз в	1	11
322	есть в	3	11
323	не по	1	11
324	что на	1	11
325	нас в	3	11
326	одно из	3	11
327	мы увидим	4	11
328	наряду с	1	11
329	не знает	12	11
330	в конце	11	11
331	он в	4	11
332	лежит в	2	11
333	в пределах	1	11
334	к пониманию	1	11
335	и наконец	1	11
336	есть не	9	11
337	является для	1	10
338	друг на	1	10
339	всякий раз	2	10
340	но для	2	10
341	что как	1	10
342	что такое	2	10
343	на высшую	1	10
344	одного из	1	10
345	с внутренней	2	10
346	высшую ступень	1	10
347	в другой	1	10
348	этот процесс	5	10
349	не совпадает	1	10
350	на друга	1	10
351	у нас	13	10
352	что является	1	10
353	из всех	1	10
354	за собой	2	10
355	привести к	9	10
356	но этот	3	10
357	к жизни	1	10
358	учение о	3	10
359	и у	3	10
360	не иначе	1	10
361	вопроса о	1	10
362	процесса в	1	10
363	во второй	1	10
364	как с	1	10
365	если не	1	10
366	относится к	2	10
367	не могло	1	10
368	чем он	1	10
369	с той	1	10
370	потребность в	1	10
371	в нашей	1	10
372	и до	1	9
373	связано с	5	9
374	к этим	3	9
375	под влиянием	1	9
376	должны быть	3	9
377	та же	4	9
378	друг к	6	9
379	оно не	3	9
380	с психологической	1	9
381	и заключается	1	9
382	и поэтому	3	9
383	в новой	1	9
384	что же	2	9
385	может не	3	9
386	но эта	2	9
387	сама по	1	9
388	этого вопроса	3	9
389	также и	6	9
390	не с	1	9
391	в плане	1	9
392	место в	4	9
393	в момент	3	9
394	к этой	3	9
395	только для	1	9
396	говорить о	1	9
397	установить что	1	9
398	не то	1	9
399	и он	21	9
400	представляется нам	1	9
401	находит свое	1	9
402	мы говорим	1	9
403	оно есть	1	9
404	еще в	4	9
405	такого рода	1	9
406	видим в	1	9
407	он может	1	9
408	хотя и	2	9
409	в самой	8	9
410	в ином	2	9
411	но с	2	9
412	должен быть	4	9
413	не как	4	8
414	стоит в	3	8
415	которая не	2	8
416	в этот	2	8
417	увидим что	5	8
418	и те	4	8
419	уже и	1	8
420	не умеет	1	8
421	нет никаких	2	8
422	в деле	1	8
423	все остальные	1	8
424	почти всегда	1	8
425	этот путь	3	8
426	что только	1	8
427	обратиться к	1	8
428	от нее	5	8
429	сам по	2	8
430	поэтому в	1	8
431	в течение	1	8
432	отношении к	4	8
433	наших глазах	1	8
434	все равно	3	8
435	на одном	1	8
436	только и	7	8
437	связь с	1	8
438	отношений и	1	8
439	не мог	6	8
440	себе и	4	8
441	остается в	1	8
442	и др	1	8
443	во время	1	8
444	и из	1	8
445	не на	1	8
446	должен был	4	8
447	и тогда	2	8
448	более и	1	8
449	что я	1	8
450	связан с	1	8
451	в более	4	8
452	различие между	2	8
453	тому чтобы	2	8
454	на которой	1	8
455	нисколько не	1	8
456	самой своей	1	8
457	что не	3	8
458	в разных	3	7
459	и сам	1	7
460	быть выражена	1	7
461	сознания в	2	7
462	он сам	11	7
463	больше и	1	7
464	оно имеет	1	7
465	всех этих	1	7
466	и делает	1	7
467	говорили что	1	7
468	его и	2	7
469	в значительной	2	7
470	своему значению	3	7
471	у них	4	7
472	находятся в	1	7
473	которых он	5	7
474	ничего кроме	2	7
475	для всего	1	7
476	этим именем	1	7
477	связаны с	1	7
478	мере в	1	7
479	с первого	1	7
480	имеет свою	1	7
481	это в	1	7
482	которой мы	1	7
483	из нее	1	7
484	в жизни	7	7
485	не существует	5	7
486	которой он	2	7
487	и вместе	4	7
488	именно потому	1	7
489	во втором	1	7
490	его с	4	7
491	должна быть	7	7
492	основной и	1	7
493	не имеют	2	7
494	как совершенно	1	7
495	его мысль	2	7
496	принадлежит к	3	7
497	вывод что	1	7
498	на одной	2	7
499	сознания и	1	7
500	а также	1	7
501	но по	1	7
502	в обоих	1	7
503	признать что	1	7
504	только один	3	6
505	от одного	1	6
506	и другим	1	6
507	в природе	1	6
508	к ней	6	6
509	уже не	8	6
510	себе в	3	6
511	с другим	3	6
512	что их	1	6
513	потребности в	1	6
514	всего в	2	6
515	и мы	2	6
516	процесса как	1	6
517	не остается	2	6
518	в каждом	4	6
519	тот момент	1	6
520	значение и	1	6
521	во внутреннем	1	6
522	и самый	2	6
523	как к	2	6
