N	3gram	Berdyaev_N	Komedia
1	в том что	1	29
2	до сих пор	1	16
3	о том что	1	13
4	в то время	1	11
5	вместе с тем	2	9
6	с одной стороны	2	9
7	то время как	1	9
8	с другой стороны	2	8
9	во всяком случае	1	7
10	в отличие от	1	6
11	в том числе	1	6
12	можно было бы	1	4
13	то что он	1	3
14	в высшей степени	6	3
15	о том чтобы	1	3
16	равно как и	2	3
17	но и в	1	3
18	наряду с этим	1	3
19	в новое время	1	3
20	том числе и	1	3
21	ни в чем	1	3
22	как будто бы	1	2
23	в большинстве случаев	1	2
24	между небом и	1	2
25	в этом смысле	2	2
26	вполне возможно что	1	2
27	как и в	1	2
28	в зависимости от	1	2
29	не было и	1	2
30	в нем не	1	2
31	как это было	1	2
32	подобно тому как	3	2
33	так же как	2	2
34	и не менее	1	2
35	только потому что	1	2
36	не только в	1	2
37	я думаю что	1	2
38	в политической жизни	1	1
39	что она не	1	1
40	не может быть	4	1
41	и во всех	1	1
42	мы конечно не	1	1
43	прежде всего они	1	1
44	одного и того	1	1
45	может быть только	1	1
46	не знает что	1	1
47	в том случае	1	1
48	в котором и	1	1
49	еще не знает	1	1
50	он не хочет	1	1
51	могут быть отнесены	1	1
52	что в нем	2	1
53	всякое значение для	1	1
54	и того же	1	1
55	только одна десятая	1	1
56	в наше время	3	1
57	к вопросу о	1	1
58	лицом к лицу	3	1
59	имея в виду	1	1
60	в значительной степени	1	1
61	а не в	1	1
62	и не может	1	1
63	античной цивилизации и	1	1
64	по существу своему	1	1
65	может быть сам	1	1
66	в том чтобы	1	1
67	то что в	1	1
68	он не может	2	1
69	со всех сторон	3	1
70	и до сих	1	1
71	нового времени в	1	1
72	которые могут быть	1	1
73	культуры в том	1	1
74	же как и	1	1
75	до войны и	1	1
76	том случае если	1	1
77	вопрос о том	2	1
78	а не для	1	1
