N	2gram	Tiupa_Anal	Poddanst
1	не только	30	17
2	и в	30	14
3	и не	33	12
4	в области	4	11
5	в этом	31	10
6	в отношении	2	10
7	в том	36	9
8	то же	12	9
9	в качестве	38	9
10	но в	11	9
11	н и	1	8
12	хотя бы	4	8
13	в пределах	11	8
14	только в	8	7
15	же время	7	7
16	в то	10	7
17	в ней	1	6
18	быть может	2	6
19	было бы	4	6
20	но и	29	6
21	может быть	33	5
22	отношении к	1	5
23	с другой	7	5
24	не в	17	5
25	и о	3	5
26	в которых	1	5
27	а н	1	5
28	а я	1	5
29	и к	5	4
30	что в	7	4
31	в котором	5	4
32	по себе	6	4
33	и если	2	4
34	и потому	2	4
35	мы должны	2	4
36	не может	26	4
37	а в	11	4
38	то что	11	4
39	как бы	15	4
40	если бы	6	4
41	а также	8	4
42	в своем	2	4
43	же в	1	4
44	том что	21	4
45	в себе	17	3
46	что мы	3	3
47	ей в	1	3
48	с одной	7	3
49	мы не	1	3
50	это не	7	3
51	одной стороны	6	3
52	для того	4	3
53	между тем	7	3
54	с точки	6	3
55	хотя и	4	3
56	с тем	1	3
57	потому что	3	3
58	она есть	2	3
59	прежде всего	8	3
60	вслед за	3	3
61	сводится к	6	3
62	тем самым	9	3
63	в настоящий	1	3
64	сами по	3	3
65	заключается в	2	3
66	но не	13	3
67	могут быть	12	3
68	я и	8	3
69	и т	3	3
70	и как	6	3
71	с ними	2	3
72	столь же	7	3
73	настоящий момент	1	3
74	в нем	3	3
75	тот же	2	3
76	точки зрения	10	3
77	во всех	5	2
78	в сочетании	7	2
79	и резко	1	2
80	является в	1	2
81	в полной	3	2
82	было в	1	2
83	если в	3	2
84	более чем	4	2
85	м и	2	2
86	в значительной	1	2
87	том числе	3	2
88	еще более	1	2
89	по-видимому не	1	2
90	хх века	1	2
91	на этих	1	2
92	в ее	2	2
93	и тем	4	2
94	того что	5	2
95	никак не	2	2
96	как раз	5	2
97	в частности	32	2
98	в его	15	2
99	не о	3	2
100	а не	25	2
101	но о	3	2
102	для нас	1	2
103	все это	2	2
104	в которую	2	2
105	говорить о	3	2
106	в тот	1	2
107	для них	1	2
108	может и	2	2
109	где в	1	2
110	своем значении	1	2
111	и есть	3	2
112	сколько бы	3	2
113	в виде	1	2
114	в них	1	2
115	творчества и	2	2
116	не было	1	2
117	и с	2	2
118	в начале	3	2
119	может ли	2	2
120	как на	1	2
121	в общем	1	2
122	полной мере	3	2
123	мысль о	2	2
124	именно в	6	2
125	должно быть	2	2
126	в жизни	1	2
127	отношения к	4	2
128	в последние	1	2
129	во всей	1	2
130	есть нечто	1	2
131	помнить что	1	2
132	в силу	4	2
133	одна из	1	2
134	между прочим	1	2
135	в мире	14	2
136	например в	1	2
137	не менее	5	2
138	в ряду	2	2
139	не столько	5	2
140	думать что	2	2
141	отнюдь не	22	2
142	со стороны	5	2
143	да и	2	2
144	исключительно в	1	2
145	в эту	3	2
146	культуры в	2	2
147	из них	2	2
148	но к	3	2
149	есть не	9	2
150	тем более	2	2
151	есть в	4	2
152	что из	2	2
153	в е	1	2
154	переход от	1	2
155	не к	3	2
156	бы ни	2	2
157	мира с	1	2
158	в статье	1	2
159	этих двух	1	1
160	были бы	1	1
161	представить себе	1	1
162	и некоторой	1	1
163	говорится о	1	1
164	каким оно	2	1
165	нет ничего	2	1
166	как к	2	1
167	от нее	1	1
168	во всяком	1	1
169	тем в	1	1
170	могли бы	2	1
171	не есть	8	1
172	о личности	3	1
173	собственном смысле	1	1
174	и то	4	1
175	но как	1	1
176	выступает в	2	1
177	и целиком	1	1
178	бы и	1	1
179	и эти	2	1
180	на этой	2	1
181	мы видим	1	1
182	а с	3	1
183	в данном	6	1
184	только к	1	1
185	с его	3	1
186	что оно	1	1
187	видения в	1	1
188	в н	1	1
189	и более	5	1
190	те же	3	1
191	вместе с	6	1
192	и частной	1	1
193	и здесь	1	1
194	по природе	4	1
195	до тех	1	1
196	и на	10	1
197	отличие от	8	1
198	в самом	12	1
199	вопрос о	2	1
200	не означает	2	1
201	два направления	1	1
202	они не	1	1
203	в восприятии	2	1
204	может не	2	1
205	она должна	1	1
206	восходит к	2	1
207	поэтики в	1	1
208	это в	1	1
209	только что	1	1
210	они являются	1	1
211	в действии	1	1
212	тяготеет к	1	1
213	к этой	1	1
214	исходить из	1	1
215	прямо на	1	1
216	во мраке	1	1
217	выражению не	1	1
218	уже в	1	1
219	должна быть	1	1
220	пор пока	1	1
221	человеческого бытия	2	1
222	при отсутствии	1	1
223	внутреннего зрения	9	1
224	более или	2	1
225	применении к	1	1
226	чем глубже	1	1
227	того чтобы	3	1
228	к соединению	1	1
229	в применении	1	1
230	и иных	1	1
231	на основе	3	1
232	только мы	1	1
233	представляет собой	23	1
234	далеко если	1	1
235	помимо воли	1	1
236	как известно	4	1
237	отрыве от	2	1
238	может помешать	1	1
239	сопоставлении с	1	1
240	что это	1	1
241	не более	4	1
242	к первой	1	1
243	конечно и	1	1
244	одно и	2	1
245	ни на	1	1
246	есть у	1	1
247	которой в	1	1
248	и уже	1	1
249	в формах	1	1
250	из тех	1	1
251	какой бы	2	1
252	должна была	2	1
253	из этих	2	1
254	что с	1	1
255	что то	1	1
256	и личности	1	1
