N	4gram	Propp_Morf	Myslijsy
1	в то же время	1	13
2	одно и то же	1	7
3	один и тот же	1	4
4	в то время как	3	4
5	не что иное как	2	4
6	все более и более	1	4
7	в том что он	1	3
8	с этой точки зрения	1	3
9	в том случае когда	1	2
10	состоит в том что	3	2
11	в том случае если	2	2
12	на то что в	1	2
13	мы можем заметить что	1	2
14	бы они ни были	1	2
15	и т д то	1	2
16	бы то ни было	2	2
17	которые не могут быть	1	2
18	то же время и	1	2
19	друг к другу и	2	1
20	то с другой стороны	1	1
21	и т д в	2	1
22	только в том случае	1	1
23	на первый взгляд кажется	1	1
24	что бы то ни	1	1
25	не имеет смысла но	1	1
26	и в других случаях	1	1
27	как и в других	2	1
28	но он может быть	1	1
29	во всех подобных случаях	1	1
30	о том что такое	1	1
31	таким образом мы видим	4	1
32	во что бы то	1	1
33	к соединению с другими	1	1
34	а для того чтобы	1	1
35	и т д можно	1	1
36	в том что все	1	1
37	можно себе представить что	1	1
38	до сих пор не	1	1
39	можно было бы сказать	1	1
40	в противном случае он	1	1
41	бы то ни стало	1	1
42	в этом случае не	3	1
43	точно так же и	1	1
44	прежде чем перейти к	1	1
45	тем не менее она	2	1
46	ответить на этот вопрос	1	1
47	здесь как и в	1	1
48	выводы можно сделать из	1	1
49	бросается в глаза что	1	1
50	следует еще заметить что	1	1
51	к другу и к	2	1
52	и т д и	1	1
53	не имеет ничего общего	1	1
54	есть в то же	1	1
55	и вне связи с	1	1
56	если же в результате	1	1
57	то прежде всего следует	1	1
58	что это и не	1	1
59	и т д это	1	1
60	могут быть приведены в	1	1
61	есть не что иное	1	1
