N	3gram	Kanaev_Sov	Morfolog
1	мы видим что	1	11
2	в этом случае	1	10
3	не может быть	4	9
4	в связи с	1	9
5	по отношению к	1	7
6	с точки зрения	5	6
7	тем не менее	2	6
8	в том что	1	4
9	на самом деле	1	4
10	не могут быть	1	4
11	но все же	1	4
12	в настоящее время	2	3
13	бы то ни	1	3
14	в том случае	1	3
15	до наших дней	1	2
16	для наших целей	1	2
17	друг на друга	1	2
18	он может быть	1	2
19	под углом зрения	1	2
20	не что иное	1	2
21	в обоих случаях	1	2
22	можно было бы	1	2
23	в данном случае	1	2
24	то ни было	1	2
25	во всяком случае	2	2
26	что иное как	1	2
27	с одной стороны	1	2
28	оно может быть	1	2
29	может быть и	2	2
30	есть не что	1	1
31	в целом может	1	1
32	в свою очередь	2	1
33	и тот же	1	1
34	быть разложена на	1	1
35	и могут быть	1	1
36	ни одна не	1	1
37	мы уже знаем	1	1
38	и может быть	1	1
39	чем в первом	1	1
40	том случае когда	1	1
41	может быть разложена	1	1
42	состоит из двух	1	1
43	один и тот	1	1
44	не более как	1	1
45	и не стремится	1	1
46	из этих двух	1	1
47	но если мы	1	1
48	и что следовательно	1	1
49	более и более	1	1
50	в то же	1	1
51	но они не	1	1
52	на этот вопрос	1	1
53	и есть то	1	1
54	же в результате	1	1
55	друг с другом	2	1
56	до сих пор	1	1
57	все же в	1	1
58	все более и	1	1
59	и в начале	1	1
60	могут быть поняты	1	1
61	не будем же	1	1
62	той или иной	1	1
63	в этой области	1	1
64	мы этого и	1	1
65	следующим образом если	1	1
66	этого и не	1	1
67	к чему мы	1	1
68	с самого начала	3	1
69	одна из них	1	1
70	это значит что	1	1
71	совершенно не приходится	1	1
72	в одном случае	1	1
73	то же время	1	1
74	те или иные	1	1
75	мы не можем	6	1
76	тем же законам	1	1
77	мы видим не	1	1
