N	2gram	Savitsky_E	Komedia
1	и в	37	77
2	и не	14	47
3	iv в	1	45
4	в том	11	44
5	том что	6	42
6	о том	3	33
7	т е	9	33
8	но и	14	32
9	может быть	6	30
10	из них	3	29
11	таким образом	2	29
12	в то	16	28
13	и его	1	28
14	в этом	12	27
15	потому что	3	27
16	к тому	8	26
17	тому же	1	25
18	не только	18	25
19	вместе с	2	25
20	так как	7	24
21	как и	7	23
22	что в	21	23
23	в самом	4	22
24	что и	3	22
25	если бы	2	22
26	то же	15	21
27	так и	10	21
28	а в	2	21
29	в его	2	20
30	со стороны	5	19
31	в этой	2	18
32	тем что	3	17
33	же время	14	17
34	в нем	1	17
35	и т	1	17
36	при этом	1	16
37	все же	1	16
38	не менее	1	16
39	он не	2	16
40	и сам	1	16
41	тот же	1	16
42	не в	5	15
43	в своем	14	15
44	точки зрения	23	15
45	на себя	3	15
46	между тем	8	15
47	один из	1	15
48	и на	6	15
49	было бы	8	15
50	прежде всего	9	15
51	и с	2	14
52	столь же	5	14
53	к нему	2	14
54	в свою	3	14
55	ли не	1	14
56	об этом	1	14
57	в них	3	13
58	в одном	2	13
59	того же	3	13
60	мы можем	3	13
61	в двух	1	13
62	то что	6	13
63	того чтобы	6	13
64	но в	14	13
65	в котором	2	12
66	для того	6	12
67	так же	9	12
68	с другой	7	12
69	несмотря на	4	12
70	хотя и	2	12
71	в качестве	14	12
72	как это	4	12
73	как в	3	12
74	уже в	1	12
75	в истории	2	12
76	в начале	1	12
77	не может	9	12
78	но не	5	12
79	и даже	6	11
80	с тем	3	11
81	по отношению	1	11
82	наряду с	2	11
83	что его	1	11
84	с ним	1	11
85	то время	1	11
86	речь идет	1	11
87	как мы	5	11
88	на этот	2	11
89	и для	3	11
90	в их	11	11
91	в частности	5	11
92	к ней	4	11
93	одного из	1	11
94	с этим	2	10
95	свою очередь	2	10
96	с одной	8	10
97	как бы	6	10
98	и что	2	10
99	в отношении	32	10
100	и все	2	10
101	более чем	2	10
102	на основании	2	10
103	одной из	5	10
104	с его	1	10
105	мы не	4	10
106	на его	1	10
107	тем более	4	10
108	еще в	1	10
109	же в	2	10
110	все что	1	9
111	но все	1	9
112	в своей	8	9
113	больше чем	1	9
114	одной стороны	8	9
115	говорить о	1	9
116	и еще	2	9
117	тому что	1	9
118	время как	1	9
119	только в	9	9
120	в тех	1	9
121	даже не	1	9
122	и по	5	9
123	независимо от	4	9
124	а также	7	9
125	вовсе не	6	9
126	отличие от	1	9
127	в ней	4	9
128	с этой	6	8
129	а затем	1	8
130	другой стороны	2	8
131	то это	1	8
132	не было	1	8
133	бы в	2	8
134	во всех	6	8
135	то ни	4	8
136	можно было	3	8
137	что для	1	8
138	если не	1	8
139	в которых	3	8
140	в течение	5	8
141	связи с	1	8
142	по своему	7	8
143	войны и	2	8
144	и других	2	8
145	идет о	3	8
146	и ее	1	8
147	место в	3	8
148	и к	3	7
149	дело с	1	7
150	в результате	3	7
151	в этих	2	7
152	если в	2	7
153	себе в	3	7
154	во всяком	3	7
155	вопрос о	4	7
156	хотя бы	15	7
157	бы то	4	7
158	ни было	4	7
159	в связи	1	7
160	и это	1	7
161	в других	2	7
162	и тот	1	7
163	перед лицом	1	7
164	в себе	9	7
165	не имеет	4	7
166	не является	3	7
167	и поэтому	2	7
168	мы знаем	1	7
169	целый ряд	2	7
170	и во	2	7
171	но если	5	7
172	всяком случае	3	7
173	для нас	4	7
174	со своим	1	7
175	или иначе	1	7
176	этот раз	1	7
177	отнюдь не	9	7
178	тех же	1	7
179	и о	1	7
180	говоря уже	2	6
181	еще более	2	6
182	даже в	4	6
183	с собой	1	6
184	около г	1	6
185	в своих	2	6
186	представляет собой	3	6
187	уже о	1	6
188	с точки	17	6
189	что не	1	6
190	о которых	1	6
191	на этом	1	6
192	не дает	3	6
193	и тем	3	6
194	могут быть	2	6
195	в силу	2	6
196	всего в	2	6
197	с и	10	6
198	в другой	2	6
199	а не	2	6
200	в отличие	1	6
201	главным образом	2	6
202	в области	11	6
203	на вопрос	1	6
204	том числе	1	6
205	и новой	1	6
206	из числа	4	6
207	или в	2	6
208	что к	2	6
209	в какой	2	6
210	и как	2	6
211	к концу	1	6
212	на то	6	6
213	не говоря	2	6
214	на которые	1	6
215	во второй	3	6
216	когда он	3	6
217	как будто	2	6
218	для всех	1	5
219	из всех	3	5
220	именно в	4	5
221	его на	2	5
222	что по	1	5
223	средней и	1	5
224	любви к	1	5
225	а на	1	5
226	к ним	3	5
227	сказать что	4	5
228	который в	1	5
229	от них	3	5
230	никогда не	3	5
231	представить себе	1	5
232	и мы	3	5
233	в ее	8	5
234	чем в	4	5
235	можно судить	1	5
236	также в	2	5
237	в мире	2	5
238	одном из	2	5
239	между собой	2	5
240	т д	1	5
241	все остальные	1	5
242	в развитии	2	5
243	на долю	3	5
244	друг другу	1	5
245	и от	3	5
246	каждого из	1	5
247	от нее	1	5
248	представление о	2	5
249	что это	2	5
250	из того	2	5
251	за пределы	1	5
252	признать что	1	5
253	конечно не	1	5
254	и если	2	5
255	и теперь	2	5
256	у других	1	5
257	вслед за	6	5
258	в обоих	1	5
259	той же	1	5
260	в сознании	1	5
261	этом отношении	3	5
262	или вовсе	1	5
263	участие в	2	5
264	речи о	1	5
265	отказаться от	1	5
266	от того	1	5
267	что из	1	5
268	жизни и	2	5
269	для этого	1	5
270	что на	2	5
271	мира в	4	5
272	в той	5	4
273	каждой из	1	4
274	к числу	1	4
275	следует что	1	4
276	тем как	1	4
277	в принципе	1	4
278	нас в	1	4
279	чтобы в	1	4
280	в построении	1	4
281	например в	1	4
282	правда в	1	4
283	времени в	1	4
284	из себя	1	4
285	одна из	1	4
286	ближе к	1	4
287	в состоянии	1	4
288	к которому	1	4
289	это обстоятельство	1	4
290	аналогии с	1	4
291	одно из	1	4
292	не о	1	4
293	как его	1	4
294	в последних	1	4
295	силу этого	1	4
296	в последние	6	4
297	между ними	2	4
298	же как	5	4
299	именно потому	2	4
300	что эта	1	4
301	по своей	2	4
302	как известно	1	4
303	с которым	1	4
304	к сожалению	1	4
305	был бы	1	4
306	когда в	1	4
307	так называемых	1	4
308	не на	4	4
309	одновременно с	1	4
310	стороны и	6	4
311	сравнению с	2	4
312	нет ничего	1	4
313	что мы	1	4
314	то и	1	4
315	по сравнению	2	4
316	что же	2	4
317	чуть ли	1	4
318	или к	1	4
319	в более	1	4
320	вероятно что	1	4
321	второй половине	2	4
322	он называет	1	4
323	многие из	1	4
324	что с	1	4
325	и другие	1	4
326	у нас	1	4
327	в свои	2	4
328	с их	1	4
329	или менее	1	4
330	такой же	2	4
331	мог бы	2	4
332	обстоит дело	3	4
333	и их	1	4
334	в пределах	25	4
335	далеко не	2	4
336	чтобы не	1	4
337	которые в	1	4
338	в остальном	3	4
339	все более	9	4
340	в основе	1	4
341	меньше чем	2	4
342	во всем	1	3
343	к этой	1	3
344	за исключением	1	3
345	или по	2	3
346	а у	1	3
347	по себе	4	3
348	более или	1	3
349	или на	1	3
350	в соответствии	1	3
351	на пути	1	3
352	и когда	1	3
353	приходит к	1	3
354	всего этого	1	3
355	как на	3	3
356	соответствии с	1	3
357	в нашем	1	3
358	для понимания	2	3
359	друг с	3	3
360	затем в	1	3
361	раз на	1	3
362	с другом	3	3
363	для них	2	3
364	и притом	4	3
365	в таком	3	3
366	по ее	1	3
367	от этого	5	3
368	в эту	2	3
369	на себе	1	3
370	того в	1	3
371	для развития	1	3
372	ли это	3	3
373	всего лишь	3	3
374	было только	1	3
375	он в	1	3
376	их к	1	3
377	есть основание	1	3
378	на рубеже	1	3
379	мы видели	3	3
380	на месте	2	3
381	не делает	1	3
382	также что	1	3
383	для себя	1	3
384	не могут	2	3
385	не более	3	3
386	с г	1	3
387	с ними	1	3
388	друг от	2	3
389	и более	2	3
390	чем на	2	3
391	относится к	1	3
392	состоит в	1	3
393	если мы	1	3
394	том же	1	3
395	его для	1	3
396	казалось бы	1	3
397	в самой	1	3
398	строя в	1	3
399	малой азии	1	3
400	бы на	1	3
401	не являются	1	3
402	мы находим	1	3
403	в виде	5	3
404	однако не	1	3
405	от друга	2	3
406	иначе обстоит	2	3
407	и эта	2	3
408	с той	1	3
409	один и	1	3
410	в каждой	1	3
411	и таким	2	3
412	в одной	1	3
413	на них	2	3
414	ко всему	2	3
415	и потому	5	3
416	а к	1	3
417	она не	2	3
418	так называемой	1	3
419	в отношениях	1	3
420	в большинстве	2	3
421	в рамках	1	3
422	числе и	1	3
423	по этому	1	3
424	все еще	1	3
425	это в	1	3
426	является ли	3	3
427	в известной	3	3
428	вплоть до	1	3
429	не к	2	3
430	с которыми	1	2
431	находим в	1	2
432	в центре	1	2
433	о будущем	1	2
434	говорит о	3	2
435	те же	1	2
436	не как	1	2
437	что произошло	1	2
438	связь с	1	2
439	ко всем	1	2
440	на которых	1	2
441	на земле	1	2
442	к которой	1	2
443	из всего	1	2
444	принадлежат к	1	2
445	поскольку же	1	2
446	в порядке	2	2
447	и те	1	2
448	почти все	1	2
449	поскольку он	2	2
450	от своей	1	2
451	в форму	1	2
452	перед собой	1	2
453	связанного с	1	2
454	можно считать	3	2
455	следовало бы	2	2
456	и следовательно	1	2
457	вопрос не	2	2
458	в этот	1	2
459	дает представление	1	2
460	но они	1	2
461	то чтобы	1	2
462	него не	1	2
463	тех случаях	1	2
464	они должны	1	2
465	такая же	1	2
466	что все	2	2
467	от себя	1	2
468	что даже	1	2
469	они могут	1	2
470	чем это	1	2
471	римской империи	1	2
472	за несколько	1	2
473	то в	4	2
474	вовлеченных в	1	2
475	мы видим	2	2
476	именно об	1	2
477	она и	1	2
478	том насколько	1	2
479	но еще	2	2
480	к выводу	1	2
481	с другими	2	2
482	к жизни	1	2
483	как по	1	2
484	и можно	2	2
485	более поздние	2	2
486	очевидно что	3	2
487	прошлом и	1	2
488	большинстве случаев	3	2
489	между прочим	7	2
490	рядом с	1	2
491	в аттику	3	2
492	его жизни	1	2
493	же касается	1	2
494	в смысле	9	2
495	а для	1	2
496	выступает в	1	2
497	это были	1	2
498	в лучшем	1	2
499	ту же	1	2
500	на свой	1	2
501	и та	2	2
502	чем больше	2	2
503	где в	1	2
504	поставлена в	1	2
505	этот вопрос	2	2
506	с такими	1	2
507	для оценки	1	2
508	к первому	1	2
509	в общем	3	2
510	ней в	1	2
511	бы ни	3	2
512	античного мира	1	2
513	с ее	1	2
514	гораздо более	1	2
515	именно таким	1	2
516	означает что	1	2
517	не будет	3	2
518	в состав	1	2
519	этого обстоятельства	1	2
520	имело место	1	2
521	должна быть	2	2
522	которых мы	1	2
523	в жизни	1	2
524	с такой	1	2
525	на несколько	1	2
526	европейской культуры	3	2
527	сводится к	1	2
528	перед ними	1	2
529	этой точки	5	2
530	наряду со	1	2
