N	2gram	Voloshinov	Sotsiolo
1	все это	4	7
2	в том	3	5
3	в этом	9	5
4	не только	7	3
5	и в	16	3
6	и только	9	3
7	но ведь	2	3
8	в его	4	3
9	для нас	2	3
10	что в	3	2
11	ведь это	1	2
12	то что	3	2
13	таким образом	9	2
14	том что	3	2
15	как бы	5	2
16	было бы	2	2
17	в смысле	1	2
18	в частности	2	2
19	и мы	2	2
20	но и	4	2
21	может быть	17	2
22	она может	1	2
23	главным образом	1	2
24	и что	1	2
25	это и	1	2
26	за пределы	2	2
27	в конце	1	2
28	только в	4	2
29	только как	3	2
30	то же	2	2
31	еще не	5	2
32	а в	3	1
33	что он	2	1
34	в конечном	3	1
35	столь же	1	1
36	науки о	1	1
37	быть не	1	1
38	на этот	1	1
39	что эти	1	1
40	все эти	5	1
41	связи с	1	1
42	только то	2	1
43	есть метод	1	1
44	в своей	2	1
45	где же	1	1
46	во всяком	3	1
47	в мире	1	1
48	и потому	3	1
49	дает нам	1	1
50	все же	1	1
51	что это	2	1
52	по крайней	3	1
53	с другой	1	1
54	мы должны	1	1
55	это же	1	1
56	с ним	2	1
57	различает два	1	1
58	право на	1	1
59	как совокупность	1	1
60	именно и	1	1
61	но как	2	1
62	в этой	4	1
63	в свои	1	1
64	и его	8	1
65	опираясь на	1	1
66	не должна	1	1
67	перейти к	1	1
68	только когда	1	1
69	в данном	1	1
70	на все	1	1
71	только для	5	1
72	в области	3	1
73	и по	2	1
74	их на	1	1
75	первый план	1	1
76	с помощью	2	1
77	же самое	1	1
78	один из	2	1
79	так и	4	1
80	полагает что	1	1
81	наука о	1	1
82	ни одно	1	1
83	те же	3	1
84	между собой	2	1
85	отнюдь не	4	1
86	и не	4	1
87	всяком случае	3	1
88	эти два	1	1
89	по самому	1	1
90	и о	2	1
91	и история	1	1
92	к изучению	1	1
93	но не	1	1
94	они не	2	1
95	в него	5	1
96	правда он	1	1
97	и им	1	1
98	расти и	1	1
99	для этого	2	1
100	прежде всего	9	1
101	построение не	1	1
102	что она	1	1
103	же законы	1	1
104	в систему	2	1
105	и благодаря	1	1
106	перенес в	1	1
107	в чем	5	1
108	а с	1	1
109	мы еще	1	1
110	не дает	1	1
111	в сущности	1	1
112	в область	2	1
113	психологии и	1	1
114	конечном счете	2	1
115	его в	4	1
116	зависит от	1	1
117	крайней мере	3	1
118	между собою	2	1
119	я и	6	1
120	вовсе не	1	1
121	даже не	3	1
122	основной вопрос	1	1
123	с одной	1	1
124	и наконец	4	1
125	конечно не	6	1
126	о том	2	1
127	мы не	2	1
128	но именно	1	1
129	в этих	3	1
130	у него	2	1
131	на первый	2	1
132	не место	1	1
133	из тех	2	1
134	бы он	1	1
135	все то	2	1
136	хотя бы	4	1
137	наконец в	1	1
138	что на	2	1
139	одной стороны	1	1
140	в связи	1	1
141	никогда не	2	1
142	и есть	3	1
143	не может	8	1
144	между ними	3	1
145	и как	3	1
146	случае только	1	1
147	как и	2	1
148	ничего не	1	1
149	в них	2	1
