N	3gram	Tiupa_Anal	TeoriaLi
1	в том что	12	10
2	по отношению к	9	10
3	не сводится к	1	9
4	я в мире	7	8
5	в то же	7	8
6	то же время	7	8
7	присутствия я в	5	7
8	в отличие от	5	7
9	кадров внутреннего зрения	3	7
10	присутствия в мире	5	6
11	того или иного	5	6
12	в конечном счете	5	6
13	с другой стороны	7	6
14	состоит в том	2	6
15	не может быть	2	5
16	так и не	5	5
17	для того чтобы	1	5
18	так или иначе	5	5
19	в данном случае	11	5
20	роли в миропорядке	5	5
21	факторов художественного впечатления	4	4
22	в силу своей	1	4
23	одного и того	4	4
24	во второй строфе	4	4
25	в первой строфе	4	4
26	организации художественного текста	1	4
27	и того же	4	4
28	висит на волоске	2	3
29	в свою очередь	7	3
30	той или иной	6	3
31	а всего лишь	4	3
32	с точки зрения	2	3
33	в этом смысле	1	3
34	субъектной организации художественного	1	3
35	всех без исключения	3	3
36	взглянула на меня	2	3
37	тем не менее	3	3
38	можно сказать что	2	3
39	следует смешивать с	1	3
40	в своем составе	3	3
41	читателя зрителя слушателя	1	3
42	внимательно взглянула на	2	3
43	подобно тому как	3	3
44	по своей природе	1	3
45	в равной степени	2	3
46	тех или иных	1	3
47	и а а	3	3
48	по сути дела	1	3
49	в связи с	1	3
50	значении этого слова	1	3
51	не следует смешивать	1	3
52	с одной стороны	3	3
53	тот или иной	3	3
54	сказания или анекдота	2	2
55	в тарасе бульбе	3	2
56	природе суть то	1	2
57	в нашем случае	1	2
58	личности со своей	1	2
59	войне и мире	2	2
60	жизнь кажется висит	1	2
61	в этой системе	2	2
62	в слове о	2	2
63	ведет по пути	1	2
64	они хотят и	1	2
65	по сути своей	1	2
66	но он не	1	2
67	в сочетании с	4	2
68	в противном случае	2	2
69	суть то что	1	2
70	так и его	2	2
71	как к содержанию	2	2
72	внутренняя граница личности	2	2
73	до известной степени	3	2
74	мастера и маргариты	1	2
75	рамках одного текста	2	2
76	самореализации я в	1	2
77	в данном контексте	1	2
78	позволяет говорить о	2	2
79	кто говорит и	2	2
80	в русской литературе	5	2
81	знакового материала в	1	2
82	в рамках одного	2	2
83	в эстетический объект	1	2
84	при этом что	2	2
85	я в качестве	1	2
86	данту диктовала страницы	1	2
87	того же персонажа	1	2
88	в единое целое	2	2
89	как и в	6	2
90	в имени тебе	3	2
91	в самом деле	1	2
92	во всех подобных	1	2
93	относительно своей роли	2	2
94	организации художественного произведения	1	2
95	в русской поэзии	2	2
96	милой гостьи с	2	2
97	о у о	2	2
98	в самом начале	1	2
99	однако в строке	2	2
100	времени и в	1	2
101	в таком случае	2	2
102	ты ль данту	1	2
103	и вот вошла	1	2
104	внутренней и внешней	2	2
105	со стороны адресата	2	2
106	слове о полку	2	2
107	что в имени	3	2
108	лишь в самом	1	2
109	всех подобных случаях	1	2
110	феноменов ментального внутреннего	2	2
111	включает в себя	2	2
112	в войне и	2	2
113	у о о	2	2
114	организации феноменов ментального	2	2
115	уготованной ему позиции	1	2
116	стих звучит ритмическим	2	2
117	кажется висит на	1	2
118	в этом мире	1	2
119	эпоха классического реализма	1	2
120	и в форме	2	2
121	и тем самым	2	2
122	в соответствии с	2	2
123	а с другой	1	2
124	в пределах строки	2	2
125	том что он	2	2
126	не только не	3	2
127	я с его	2	2
128	хотят и свершают	1	2
129	что они хотят	1	2
130	своей роли в	2	2
131	не в самом	2	2
132	мы имеем дело	4	2
133	тем или иным	2	2
134	и его внешней	2	2
135	в мире это	1	2
136	имеет в своем	1	2
137	как и ее	1	2
138	не могут быть	1	2
139	в рамках которого	1	2
140	либо в сторону	2	2
141	а и а	2	2
142	гостьи с дудочкой	2	2
143	сама по себе	3	2
144	отношения к сообщаемому	2	2
145	о о и	2	2
146	его эстетической доминантой	2	2
147	в литературной практике	1	2
148	тогда как в	3	2
149	о полку игореве	3	2
150	пушкина что в	3	2
151	ль данту диктовала	1	2
152	своей природе суть	1	2
153	однако при этом	2	2
154	то что они	1	2
155	в известном смысле	2	2
156	ту или иную	1	2
157	индивидуального речевого замысла	2	2
158	стихотворении пушкина что	2	2
159	в значительной степени	3	2
160	с дудочкой в	1	2
161	как уже говорилось	2	2
162	в основе своей	2	2
163	и позволяет говорить	1	2
164	героини расчлененность текста	1	1
165	но не верифицируемым	1	1
166	ситуация избыточной свободы	1	1
167	низкой данности апостолов	1	1
168	внутренним отчуждением но	1	1
169	сакральная истинность незыблемого	1	1
170	заглавие манифестирует авторскую	1	1
171	и будущей жизни	1	1
172	слова своего семантического	1	1
173	основания трагическое я	1	1
174	неожиданности ожидаемого каждая	1	1
175	его летописных версиях	1	1
176	оправданном а в	1	1
177	а гоголевский хома	1	1
178	тыняновым законом тесноты	1	1
179	собою в точке	1	1
180	амбиций в дегероизированной	1	1
181	они обретают лишь	1	1
182	внутренней оторванности от	1	1
183	качестве бытийной компетенции	1	1
184	музы с личностным	1	1
185	границей личностного я	1	1
186	поэтессе с императивом	1	1
187	идиллической картины жизни	1	1
188	свободы я внутри	1	1
189	соответственно риторика сказания	1	1
190	хозяин все оставить	1	1
191	содержанию миропорядка и	1	1
192	праведного козацкого миропорядка	1	1
193	примеряя ее содержание	1	1
194	в конструктивной маске	1	1
195	ср признание баратынского	1	1
196	он уклоняется от	1	1
197	невозвратного мгновения при	1	1
198	возводящие архитектонику подвига	1	1
199	это глаза ее	1	1
200	мир весь целиком	1	1
201	же образом соотнесены	1	1
202	писал об этом	1	1
203	жизнь природа или	1	1
204	хозяйкой аллитерационная субструктура	1	1
205	лирический герой одновременно	1	1
206	объемлет всю внешнюю	1	1
207	их высокой сверхличной	1	1
208	однако впоследствии при	1	1
209	порок островского образцом	1	1
210	часто остается безымянным	1	1
211	или иной императив	1	1
212	уединенной личности такова	1	1
213	с юмором в	1	1
214	было введено в	1	1
215	мифологемы в данном	1	1
216	очередь определяется предметом	1	1
217	пустота личного самоопределения	1	1
218	демонстративная форматированность текста	1	1
219	образуют событийные границы	1	1
220	гоголя или в	1	1
221	от ряда стиховедов	1	1
222	культурную автономию в	1	1
223	звуковой повтор нередко	1	1
224	борющихся сторон чего	1	1
225	выделяют окказиональные впрочем	1	1
226	первом случае героические	1	1
227	рязани батыем трагическая	1	1
228	те два полюса	1	1
229	оно становится авторской	1	1
230	с доминирующим во	1	1
231	обеих борющихся сторон	1	1
232	ад картина вечных	1	1
233	что он не	2	1
234	ситуация управляемая единым	1	1
235	проста внутренний хронотоп	1	1
236	следует признать финальное	1	1
237	в мире едины	1	1
238	смысле домонологично оно	1	1
239	начальном стихе представлено	1	1
240	и формы высказывания	1	1
241	основания для сатирической	1	1
242	квазиреальной цепи событий	1	1
243	а а и	1	1
