N	2gram	Vygotskiy_	Narrotol
1	не только	16	62
2	и не	20	50
3	при этом	10	47
4	но и	6	45
5	а не	11	38
6	в качестве	2	35
7	в частности	3	31
8	может быть	33	30
9	и в	65	30
10	в том	46	29
11	в этом	37	28
12	том что	28	28
13	а в	9	27
14	такого рода	1	26
15	представляет собой	3	25
16	только в	9	25
17	состоит в	4	25
18	в данном	5	24
19	как и	12	24
20	не в	12	23
21	то что	61	23
22	то есть	30	22
23	не может	17	20
24	в рассказе	9	18
25	в себе	9	17
26	данном случае	5	17
27	так и	3	17
28	а также	1	17
29	со стороны	4	16
30	в его	11	16
31	к тому	18	15
32	можно сказать	2	15
33	но в	5	15
34	иначе говоря	10	15
35	в жизни	6	14
36	и его	8	14
37	то же	17	13
38	в своей	6	13
39	уже не	2	13
40	о том	17	13
41	в своем	8	13
42	у него	6	13
43	все же	10	12
44	сводится к	1	12
45	как в	8	12
46	перед нами	12	12
47	как бы	29	12
48	прежде всего	2	12
49	об этом	4	11
50	к себе	2	11
51	хотя и	1	11
52	в мире	3	11
53	если бы	22	11
54	и тем	4	11
55	в этой	20	11
56	в нем	8	11
57	жизни в	1	11
58	в отличие	1	11
59	отличие от	1	11
60	тем самым	4	11
61	один из	7	10
62	никогда не	9	10
63	тому же	2	10
64	точки зрения	19	10
65	между тем	10	10
66	как это	13	10
67	в то	5	10
68	и все	14	10
69	не является	2	10
70	жизни и	6	10
71	с его	2	10
72	ничего не	4	10
73	того что	9	10
74	но не	3	10
75	как раз	14	9
76	столь же	5	9
77	отнюдь не	2	9
78	что в	36	9
79	с ним	6	9
80	что он	23	9
81	еще не	3	9
82	потому что	26	9
83	для него	4	9
84	далеко не	3	9
85	рассказа в	4	9
86	в той	8	8
87	и к	5	8
88	в самом	41	8
89	в таком	6	8
90	о чем	1	8
91	не менее	1	8
92	не мог	4	8
93	одна из	6	8
94	он не	11	8
95	действующих лиц	6	8
96	и он	5	8
97	самом деле	33	8
98	того чтобы	21	8
99	внимание на	4	8
100	мы имеем	2	8
101	и для	4	8
102	этом отношении	1	8
103	у нас	4	8
104	но при	2	8
105	у нее	2	8
106	в речи	3	7
107	имеет место	2	7
108	в котором	7	7
109	с другой	8	7
110	пока еще	1	7
111	едва ли	4	7
112	в ее	9	7
113	на себя	1	7
114	в конце	5	7
115	в чем	3	7
116	в силу	2	7
117	и на	7	7
118	в форме	1	7
119	же в	2	7
120	в свою	6	7
