N	3gram	Losev_Prob	Vladivir
1	в том что	13	29
2	о том что	14	22
3	тем не менее	8	18
4	и то что	3	14
5	в то время	4	13
6	дело в том	4	13
7	необходимо сказать что	6	13
8	в те времена	2	13
9	во всяком случае	6	12
10	в связи с	11	12
11	содержит в себе	1	11
12	более или менее	1	11
13	в конце концов	7	11
14	к тому же	5	11
15	не может быть	2	10
16	в то же	2	10
17	вместе с тем	5	10
18	с точки зрения	13	10
19	в этом смысле	4	9
20	как раз и	1	9
21	то же время	1	9
22	а также и	3	8
23	на то что	2	8
24	точно так же	4	7
25	это значит что	2	7
26	у нас выше	3	7
27	в это время	3	7
28	так или иначе	3	6
29	как это мы	2	6
30	в данном случае	5	6
31	том что в	1	6
32	также и то	2	6
33	с другой стороны	7	6
34	и в этом	1	6
35	в настоящее время	7	6
36	можно судить по	1	6
37	как мы видели	1	6
38	том что он	3	6
39	в году в	1	6
40	иной раз даже	1	5
41	ни в каких	3	5
42	но даже и	4	5
43	на первом плане	3	5
44	и в его	1	5
45	бы то ни	4	5
46	само собой разумеется	2	5
47	и в том	1	5
48	и потому что	2	5
49	то что в	2	5
50	не говоря уже	2	5
51	в сравнении с	4	5
52	не только в	5	5
53	то время как	4	5
54	если не прямо	3	5
55	себе отчет в	1	4
56	можно сказать что	4	4
57	говоря уже о	2	4
58	как мы уже	1	4
59	в том же	1	4
60	для того чтобы	3	4
61	в этом отношении	4	4
62	сам по себе	3	4
63	сказать что в	1	4
64	и вместе с	3	4
65	еще в году	1	4
66	мы увидим ниже	1	4
67	у него не	1	4
68	то это значит	1	4
69	и т д	1	4
70	в том чтобы	2	4
71	по крайней мере	8	4
72	заключается в том	1	4
73	и ни в	2	4
74	не что иное	3	4
75	вовсе не есть	2	4
76	можно было бы	2	4
77	что иное как	3	4
78	с одной стороны	5	4
79	также и в	2	4
80	на эту тему	2	4
81	еще и потому	2	4
82	ни в каком	1	3
83	и больше ничего	1	3
84	а то что	1	3
85	в самом деле	1	3
86	в том числе	2	3
87	что в своем	1	3
88	и речи с	1	3
89	указать хотя бы	2	3
90	не в том	1	3
91	во что бы	1	3
92	ничего общего с	2	3
93	свидетельствует о том	1	3
94	а с другой	3	3
95	не только не	1	3
96	в последнее время	1	3
97	мы хотели бы	2	3
98	вот что пишет	2	3
99	достаточно указать хотя	2	3
100	по этому поводу	4	3
101	это вовсе не	1	3
102	к тому что	1	3
103	но это не	1	3
104	или иначе но	1	3
