N	2gram	Propp_Morf	StatiiOP
1	и в	17	103
2	в том	10	89
3	том что	7	77
4	в этом	18	76
5	что в	10	74
6	не только	8	60
7	и т	62	51
8	о том	6	47
9	но и	9	46
10	то что	10	44
11	что он	5	42
12	в его	1	42
13	и не	16	41
14	может быть	61	38
15	т е	25	33
16	было бы	5	32
17	т д	60	32
18	в этой	3	31
19	вовсе не	6	31
20	тем что	4	29
21	все это	2	29
22	таким образом	26	28
23	в г	1	28
24	а в	8	27
25	а не	11	27
26	но в	4	26
27	что это	3	25
28	так и	10	25
29	этом отношении	2	24
30	и его	3	24
31	все же	9	23
32	точки зрения	7	23
33	не в	3	23
34	так что	1	23
35	потому что	7	23
36	для того	3	22
37	в которой	3	22
38	как в	5	22
39	того что	3	22
40	прежде всего	14	22
41	у нас	3	22
42	в области	1	22
43	и пр	45	21
44	того чтобы	4	21
45	до сих	1	20
46	это не	6	20
47	в своей	1	19
48	г в	1	19
49	сих пор	1	19
50	в то	4	19
51	только в	3	19
52	в котором	1	18
53	с другой	9	18
54	он не	5	18
55	об этом	5	18
56	не может	19	18
57	как на	1	17
58	между прочим	1	17
59	в русской	1	17
60	самом деле	4	17
61	в россии	2	17
62	как бы	6	17
63	в данном	2	17
64	в этих	17	16
65	с этим	14	16
66	сказать что	4	16
67	можно было	4	16
68	если бы	3	16
69	другой стороны	5	15
70	с тем	2	15
71	как и	4	15
72	из этих	2	15
73	у него	2	15
74	и на	1	15
75	например в	2	15
76	как раз	1	15
77	для него	2	15
78	также и	6	15
79	то же	10	14
80	но все	4	14
81	так например	3	14
82	к тому	5	14
83	с точки	6	14
84	между тем	5	14
85	и что	3	14
86	в течение	1	14
87	в той	1	13
88	именно в	1	13
89	во всяком	2	13
90	из них	4	13
91	в качестве	8	13
92	а с	2	13
93	со стороны	5	13
94	всяком случае	2	13
95	но это	6	13
96	дело в	1	13
97	что касается	1	13
98	тому что	5	13
99	в своих	2	12
100	не менее	7	12
101	хотя бы	5	12
102	в первой	1	12
103	ни в	3	12
104	как например	2	12
105	так как	20	12
106	что они	5	12
107	в тексте	1	12
108	в них	1	11
109	в другом	2	11
110	ясно что	5	11
111	и с	1	11
112	и по	3	11
113	из его	2	11
114	того как	2	11
115	вопрос о	10	11
116	все эти	5	11
117	это было	3	11
118	на то	3	11
119	на эти	1	10
120	кроме того	3	10
121	не столько	1	10
122	в виду	1	10
123	так же	4	10
124	в целом	5	10
125	что такое	3	10
126	что и	10	10
127	но он	1	10
128	во всех	6	10
129	в каком	2	10
130	же время	1	10
131	ничего не	5	10
132	ответ на	2	10
133	на вопрос	2	10
134	на самом	4	10
135	но не	8	10
136	во второй	2	10
137	в частности	2	10
138	в начале	3	10
139	и к	4	9
140	с этой	3	9
141	интересно что	1	9
142	можно сказать	2	9
143	он был	1	9
144	в одном	2	9
145	говорит что	1	9
146	несмотря на	4	9
147	и это	1	9
148	в чем	2	9
149	в каждом	1	9
150	и тем	3	9
151	что эта	2	9
152	во время	6	9
153	вряд ли	2	9
154	не является	4	9
155	что же	2	9
156	и для	4	9
157	для нас	2	9
158	что мы	2	9
159	там где	5	9
160	но ведь	1	8
161	и об	1	8
162	в результате	8	8
163	и даже	2	8
164	по его	1	8
165	что она	2	8
166	к этому	4	8
167	связи с	12	8
168	одним из	2	8
169	действующих лиц	22	8
170	и др	12	8
171	могут быть	21	8
172	в которых	2	8
173	не имеет	2	8
174	тем не	7	8
175	совершенно не	1	8
176	и более	2	8
177	мы имеем	19	8
178	при помощи	12	8
179	в их	1	8
180	а также	7	8
181	в какой	3	8
182	дело не	2	8
183	отношение к	1	8
184	такой же	1	8
185	и очень	1	7
186	о чем	1	7
187	в это	1	7
188	а а	2	7
189	в ее	1	7
190	что все	1	7
191	в эту	1	7
192	кажется что	1	7
193	как это	7	7
194	из этого	1	7
195	раньше чем	5	7
196	во втором	7	7
197	то в	3	7
198	и то	1	7
199	то время	3	7
200	можно назвать	3	7
201	том как	2	7
202	еще не	4	7
203	еще и	1	7
204	что здесь	1	7
205	одной из	2	7
206	на этот	2	7
207	этой области	1	7
208	данном случае	2	7
209	мы находим	1	7
210	в виде	3	7
211	но с	2	7
212	материал для	1	7
213	что этот	2	7
214	не все	6	7
215	с самого	1	7
216	отношению к	7	7
217	вплоть до	1	7
218	что за	1	6
219	же и	1	6
220	на его	5	6
221	д но	4	6
222	в некоторых	4	6
223	одно из	1	6
224	говорить о	4	6
225	по отношению	7	6
226	даже в	1	6
227	в отдельных	3	6
228	к нему	3	6
229	время как	3	6
230	о которых	1	6
231	этот вопрос	4	6
232	в себе	1	6
233	он говорил	1	6
234	в особенности	1	6
235	и здесь	7	6
236	из которых	5	6
237	б в	2	6
238	и все	1	6
239	в в	2	6
240	тем же	2	6
241	что я	1	6
242	с его	3	6
243	что с	1	6
244	мы не	8	6
245	и за	2	6
246	независимо от	4	6
247	по существу	13	6
248	в одной	2	6
249	и вообще	1	6
250	этих двух	1	6
251	еще до	1	6
252	его не	1	6
253	до него	1	5
254	по плану	1	5
255	при этом	1	5
256	не как	1	5
257	по пути	1	5
258	целый ряд	3	5
259	в числе	2	5
260	на эту	1	5
261	уже не	4	5
262	то это	5	5
263	одной стороны	2	5
264	во многих	1	5
265	но они	2	5
266	можно ли	1	5
267	самого начала	1	5
268	и далее	1	5
269	без всякого	2	5
270	в основу	2	5
271	что именно	2	5
272	что эти	3	5
273	после того	1	5
274	с одной	2	5
275	хотя и	5	5
276	его в	4	5
277	что не	1	5
278	даже не	3	5
279	же касается	1	5
280	если не	1	5
281	не приходится	1	5
282	в тех	8	5
283	возможно что	1	5
284	всех этих	1	5
285	не так	2	5
286	утверждать что	3	5
287	один из	7	5
288	должна быть	2	5
289	из таких	2	5
290	не на	2	5
291	оно не	2	5
292	что ему	1	5
293	конечно и	1	5
294	никто не	4	5
295	думать что	1	5
296	в очень	2	5
297	которую он	1	5
298	не потому	1	5
299	не совсем	1	5
300	ее в	3	5
301	но если	10	5
302	точку зрения	1	5
303	в свое	2	5
304	это и	3	5
305	такое же	1	5
306	в сущности	3	5
307	а то	3	5
308	вообще не	2	5
309	представляет собою	8	5
310	нас к	1	5
311	того или	1	5
312	и только	3	5
313	не по	2	5
314	как он	1	5
315	на это	1	5
316	в предисловии	1	5
317	к ней	3	5
318	как будто	2	5
319	и другие	6	4
320	все что	1	4
321	только что	3	4
322	которые не	1	4
323	в применении	1	4
324	не являются	1	4
325	в первом	5	4
326	из двух	3	4
327	а именно	1	4
328	что ни	2	4
329	свою собственную	1	4
330	в выборе	1	4
331	не существует	3	4
332	применении к	1	4
333	не всегда	10	4
334	и те	1	4
335	на него	4	4
336	эти вопросы	1	4
337	который в	2	4
338	всего в	1	4
339	мы видим	15	4
340	и эти	1	4
341	во внимание	1	4
342	в таком	1	4
343	представляют собою	2	4
344	в связи	10	4
345	одна из	5	4
346	на этом	4	4
347	не могут	7	4
348	и у	3	4
349	могло бы	1	4
350	свободен от	1	4
351	но как	3	4
