N	4gram	Propp_Russ	EvropaiC
1	одного и того же	1	3
2	но вместе с тем	3	2
3	в целом ряде других	1	1
4	состоит в том что	16	1
5	в то время как	1	1
6	стоит в связи с	2	1
7	его состоит в том	2	1
8	не только по отношению	1	1
9	только по отношению к	1	1
10	вместе с тем и	2	1
11	может быть и не	1	1
12	может быть потому что	1	1
13	и того же явления	1	1
14	в тех случаях когда	2	1
15	приводит к тому что	1	1
16	в том что они	1	1
17	сущность его состоит в	1	1
18	и другим народам на	1	1
19	и в том же	1	1
20	а может быть и	1	1
