N	2gram	Bakhtin_Fr	TeoriaLi
1	в качестве	5	33
2	в мире	1	26
3	не только	23	24
4	и в	67	24
5	в частности	4	23
6	то есть	49	22
7	может быть	4	22
8	при этом	5	20
9	в том	16	20
10	и не	23	17
11	а в	4	15
12	но и	23	14
13	а не	6	14
14	так и	14	14
15	в себе	3	14
16	в рамках	1	13
17	но не	6	13
18	в этом	27	12
19	но в	20	12
20	в его	17	12
21	то же	18	12
22	своего рода	7	11
23	том что	13	11
24	точки зрения	7	11
25	и его	19	11
26	что в	14	10
27	по отношению	1	10
28	как это	5	10
29	лишь в	3	10
30	отношению к	1	10
31	в душе	1	9
32	только в	6	9
33	в данном	4	9
34	с другой	3	9
35	в искусстве	3	9
36	не в	8	9
37	в то	17	9
38	в своей	6	8
39	же время	14	8
40	как бы	18	8
41	не может	9	8
42	в самом	7	7
43	не столько	5	7
44	или иной	1	7
45	и т.п	31	7
46	в отличие	3	7
47	в своем	13	7
48	себя в	1	7
49	а также	4	7
50	отличие от	3	7
51	во второй	3	7
52	отношение к	1	7
53	место в	3	7
54	в области	2	7
55	в нем	20	7
56	другой стороны	2	6
57	в состав	1	6
58	более или	2	6
59	конечном счете	1	6
60	как и	19	6
61	не менее	4	6
62	приводит к	1	6
63	еще не	5	6
64	в основе	6	6
65	то что	9	6
66	уже не	1	6
67	с его	11	6
68	в ее	2	6
69	с другими	3	6
70	в конечном	1	6
71	между ними	4	6
72	или менее	2	6
73	в первой	5	6
74	ни в	5	5
75	в виду	2	5
76	и одновременно	5	5
77	как в	4	5
78	роли в	1	5
79	можно сказать	4	5
80	того чтобы	9	5
81	для того	8	5
82	как к	2	5
83	по преимуществу	2	5
84	данном случае	4	5
85	для него	4	5
86	того что	4	5
87	в себя	6	5
88	между тем	3	5
89	он не	9	5
90	в пределах	2	5
91	и о	8	5
92	в ходе	1	5
93	могут быть	1	5
94	не случайно	3	5
95	текст в	2	4
96	в отношении	2	4
97	не на	1	4
98	и сам	2	4
99	отношения к	1	4
100	что он	7	4
101	с позиций	1	4
102	в другом	4	4
103	говорить о	5	4
104	и т.д	2	4
105	сказать что	12	4
106	в нашем	3	4
107	к тому	4	4
108	этого слова	1	4
109	во времени	2	4
110	никогда не	6	4
111	и того	1	4
112	это не	5	4
113	хотя и	6	4
114	в литературе	4	4
115	в их	4	4
116	его в	10	4
117	но он	5	4
118	не знает	1	4
119	так в	3	4
120	мира и	10	4
121	по своему	5	4
122	речи и	1	4
123	в свою	1	4
124	и что	3	4
125	самим собой	2	4
126	в форме	2	4
127	далеко не	6	4
128	того же	6	4
129	одного и	1	4
130	в силу	1	4
131	с ее	7	4
132	в целом	2	4
133	и ее	2	4
134	и к	7	3
135	во втором	3	3
136	в таком	2	3
137	с этой	1	3
138	даже в	5	3
139	говорит и	2	3
140	о чем	5	3
141	подобно тому	2	3
142	если бы	2	3
143	оказывается в	1	3
144	все эти	12	3
145	а именно	2	3
146	в романе	15	3
147	именно в	5	3
148	например в	6	3
149	в жизни	4	3
150	в соответствии	1	3
151	их в	2	3
152	никто не	1	3
153	роль в	5	3
154	в итоге	1	3
155	тем не	1	3
156	культуры в	1	3
157	перед нами	6	3
158	но их	2	3
159	свою очередь	1	3
160	потому что	8	3
161	одной стороны	2	3
162	искусства и	1	3
163	между двумя	1	3
164	в одном	7	3
165	вслед за	1	3
166	известной степени	4	3
167	мог бы	1	3
168	это отношение	1	3
169	во всей	1	3
170	не все	2	3
171	из этих	4	3
172	и для	4	3
173	таким образом	20	3
174	и то	2	3
175	на языке	3	3
176	мышления и	1	3
177	миропорядка и	1	3
178	в эпизоде	11	3
179	с одной	2	3
180	и вот	4	3
181	том числе	6	3
182	в произведении	1	3
183	и потому	1	3
184	с точки	5	3
185	к которому	1	3
186	как раз	5	3
187	есть в	5	3
188	прежде всего	19	3
189	все прочие	1	3
190	и притом	2	3
191	связи с	7	3
192	или в	3	3
193	и позволяет	1	3
194	в организации	1	3
195	одним из	7	3
196	в связи	5	3
197	и как	7	3
198	а всего	1	3
199	в сторону	2	3
200	вовсе не	19	3
201	той или	1	3
202	во всех	20	3
203	а с	1	3
204	тому как	2	3
205	в акте	5	3
206	принадлежит к	1	3
207	в которой	1	3
208	не будет	2	3
209	он должен	2	3
210	нового времени	6	3
211	человека с	5	3
212	его организации	1	3
213	в этой	13	3
214	и др	11	3
215	человеческой жизни	1	3
216	в узком	1	3
217	столь же	1	3
218	и по	3	3
