N	4gram	Tiupa_Hudo	FransuaR
1	в то же время	7	55
2	но в то же	1	20
3	в том числе и	2	17
4	и в то же	2	12
5	в той или иной	2	10
6	той или иной форме	1	6
7	мы имеем в виду	3	5
8	с одной стороны и	1	5
9	в связи с этим	1	4
10	одного и того же	3	3
11	не что иное как	1	3
12	и те и другие	1	3
13	есть не что иное	1	3
14	а с другой стороны	1	2
15	заключается в том что	1	2
16	бы то ни было	2	2
17	то же время они	1	2
18	в более или менее	1	2
19	ни в коем случае	2	2
20	не может быть и	1	2
21	мы встречаемся с ним	1	2
22	и по отношению к	1	2
23	одним и тем же	1	2
24	какой бы то ни	1	2
25	в том или ином	1	2
26	по своему смыслу и	1	1
27	они существенно связаны с	1	1
28	то же время оно	1	1
29	между вещами и ценностями	1	1
30	вольный фамильярный контакт между	1	1
31	и в самом деле	2	1
32	только то что может	1	1
33	бы карнавал переживаемый в	1	1
34	контакт между всеми людьми	1	1
35	одно и то же	3	1
36	в одном и том	1	1
37	той или иной мере	1	1
38	в узком и специфическом	1	1
39	одном и том же	1	1
40	подчеркнуть при этом что	1	1
41	переживаемый в одиночку с	1	1
42	состоит в том что	4	1
43	как бы карнавал переживаемый	1	1
44	в том случае если	1	1
45	в том что она	1	1
46	в одиночку с острым	1	1
47	карнавал переживаемый в одиночку	1	1
48	как бы в точке	1	1
49	есть в конечном счете	1	1
50	по отношению к которому	1	1
51	так же точно и	1	1
52	в том что он	2	1
53	фамильярный контакт между всеми	1	1
54	в одной из своих	1	1
