N	2gram	Medvedev_V	SlovoVZh
1	и его	1	13
2	и в	2	12
3	и не	1	10
4	так как	1	9
5	все время	1	6
6	в том	2	6
7	только в	1	6
8	хотя бы	1	5
9	то же	1	5
10	том что	2	5
11	в самом	1	4
12	дело в	1	4
13	в этом	1	4
14	все это	1	3
15	самом деле	1	3
16	ясно что	1	3
17	да и	1	3
18	но это	1	2
19	и то	1	2
20	одно и	1	2
21	как же	1	2
22	к этому	1	2
23	что слово	1	2
24	в значительной	1	1
25	и почти	1	1
26	в другом	1	1
27	в теории	1	1
28	в частности	1	1
29	сводится к	1	1
30	для них	1	1
31	значительной степени	1	1
32	далеко не	1	1
33	совершенно ясно	1	1
34	все то	1	1
35	ведь это	1	1
36	именно в	1	1
37	же две	1	1
38	столь же	1	1
39	том же	1	1
40	и только	1	1
41	крайней мере	1	1
42	тем более	1	1
43	по крайней	1	1
