N	3gram	Bakhtin_KF	VelikijI
1	все что есть	1	3
2	к тому что	1	3
3	в том что	2	2
4	бы и не	2	2
5	вместо того чтобы	1	2
6	в нем нет	1	2
7	то что я	2	2
8	менее всего можно	1	1
9	и должна быть	1	1
10	никогда не было	1	1
11	но прежде всего	1	1
12	лишь в процессе	1	1
13	вместе с тем	1	1
14	в этом мире	1	1
15	это факт моего	1	1
16	и менее всего	1	1
17	пред тобой и	1	1
18	хотя бы и	1	1
19	отрываю себя от	1	1
20	истина не нужна	1	1
21	на этом пути	1	1
22	в известном смысле	1	1
23	но и тут	1	1
24	ее и в	1	1
25	бы то ни	2	1
26	в своей истории	1	1
27	раз и навсегда	2	1
28	не есть моя	1	1
29	и в этом	3	1
30	единственного бытия в	4	1
