N	2gram	Savitsky_E	SlovoVZh
1	не может	9	16
2	может быть	6	14
3	точки зрения	23	14
4	как бы	6	13
5	и его	1	13
6	таким образом	2	12
7	и в	37	12
8	по отношению	1	11
9	в нашем	1	11
10	и не	14	10
11	так как	7	9
12	если бы	2	9
13	прежде всего	9	8
14	для нас	4	7
15	сказать что	4	7
16	в ней	4	6
17	слова и	1	6
18	в том	11	6
19	в процессе	4	6
20	только в	9	6
21	в нем	1	6
22	при этом	1	6
23	можно сказать	4	5
24	что мы	1	5
25	хотя бы	15	5
26	должна быть	2	5
27	то же	15	5
28	а не	2	5
29	то что	6	5
30	в жизни	1	5
31	как и	7	5
32	как в	3	5
33	отнюдь не	9	5
34	том что	6	5
35	и следовательно	1	5
36	но в	14	5
37	никогда не	3	5
38	в самом	4	4
39	и к	3	4
40	и на	6	4
41	не только	18	4
42	ни было	4	4
43	за пределы	1	4
44	от того	1	4
45	литературы и	1	4
46	мы все	1	4
47	с другой	7	4
48	не в	5	4
49	дело в	3	4
50	что не	1	4
51	так и	10	4
52	уже не	1	4
53	жизни и	2	4
54	в этом	12	4
55	все же	1	4
56	к нему	2	4
57	бы то	4	3
58	и с	2	3
59	ее и	1	3
60	и более	2	3
61	в котором	2	3
62	и по	5	3
63	так называемой	1	3
64	мы не	4	3
65	то ни	4	3
66	между тем	8	3
67	для него	1	3
68	отношении к	15	3
69	с ним	1	3
70	того что	7	3
71	быть и	1	3
72	когда он	3	3
73	в некоторых	2	3
74	имеет в	2	3
75	в пределах	25	3
76	конечно не	1	3
77	по себе	4	3
78	так же	9	3
79	в них	3	3
80	в каком	4	3
81	этой точки	5	3
82	в себе	9	3
83	все эти	1	3
84	о том	3	3
85	социальной группы	1	3
86	в своей	8	3
87	не менее	1	3
88	в такой	1	3
89	но и	14	3
90	ведь и	2	3
91	и для	3	3
92	точка зрения	2	3
93	и ее	1	3
94	и наконец	2	3
95	и вообще	1	3
96	не к	2	3
97	что в	21	2
98	нет ничего	1	2
99	но это	1	2
100	и потому	5	2
101	и другие	1	2
102	ни на	3	2
103	социальной средой	1	2
104	и то	2	2
105	мы можем	3	2
106	влияние на	2	2
107	в данном	3	2
108	в то	16	2
109	по природе	1	2
110	которые мы	1	2
111	данном случае	2	2
112	зависит от	1	2
113	поскольку они	2	2
114	с одной	8	2
115	уже в	1	2
116	там где	3	2
117	в его	2	2
118	с этой	6	2
119	она не	2	2
120	одной стороны	8	2
121	относится к	1	2
122	дело с	1	2
123	с точки	17	2
124	рынка и	1	2
125	тем как	1	2
126	кроме того	1	2
127	тогда когда	2	2
128	в формах	1	2
129	но тем	1	2
130	как это	4	2
131	те же	1	2
132	но все	1	2
133	и та	2	2
134	не способен	1	2
135	и что	2	2
136	что и	3	2
137	в отношении	32	2
138	на примере	1	2
139	другой стороны	2	2
140	и те	1	2
141	как не	2	2
142	в этих	2	2
143	тому же	1	2
144	связь с	1	2
145	оно не	1	2
146	а к	1	2
147	как же	2	2
148	и притом	4	2
149	ко всем	1	2
150	но этот	1	2
151	к ним	3	2
152	как на	3	2
153	и все	2	2
154	но не	5	2
155	не есть	2	2
156	могут быть	2	2
157	с другими	2	2
158	спроса и	1	2
159	из общей	1	2
160	стороны и	6	2
161	в своем	14	2
162	той социальной	1	2
163	в корне	1	2
164	в какой	2	2
165	имеет место	2	2
166	вместе с	2	2
167	между ними	2	2
168	место в	3	2
169	такой же	2	2
170	можем сказать	2	2
171	оценок и	1	2
172	с его	1	2
173	его к	1	2
174	известной степени	3	2
175	между собой	2	2
176	он не	2	2
177	независимо от	4	2
178	эта последняя	1	2
179	жизнью и	1	2
180	более того	1	2
181	себе в	3	1
182	они являются	1	1
183	то в	4	1
184	можно в	2	1
185	во всяком	3	1
186	видели в	1	1
187	является в	1	1
188	положения и	1	1
189	входя в	1	1
190	во всех	6	1
191	не является	3	1
192	следует отметить	2	1
193	только к	2	1
194	того в	1	1
195	что оно	1	1
196	к другу	1	1
197	что современная	1	1
198	та же	1	1
199	по преимуществу	2	1
200	близости к	1	1
201	приближается к	3	1
202	друг к	1	1
203	смысле она	1	1
204	выходит за	1	1
205	каких бы	2	1
206	отражение в	1	1
207	на этом	1	1
208	к попытке	1	1
209	права и	1	1
210	может дать	1	1
211	так но	1	1
212	и было	1	1
213	то есть	6	1
214	окружающей ее	1	1
215	но из	1	1
216	как одно	1	1
217	и сейчас	2	1
218	в лучшем	1	1
219	должно быть	1	1
220	ли он	1	1
221	значение и	1	1
222	мы увидим	1	1
223	и того	2	1
224	все остальные	1	1
225	от нее	1	1
226	вполне понятно	1	1
227	она в	3	1
228	особого рода	1	1
229	в свою	3	1
230	в значительной	2	1
231	входит в	1	1
232	только и	1	1
233	часть его	1	1
234	того чтобы	6	1
235	в основе	1	1
236	и их	1	1
237	одна и	2	1
238	еще более	2	1
239	как некая	1	1
240	и кровь	1	1
241	и иных	1	1
242	ту же	1	1
243	на основе	2	1
244	несмотря на	4	1
245	которой принадлежит	1	1
246	случае она	1	1
247	и должна	1	1
248	признать что	1	1
249	обстоит дело	3	1
250	во многих	4	1
251	для всего	1	1
252	что это	2	1
253	в противном	1	1
254	хотя и	2	1
255	этом отношении	3	1
256	в новой	1	1
257	ни была	1	1
258	мы должны	2	1
259	в ее	8	1
260	и тем	3	1
261	кажется что	2	1
262	какой бы	2	1
263	бы только	1	1
264	в частности	5	1
265	говорит о	3	1
266	для нее	1	1
267	здесь на	1	1
268	в изучении	1	1
269	не как	1	1
270	аналогии с	1	1
271	только отдельные	1	1
272	увидим что	1	1
273	подобно этому	1	1
274	должны быть	1	1
275	в качестве	14	1
276	и некоторые	3	1
277	или иных	1	1
278	в содержании	2	1
279	то мы	1	1
280	в одном	2	1
281	в области	11	1
282	одно из	1	1
283	ее например	1	1
284	у нас	1	1
285	частности в	2	1
286	можно было	3	1
287	товара из	1	1
288	бы они	1	1
289	ценности и	1	1
290	в результате	3	1
291	и это	1	1
292	как нечто	1	1
293	характерной чертой	1	1
294	сводится к	1	1
295	для них	2	1
296	своем значении	1	1
297	и художественное	1	1
298	значительной степени	1	1
299	этом смысле	3	1
300	с ней	1	1
301	участие в	2	1
302	и тот	1	1
303	далеко не	2	1
304	уже и	3	1
305	не на	4	1
306	в истории	2	1
307	не могут	2	1
308	же время	14	1
309	в рамки	1	1
310	при помощи	2	1
311	в виде	5	1
312	свое значение	1	1
313	к которой	1	1
314	в обоих	1	1
315	отметить что	3	1
316	в большинстве	2	1
317	свою очередь	2	1
318	мы здесь	1	1
319	это один	1	1
320	не было	1	1
321	когда мы	1	1
322	связи с	1	1
323	более или	1	1
324	бы по	1	1
325	рассматривать как	1	1
326	силы этих	1	1
327	с ее	1	1
328	время как	1	1
329	было бы	8	1
