N	2gram	Tiupa_Lite	Formalny
1	и в	26	95
2	и не	19	78
3	может быть	24	66
4	в этом	19	61
5	не может	10	57
6	вовсе не	3	53
7	таким образом	4	52
8	и его	7	51
9	так и	7	50
10	точки зрения	8	47
11	в нем	4	42
12	в его	9	42
13	прежде всего	14	41
14	с точки	4	40
15	как и	13	39
16	и т	2	37
17	художественного произведения	1	36
18	в самом	4	35
19	не в	11	35
20	а не	28	34
21	но и	25	33
22	то же	13	32
23	самом деле	2	32
24	не только	29	30
25	в пределах	4	28
26	идеологического кругозора	1	27
27	в том	22	26
28	отнюдь не	4	26
29	если бы	1	26
30	то что	14	25
31	при этом	23	24
32	в своей	5	24
33	на почве	2	24
34	лишь в	4	24
35	на самом	1	24
36	было бы	4	23
37	связи с	7	23
38	в ней	4	23
39	в то	12	22
40	и с	4	21
41	что в	7	21
42	в истории	1	21
43	как бы	8	21
44	между ними	1	20
45	с тем	2	20
46	не менее	11	20
47	как мы	2	20
48	и от	1	20
49	же время	12	20
50	в их	3	20
51	художественное произведение	2	19
52	хотя бы	3	19
53	не могут	1	19
54	все же	6	18
55	в связи	4	18
56	т п	2	18
57	должна быть	3	18
58	только в	8	18
59	и все	1	18
60	с его	5	18
61	все эти	2	18
62	как раз	6	17
63	как в	5	17
64	более того	1	17
65	во всяком	3	16
66	с другой	11	16
67	так же	1	16
68	всяком случае	2	16
69	в искусстве	4	16
70	совершенно не	1	16
71	потому что	5	16
72	именно в	1	15
73	все время	1	15
74	должно быть	1	15
75	с другими	1	15
76	его в	4	15
77	бы в	1	15
78	во всех	4	15
79	и на	5	15
80	так как	2	15
81	но в	5	15
82	в поэзии	4	15
83	в литературе	2	15
84	в жизни	7	14
85	только на	3	14
86	в своем	12	14
87	в ее	1	14
88	в этой	7	14
89	что он	8	14
90	вместе с	5	14
91	еще не	4	14
92	если мы	1	14
93	произведения и	1	14
94	и потому	1	14
95	жизни и	6	14
96	в целом	10	14
97	в результате	2	13
98	тем что	6	13
99	языка как	1	13
100	что и	3	13
