N	2gram	Berdyaev_O	VeschiIm
1	т е	4	81
2	не есть	2	79
3	и не	13	57
4	не только	11	48
5	то что	5	48
6	не может	4	46
7	и в	19	45
8	и есть	3	40
9	может быть	11	39
10	а не	11	37
11	потому что	9	25
12	было бы	3	24
13	по себе	2	23
14	что она	1	23
15	в себе	3	23
16	сказать что	2	22
17	и что	1	22
18	как бы	3	20
19	что это	1	19
20	что же	2	19
21	но и	13	19
22	и ее	3	19
23	в этом	12	18
24	все же	2	18
25	так как	2	17
26	прежде всего	9	17
27	и это	1	17
28	есть не	1	17
29	того что	3	16
30	и имя	1	16
31	как и	6	15
32	уже не	1	15
33	в том	5	15
34	в ней	1	15
35	но это	1	14
36	и то	2	14
37	не в	11	14
38	в самом	5	13
39	том что	2	13
40	и больше	1	13
41	и для	2	13
42	что в	4	12
43	и с	2	12
44	и даже	1	12
45	о том	3	12
46	еще не	3	12
47	ничего не	2	12
48	что они	2	12
49	совершенно не	1	12
50	что и	2	12
51	и как	1	12
52	вещей и	1	12
53	и пр	1	11
54	что не	4	11
55	вовсе не	1	11
56	также и	1	11
57	с ним	3	9
58	со стороны	1	9
59	бы и	1	9
60	хотя бы	3	9
61	нисколько не	1	9
62	в своем	2	9
63	ни с	7	9
64	должно быть	2	9
65	это не	3	9
66	у нас	1	9
67	бы в	1	9
68	она не	1	9
69	так что	2	9
70	но не	1	9
71	на то	1	9
72	и его	4	9
73	должна быть	1	8
74	это есть	1	8
75	если бы	1	8
76	с тем	2	8
77	что он	3	8
78	отличается от	1	8
79	по сравнению	1	8
80	но в	2	8
81	мы не	1	8
82	для него	5	8
83	в ее	2	8
84	все это	6	8
85	в отношении	1	8
86	его в	2	8
87	указывает на	1	8
88	только и	4	8
89	и потому	2	8
90	не с	1	8
91	что есть	2	8
92	в сущности	1	7
93	самом деле	1	7
94	все эти	4	7
95	тем что	2	7
96	сравнению с	1	7
97	и тогда	1	7
98	не потому	1	7
99	можно ли	2	7
100	рационализма и	2	7
101	и тут	1	7
102	от того	1	7
103	а в	5	7
104	из них	1	7
105	с чем	2	7
106	в разных	1	6
107	в своей	2	6
108	в одном	1	6
109	вообще но	1	6
110	и до	1	6
111	момент в	2	6
112	одна из	1	6
113	вопрос о	10	6
114	для всякого	2	6
115	есть просто	1	6
116	дело в	1	6
117	в нем	10	6
118	бытие и	1	6
119	можно было	1	6
120	жизни и	1	6
121	и все	10	6
122	никогда не	9	6
123	все что	3	5
124	как это	1	5
125	один из	1	5
126	и здесь	1	5
127	даже и	2	5
128	как к	2	5
129	мысли и	3	5
130	в жизни	1	5
131	да и	1	5
132	я хочу	1	5
133	быть не	1	5
134	и когда	1	5
135	ее с	1	5
136	вообще и	1	5
137	что у	2	5
138	в его	7	5
139	хотя и	2	5
140	а это	1	5
141	от всех	1	5
142	в которой	2	5
143	всегда есть	4	5
144	и без	1	5
145	что для	2	5
146	же это	2	5
147	и от	3	4
148	от самой	1	4
149	еще более	1	4
150	сам по	1	4
151	говорит о	1	4
152	о которой	2	4
153	с ними	1	4
154	в явлении	1	4
155	том как	1	4
156	во всяком	1	4
157	его и	1	4
158	не существует	1	4
159	и более	1	4
160	в котором	1	4
161	того чтобы	4	4
162	не быть	1	4
163	отношении к	1	4
164	нет никакой	1	4
165	ее как	1	4
166	находится в	1	4
167	что все	2	4
168	то в	1	4
169	и вот	3	4
170	это я	1	4
171	так и	2	4
172	же не	1	4
173	есть уже	1	4
174	и эта	1	4
175	в конце	1	4
176	во имя	3	4
177	что только	1	4
178	это так	1	4
179	не было	9	4
180	она должна	1	4
181	что нужно	1	4
182	он не	7	4
183	в силу	1	4
184	и сам	1	4
185	по своей	1	4
186	в этой	5	4
187	отношение к	5	4
188	к ней	2	4
189	и о	2	4
190	и чем	1	4
191	само по	1	4
192	если вы	1	3
193	и самое	1	3
194	можно и	1	3
195	была бы	1	3
196	быть может	3	3
197	нет никакого	1	3
198	в своих	3	3
199	я имею	1	3
200	заключается в	1	3
201	из самых	1	3
202	отношения к	1	3
203	состоит из	1	3
204	как в	1	3
205	жизни в	2	3
206	не имеет	2	3
207	от этого	1	3
208	и нет	2	3
209	но оно	1	3
210	ни к	1	3
211	это все	1	3
212	с которой	2	3
213	только один	1	3
214	в истории	2	3
215	не все	2	3
216	в самой	9	3
217	в другом	2	3
218	к нему	3	3
219	и всякий	1	3
220	различие между	3	3
221	но еще	1	3
222	образ и	1	3
223	у него	22	3
224	но он	7	3
225	себе что	1	3
226	раз навсегда	1	3
227	ли сказать	2	3
228	к одному	1	3
229	но можно	1	3
230	а с	1	3
231	и ни	2	3
232	с какой	1	3
233	для тех	1	3
234	только их	1	3
235	в частности	1	3
236	в науке	1	3
237	для человека	2	3
238	чего же	1	3
239	человека и	10	3
240	для того	3	3
241	в уме	1	3
242	все еще	2	3
243	бы ни	1	3
244	к другому	1	3
245	во всем	1	2
246	и к	2	2
247	не так	1	2
248	а потому	1	2
249	которая была	1	2
250	и на	2	2
251	же и	1	2
252	бытие не	1	2
253	бы даже	1	2
254	связан с	1	2
255	и кто	1	2
256	есть для	1	2
257	разум и	1	2
258	о чем	1	2
259	одно из	2	2
260	подходит к	1	2
261	есть лишь	4	2
262	чтобы не	1	2
263	по природе	1	2
264	в россии	5	2
265	к его	1	2
266	возможности и	1	2
267	кем и	1	2
268	в одно	1	2
269	в это	1	2
270	нем нет	3	2
271	а что	1	2
272	только одно	3	2
273	нет ничего	7	2
274	было и	1	2
275	самое главное	2	2
276	то он	1	2
277	ничто не	2	2
278	с трудом	1	2
279	чего не	1	2
280	но о	1	2
281	со всей	1	2
282	себе и	1	2
283	не вполне	1	2
284	о божественном	1	2
285	и формы	1	2
286	может ли	1	2
287	тем же	1	2
288	и недостаточно	1	2
289	в свой	1	2
