N	3gram	Nazirov_Tr	Istorich
1	в этом случае	1	29
2	в том что	2	25
3	не может быть	1	24
4	но все же	2	23
5	тем не менее	1	23
6	точно так же	2	22
7	о том что	2	22
8	в связи с	1	17
9	в данном случае	2	15
10	после того как	1	15
11	как и в	1	10
12	и вместе с	1	9
13	с того что	1	8
14	и то что	1	8
15	смысле этого слова	1	7
16	во всяком случае	1	7
17	что он не	1	7
18	все же не	1	6
19	это может быть	1	6
20	с самого начала	1	6
21	то что он	1	5
22	в отличие от	2	5
23	так и в	3	5
24	в этой связи	1	4
25	обстоит дело с	1	4
26	это и есть	1	4
27	не только не	1	3
28	в обоих случаях	1	3
29	в точности соответствует	1	3
30	может быть понят	1	3
31	к тому что	1	3
32	в одном из	1	3
33	за то что	1	3
34	не только по	1	3
35	у него есть	1	3
36	по сравнению с	1	3
37	но и на	1	3
38	и знает что	1	3
39	в третий раз	1	3
40	еще ничего не	1	3
41	своего отца он	1	2
42	и т п	1	2
43	она все же	1	2
44	в самом деле	1	2
45	несмотря на всю	1	2
46	сам по себе	1	2
47	или как говорит	1	2
48	между этими двумя	2	2
49	на мысль что	1	2
50	может быть в	1	2
51	это мы видим	1	2
52	вместо того чтобы	1	2
53	у него нет	1	2
54	не могут быть	1	2
55	со своими товарищами	1	2
56	все эти черты	1	2
57	ее к себе	1	2
58	на вопрос о	1	2
59	в дальнейшем он	1	2
60	в последней главе	1	2
61	и не может	1	2
62	мы узнаем в	1	2
63	связаны между собой	1	2
64	и должно быть	1	2
65	объясняется тем что	1	2
66	том что он	1	2
67	но не самому	1	1
68	и я тебе	1	1
69	это как бы	1	1
70	что уже не	1	1
71	что в ней	1	1
72	не только нет	1	1
73	в и ленина	1	1
74	вместе с ними	1	1
75	такой силой что	1	1
76	вопрос об этом	1	1
77	но при этом	1	1
78	и должна быть	1	1
79	своего отца и	1	1
80	с тем и	1	1
81	еще в году	1	1
82	виде и что	1	1
83	не исключено что	1	1
84	и в образе	1	1
85	сменяющие друг друга	1	1
86	стоящая на грани	1	1
87	затем он показывает	1	1
88	что когда я	1	1
89	ли есть необходимость	1	1
90	а я буду	2	1
91	и здесь есть	1	1
92	в чем же	1	1
93	вряд ли есть	1	1
94	только один раз	1	1
95	то и дело	1	1
96	в виду не	1	1
97	все в этом	1	1
98	мы встречаем такие	1	1
99	и не случайно	2	1
100	согласие на брак	1	1
101	ни за что	1	1
102	из дома и	1	1
103	и в частности	2	1
104	как и все	1	1
105	за того кто	1	1
106	связь и с	1	1
107	сердца но в	1	1
108	как и его	1	1
109	говорит не только	1	1
110	отцом и сыном	1	1
111	и в быту	1	1
112	в этом мы	1	1
113	и то в	1	1
114	момент ухода из	1	1
115	он впадает в	1	1
116	что это значит?	1	1
117	быть отнесены к	1	1
118	что все это	1	1
119	с такой силой	1	1
120	на одной стороне	1	1
121	может быть не	1	1
122	вместе со своими	1	1
123	бросается в глаза	2	1
124	в этом мире	1	1
125	мы видим уже	1	1
126	но это уже	1	1
127	во всех видах	1	1
128	в высшей степени	1	1
129	но уже не	1	1
130	несмотря на все	1	1
131	в своей книге	1	1
132	то же время	5	1
133	и в этом	1	1
134	друг друга и	1	1
135	до самой смерти	1	1
136	во всем его	1	1
137	эта деталь заставляет	1	1
138	создается впечатление что	1	1
139	в то же	5	1
140	о личных качествах	1	1
141	но в то	2	1
142	мысль о том	1	1
143	на ту сторону	1	1
144	за что не	1	1
145	в дальнейшем этот	1	1
146	в виде отдельных	1	1
147	один раз и	1	1
148	один из авторов	1	1
149	третий раз он	1	1
