N	2gram	Propp_Morf	BTomashe
1	у нас	3	3
2	все это	2	2
3	можно было	4	2
4	не то	1	2
5	больше чем	1	2
6	и не	16	2
7	вопрос о	10	1
8	говорить о	4	1
9	и нет	1	1
10	не только	8	1
11	остановиться на	1	1
12	всего в	1	1
13	таким образом	26	1
14	прежде всего	14	1
15	бы только	1	1
16	и в	17	1
17	на самом	4	1
18	так и	10	1
19	на которой	1	1
20	в своей	1	1
21	во всяком	2	1
22	же не	1	1
23	с другой	9	1
24	об этом	5	1
25	как будто	2	1
26	совершенно не	1	1
27	другой стороны	5	1
28	всяком случае	2	1
29	кроме того	3	1
30	было бы	5	1
31	точно и	1	1
32	и ее	5	1
33	одной из	2	1
34	по мотивам	3	1
35	в пределах	3	1
36	в данном	2	1
37	должна быть	2	1
38	выпадает из	2	1
39	в области	1	1
40	далеко не	5	1
41	говорить не	1	1
42	не вполне	1	1
43	то как	2	1
44	и более	2	1
45	что все	1	1
46	не все	6	1
47	по этим	2	1
48	его не	1	1
49	также не	1	1
50	а не	11	1
51	и на	1	1
52	по отдельным	2	1
53	между ними	1	1
54	еще не	4	1
55	нет но	2	1
56	к ней	3	1
57	все же	9	1
58	что в	10	1
59	материала по	1	1
