N	2gram	Vinokur_Ku	Analitik
1	не только	29	71
2	тогда как	2	67
3	и в	44	66
4	в качестве	12	61
5	но и	13	57
6	в том	47	52
7	может быть	25	52
8	в этом	31	51
9	в частности	6	51
10	как и	3	50
11	и не	23	48
12	а не	17	42
13	при этом	6	40
14	том что	30	40
15	так и	10	35
16	своего рода	4	30
17	состоит в	4	30
18	отнюдь не	5	29
19	как бы	11	29
20	не может	13	29
21	а в	7	28
22	в его	16	27
23	и его	8	27
24	не в	18	26
25	но не	11	26
26	всего лишь	3	24
27	в себе	4	24
28	не случайно	7	24
29	иначе говоря	2	23
30	что в	25	22
31	и даже	5	22
32	к тому	8	22
33	в этой	8	22
34	лишь в	6	21
35	о том	10	20
36	я в	2	20
37	в самом	20	19
38	то же	12	19
39	в своей	4	19
40	по отношению	9	19
41	с его	4	19
42	но в	11	19
43	в данном	8	18
44	в то	4	18
45	отношению к	9	18
46	тем самым	5	17
47	с другой	14	17
48	только в	15	17
49	со стороны	8	17
50	такого рода	1	17
51	или иной	3	17
52	в целом	5	17
53	что и	5	16
54	могут быть	5	16
55	то что	14	16
56	в пределах	8	16
57	и на	8	15
58	не есть	4	15
59	между тем	11	15
60	уже не	13	15
61	прежде всего	14	15
62	в сущности	11	15
63	в их	3	15
64	в рамках	5	15
65	в принципе	1	14
66	не менее	12	14
67	того же	6	14
68	себя в	1	14
69	я и	1	14
70	в себя	2	14
71	той или	1	14
72	мы имеем	11	14
73	же время	4	14
74	в отличие	3	14
75	данном случае	2	14
76	столь же	2	14
77	отличие от	3	14
78	далеко не	2	14
79	по себе	10	13
80	точки зрения	25	13
81	как правило	2	13
82	тому же	2	13
83	в случае	2	13
84	он не	4	13
85	этого слова	8	13
86	ничего не	6	13
87	как раз	10	13
88	для него	2	13
89	а также	3	13
90	в начале	1	13
91	и к	1	12
92	и сам	1	12
93	никогда не	2	12
94	как это	6	12
95	сводится к	3	12
96	как в	6	12
97	еще не	10	12
98	в конечном	3	12
99	есть не	2	12
100	в той	6	11
101	даже в	4	11
102	конечном счете	2	11
103	в свою	4	11
104	сочетании с	1	11
105	той же	5	11
106	в сочетании	1	11
107	это не	13	11
108	можно сказать	6	11
109	и как	3	11
110	во второй	1	11
111	не с	4	11
112	не следует	6	11
113	нуждается в	5	11
114	именно в	7	10
115	все же	17	10
116	едва ли	1	10
117	с одной	3	10
118	в конце	5	10
119	было бы	28	10
120	однако в	2	10
121	и одновременно	1	10
122	отношения к	2	10
123	совпадает с	1	10
124	здесь не	5	10
125	со своей	1	10
126	того или	6	10
127	один из	8	10
128	на себя	3	10
129	говорить о	5	9
130	говорит о	1	9
131	не столько	2	9
132	в результате	8	9
133	другой стороны	12	9
134	на фоне	3	9
135	и того	2	9
136	одной стороны	2	9
137	свою очередь	4	9
138	том чтобы	9	9
139	в своем	4	9
140	по поводу	2	9
141	крайней мере	11	9
142	таким образом	17	9
143	во всех	1	9
144	или иного	5	9
145	только не	1	9
146	вместе с	8	9
147	по крайней	11	9
148	того что	11	9
149	что касается	4	9
150	дело с	2	8
151	о чем	2	8
152	роль в	6	8
153	не всегда	4	8
154	одной из	1	8
155	в контексте	2	8
156	в сторону	2	8
157	о его	1	8
158	с ним	5	8
159	если бы	21	8
160	и все	4	8
161	что он	7	8
162	перед нами	4	8
163	не является	2	8
164	с точки	16	8
165	хотя и	7	8
166	этом отношении	8	8
167	дело не	4	8
168	он и	1	8
169	одного из	1	8
170	в ходе	1	8
171	в году	3	7
172	во всяком	8	7
173	в другом	2	7
174	времени в	1	7
175	в одном	4	7
176	как мы	2	7
177	в нашем	8	7
178	который в	1	7
179	одна из	1	7
180	от себя	3	7
181	не мог	2	7
182	по природе	1	7
183	по преимуществу	3	7
184	внимание на	5	7
185	несмотря на	6	7
186	в ее	2	7
187	у него	3	7
188	в таком	3	7
189	как говорит	1	7
190	природе своей	1	7
191	и тем	7	7
192	в свое	4	7
193	и является	4	7
194	приводит к	3	7
195	свое время	4	7
196	собственно говоря	1	7
197	в соответствии	6	7
198	всяком случае	8	7
199	и для	3	7
