N	4gram	Medvedev_F	formyVre
1	в то же время	13	18
2	и в то же	4	8
3	с одной стороны и	4	5
4	в том числе и	1	5
5	мы имеем в виду	1	5
6	не для того чтобы	1	4
7	в связи с этим	4	4
8	но в то же	3	3
9	не может войти в	2	2
10	и до сих пор	2	2
11	и в этом случае	1	2
12	по самому своему существу	1	2
13	какова бы она ни	3	2
14	не может быть конечно	1	2
15	все более и более	3	2
16	и т п все	1	2
17	и т п в	2	2
18	или с точки зрения	1	2
19	не может быть и	2	2
20	и до известной степени	1	2
21	бы она ни была	3	2
22	может быть и речи	1	2
23	имеет место и в	1	1
24	с этой точки зрения	1	1
25	связи со всем этим	1	1
26	литературного произведения в его	1	1
27	и прежде всего в	1	1
28	в связи со всем	1	1
29	и пр все это	1	1
30	но и в этом	2	1
31	в широком смысле слова	1	1
32	пр и пр все	1	1
33	и как бы ни	1	1
34	не выходит за пределы	1	1
35	быть более или менее	1	1
36	в целом ряде существенных	1	1
37	вместе с тем и	2	1
38	в зависимости от того	1	1
39	богов и т п	1	1
40	что на самом деле	1	1
41	может быть более или	1	1
42	как и во всех	1	1
43	в свою очередь ни	1	1
44	та же что и	1	1
45	но все же в	1	1
46	как бы ни были	2	1
47	и т п на	1	1
48	широком понимании этого термина	1	1
49	что дело здесь идет	1	1
50	и т п такая	1	1
51	тем более не может	1	1
52	в своем дальнейшем развитии	1	1
53	то же время не	2	1
54	но вместе с тем	1	1
55	во всех своих моментах	2	1
56	не могло не оказать	1	1
57	целом ряде существенных моментов	1	1
58	и с точки зрения	1	1
59	от всего того что	1	1
60	и пр и пр	4	1
61	в процессе разрешения этой	1	1
62	не подлежит конечно сомнению	1	1
63	и в этом отношении	1	1
