N	2gram	Medvedev_V	Sovremen
1	не может	17	17
2	может быть	23	12
3	точки зрения	3	12
4	таким образом	32	11
5	мы не	1	9
6	в каждом	2	8
7	в этом	29	7
8	и в	26	7
9	в результате	5	6
10	как и	7	6
11	и не	20	6
12	прежде всего	13	5
13	каждом отдельном	2	5
14	все эти	8	5
15	и наконец	2	5
16	в дальнейшем	1	4
17	а в	3	4
18	вопрос о	1	4
19	это не	7	4
20	не только	26	4
21	как бы	5	4
22	нет и	3	4
23	в зависимости	6	4
24	их в	7	4
25	жизни и	3	4
26	вместе с	8	4
27	в целом	5	4
28	в том	15	4
29	зависимости от	5	4
30	из них	11	4
31	мы видели	3	4
32	и к	3	3
33	и потому	2	3
34	видели что	3	3
35	на этой	1	3
36	и мы	1	3
37	уже в	1	3
38	то же	10	3
39	у каждого	2	3
40	мы получаем	1	3
41	не в	6	3
42	а не	7	3
43	в системе	2	3
44	для нас	1	3
45	все это	13	3
46	как он	3	3
47	в одном	5	3
48	у нас	3	3
49	самого начала	1	3
50	в конце	3	3
51	ведь это	1	3
52	было бы	8	3
53	в этой	4	3
54	он в	2	3
55	и все	1	3
56	его развития	1	3
57	в себе	6	3
58	следующим образом	4	3
59	само собою	2	3
60	не подлежит	2	3
61	что она	2	3
62	он может	2	3
63	одна из	4	3
64	состоит из	1	3
65	все же	6	3
66	при таком	1	3
67	в области	2	3
68	может не	2	3
69	отличается от	2	3
70	между собой	1	3
71	отнюдь не	4	3
72	в нем	7	3
73	но в	2	3
74	еще не	2	3
75	с этим	3	2
76	что в	11	2
77	в самом	4	2
78	совершенно не	1	2
79	мы видим	1	2
80	и что	1	2
81	которой он	1	2
82	наблюдения и	3	2
83	о значении	1	2
84	с одной	2	2
85	в свою	1	2
86	из этих	7	2
87	в его	15	2
88	во всяком	2	2
89	не будем	1	2
90	мы знаем	3	2
91	не дает	1	2
92	еще более	1	2
93	можно назвать	1	2
94	что при	2	2
95	быть и	1	2
96	из которых	2	2
97	только один	1	2
98	что такое	2	2
99	может иметь	1	2
100	если же	1	2
101	говорить о	2	2
102	на его	1	2
103	в науке	2	2
104	все те	1	2
105	в живом	1	2
106	у него	6	2
107	для его	4	2
108	не могут	10	2
109	в виде	1	2
110	свою очередь	1	2
111	и даже	2	2
112	как известно	2	2
113	говорим о	1	2
114	самом деле	1	2
115	в которой	2	2
116	но все	1	2
117	ни одна	2	2
118	же самое	2	2
119	тот или	1	2
120	который как	1	2
121	как мы	1	2
122	развития в	1	2
123	задача эта	2	2
124	и во	1	2
125	могут быть	8	2
126	в таком	1	2
127	уже не	1	2
128	и есть	5	2
129	что все	4	2
130	или иной	2	2
131	на этот	1	2
132	на этом	2	2
133	роль в	4	2
134	не менее	2	2
135	так сказать	2	2
136	приводит к	6	2
137	и по	3	2
138	между всеми	1	2
139	каждого из	1	2
140	знаем что	2	2
141	на другом	1	2
142	подлежит сомнению	1	2
143	всяком случае	2	2
144	он должен	1	2
145	данной области	1	1
146	во всех	7	1
147	все они	2	1
148	необходимость в	2	1
149	время нет	1	1
150	которые в	2	1
151	поскольку она	1	1
152	что один	1	1
153	в социальном	1	1
154	именно к	1	1
155	при определенных	1	1
156	это и	6	1
157	его и	1	1
158	этом случае	1	1
159	и составляет	1	1
160	только не	2	1
161	свести все	1	1
162	том случае	1	1
163	а потому	1	1
164	человека в	2	1
165	но как	3	1
166	поэтому что	1	1
167	деятельность как	2	1
168	чем же	4	1
169	всего необходимо	1	1
170	не является	5	1
171	в данном	1	1
172	до сих	2	1
173	все его	2	1
174	ему принадлежит	1	1
175	еще раз	1	1
176	вытекает из	1	1
177	опирается на	1	1
178	его мнению	1	1
179	объективная действительность	2	1
180	от его	2	1
181	видим что	1	1
182	в процессе	17	1
183	с жизнью	1	1
184	данном случае	1	1
185	ли это	2	1
186	то своеобразное	1	1
187	связи с	5	1
188	например у	2	1
189	быть при	1	1
190	этот процесс	3	1
191	если в	2	1
192	на язык	2	1
193	очень часто	1	1
194	должно быть	2	1
195	к области	1	1
196	это как	1	1
197	почти не	1	1
198	роли и	1	1
199	же процесс	2	1
200	она не	3	1
201	в течение	2	1
202	единства в	1	1
203	одной стороны	2	1
204	приводит и	1	1
205	и ни	1	1
206	это то	1	1
207	мы имеем	3	1
208	и у	2	1
209	быть в	1	1
210	и речи	1	1
211	в другом	2	1
212	несмотря на	1	1
213	это только	4	1
214	том как	3	1
215	не быть	2	1
216	в ней	2	1
217	которых он	1	1
218	говорить только	1	1
219	что эта	1	1
220	это значит	1	1
221	хотя и	2	1
222	сказать еще	1	1
223	с другой	11	1
224	подчеркнуть что	2	1
225	с ним	1	1
226	он не	2	1
227	кроме того	1	1
228	и из	1	1
229	и той	1	1
230	те или	1	1
231	аналогии с	1	1
232	путь для	1	1
233	роли каждого	1	1
234	а затем	2	1
235	всеми этими	1	1
236	мы в	1	1
237	как у	2	1
238	поэтому в	1	1
239	только на	1	1
240	и их	3	1
241	или иные	1	1
242	и всегда	1	1
243	от общего	1	1
244	не приходится	2	1
245	и та	1	1
246	науке и	1	1
247	каким же	1	1
248	и при	5	1
249	в известном	1	1
250	для них	2	1
251	можно было	2	1
252	одним замечательным	1	1
253	разобраться в	2	1
254	ни в	1	1
255	но только	1	1
256	случае он	1	1
257	новое время	1	1
258	и от	3	1
259	в начале	1	1
260	его таким	1	1
261	по отношению	7	1
262	еще в	1	1
263	именно эти	1	1
264	утверждает что	3	1
265	отдельных элементов	2	1
266	стороны и	2	1
267	роль играет	1	1
268	конечно не	1	1
269	но что	1	1
270	только в	8	1
271	которая не	2	1
272	этот вопрос	3	1
273	же время	5	1
274	и может	2	1
275	не случайно	1	1
276	в ином	1	1
277	так же	3	1
278	которых она	1	1
279	конечно нет	1	1
280	его в	3	1
281	отметить что	2	1
282	или как	1	1
283	себе в	1	1
284	без труда	1	1
285	она продолжается	1	1
286	в конечном	7	1
287	в своих	2	1
288	не представляет	1	1
289	не было	7	1
290	как например	2	1
291	с его	4	1
292	один из	6	1
293	в духе	1	1
294	на это	2	1
295	если бы	3	1
296	иного типа	1	1
297	или в	3	1
298	заключает в	1	1
299	а о	2	1
300	очень важную	1	1
301	этого не	1	1
302	можно говорить	1	1
303	ни одного	2	1
304	много и	2	1
305	ничего общего	1	1
306	из приведенных	3	1
307	равно как	4	1
308	без остатка	1	1
309	и еще	1	1
310	их и	4	1
311	что его	2	1
312	понятия и	1	1
313	вообще и	2	1
314	остается подвести	1	1
315	мы говорим	1	1
316	крайней мере	2	1
317	сами по	1	1
318	в данной	1	1
319	же как	2	1
320	по существу	4	1
321	очень сложную	1	1
322	сказать что	5	1
323	в ту	1	1
324	сомнению что	1	1
325	конечно нельзя	1	1
326	но для	2	1
327	так называемое	1	1
328	и благодаря	1	1
329	опыта и	3	1
330	нет единства	2	1
331	именно в	3	1
332	машины в	1	1
333	законов и	1	1
334	конечном счете	5	1
335	процесс его	1	1
