N	2gram	Tiupa_Vved	Otkroven
1	о человеке	1	29
2	у него	8	22
3	у достоевского	1	19
4	и в	23	19
5	и не	24	13
6	но и	31	13
7	в этом	27	12
8	человека в	2	11
9	а не	31	11
10	не только	32	11
11	не в	12	11
12	может быть	25	11
13	и все	8	10
14	в нем	9	10
15	к человеку	1	9
16	потому что	7	9
17	прежде всего	11	9
18	не было	5	9
19	никогда не	6	9
20	и он	4	8
21	он был	1	8
22	нет ничего	2	7
23	ни с	2	7
24	в его	9	7
25	ивана карамазова	1	7
26	он не	6	7
27	но он	2	7
28	лишь в	4	7
29	до конца	5	7
30	все это	3	6
31	как и	21	6
32	в самом	6	5
33	в том	21	5
34	для него	5	5
35	в этой	2	5
36	раскрывается в	1	5
37	а в	15	5
38	до самого	1	5
39	отношение к	5	5
40	то что	9	5
41	что в	6	4
42	и мысли	1	4
43	того чтобы	2	4
44	не может	14	4
45	человеческих отношений	2	4
46	что не	2	4
47	человек и	1	4
48	все эти	1	4
49	на земле	1	4
50	и его	9	4
51	он сам	1	4
52	с его	1	4
53	только одно	1	3
54	и от	3	3
55	все что	3	3
56	и вот	3	3
57	хотя бы	2	3
58	это не	7	3
59	для того	1	3
60	с ним	3	3
61	он лишь	1	3
62	в этих	5	3
63	не могут	1	3
64	в своих	5	3
65	всякой человеческой	1	3
66	о природе	1	3
67	как бы	8	3
68	было бы	4	3
69	могут быть	5	3
70	в себе	15	3
71	и есть	2	3
72	что он	2	3
73	различие между	1	3
74	и ее	2	3
75	о том	7	3
76	того что	7	3
77	к нему	2	3
78	еще не	8	3
79	свобода и	1	2
80	всего в	1	2
81	человека к	1	2
82	и к	2	2
83	как к	1	2
84	и потому	2	2
85	так и	14	2
86	что они	2	2
87	и то	1	2
88	но никогда	1	2
89	все же	10	2
90	что у	4	2
91	никогда и	1	2
92	не могли	1	2
93	ивана и	1	2
94	к этой	1	2
95	уже в	2	2
96	никакого другого	1	2
97	в другом	2	2
98	совсем не	1	2
99	этом мире	1	2
100	личности и	1	2
101	так что	1	2
102	в своем	9	2
103	в этот	3	2
104	с тем	1	2
105	этом он	1	2
106	с которой	1	2
107	из мертвого	1	2
108	о которой	4	2
109	не все	2	2
110	что и	6	2
111	кажется и	1	2
112	от самого	1	2
113	у кого	1	2
114	и бесконечно	1	2
115	можно ли	1	2
116	в истории	1	2
117	его в	1	2
118	должен был	2	2
119	их не	1	2
120	мысль о	2	2
121	он весь	1	2
122	вместо того	2	2
123	и с	2	2
124	что же	6	2
125	он в	1	2
126	и о	4	2
127	природы и	1	2
128	сказать что	1	2
129	что для	2	2
130	тем что	2	2
131	что есть	1	2
132	и много	1	2
133	и на	5	2
134	что все	1	2
135	ничего не	3	2
136	хотя и	10	2
137	не есть	2	2
138	для человеческого	1	2
139	в своей	10	2
140	момент в	1	2
