N	2gram	Tiupa_Lite	NovoeSre
1	а не	28	17
2	не может	10	16
3	и в	26	16
4	во имя	3	15
5	нового времени	2	12
6	и не	19	11
7	и есть	3	10
8	что в	7	9
9	в эпоху	1	9
10	в том	22	8
11	жизни и	6	8
12	он не	4	8
13	в этом	19	7
14	может быть	24	7
15	в новой	1	7
16	культуры и	2	7
17	как и	13	7
18	к новому	1	7
19	общественной жизни	1	6
20	не знает	3	6
21	не в	11	6
22	лишь в	4	6
23	с его	5	6
24	но это	2	6
25	никогда не	5	6
26	и к	1	5
27	не только	29	5
28	в ней	4	5
29	xix века	6	5
30	в жизни	7	5
31	в нем	4	5
32	с ее	3	5
33	должен быть	2	5
34	культуры в	5	5
35	перестает быть	5	4
36	и потому	1	4
37	жизни к	1	4
38	и мы	2	4
39	быть может	2	4
40	должно быть	1	4
41	потому что	5	4
42	это не	4	4
43	прежде всего	14	4
44	в них	1	4
45	то что	14	4
46	не было	5	4
47	есть лишь	2	4
48	и все	1	4
49	не менее	11	4
50	не имеет	2	4
51	и для	1	4
52	о том	3	4
53	наше время	1	4
54	во всех	4	3
55	в ночи	1	3
56	вопрос о	1	3
57	в наши	1	3
58	в наше	1	3
59	должна быть	3	3
60	имя свободы	1	3
61	она не	1	3
62	тому как	4	3
63	в ее	1	3
64	что такое	2	3
65	за пределы	3	3
66	дня и	1	3
67	стремится к	1	3
68	подобно тому	4	3
69	в истории	1	3
70	с другой	11	3
71	в основе	5	3
72	в россии	2	3
73	сказать что	1	3
74	наряду с	1	3
75	духа и	1	3
76	с тем	2	3
77	к жизни	2	3
78	не есть	2	3
79	в своей	5	3
80	в мире	9	3
81	как в	5	3
82	жизни в	5	3
83	революции и	1	3
84	перейти к	1	3
85	истории это	1	3
86	но и	25	3
87	это было	1	3
88	к ее	1	3
89	жизни не	2	3
90	к тому	3	3
91	человека и	2	3
92	еще не	4	3
93	к подлинному	1	2
94	все они	2	2
95	более не	2	2
96	и от	1	2
97	культуры нового	3	2
98	ни к	1	2
99	в центре	1	2
100	права на	4	2
101	и что	2	2
102	не могли	1	2
103	и было	1	2
104	духовной жизни	4	2
105	с одной	9	2
106	хотя бы	3	2
107	такого рода	18	2
108	мы не	5	2
109	того чтобы	1	2
110	вот почему	1	2
111	которых не	1	2
112	так и	7	2
113	нашего времени	2	2
114	как это	9	2
115	самой жизни	1	2
116	жизни все	1	2
117	одной стороны	8	2
118	можно было	3	2
119	свободы от	4	2
120	не ставит	1	2
121	другой стороны	5	2
122	с их	3	2
123	у него	5	2
124	и общества	1	2
125	а в	5	2
126	в обществе	1	2
127	свободы в	1	2
128	все время	1	2
129	и даже	9	2
130	люди не	1	2
131	и с	4	2
132	мы говорим	1	2
133	вернуться к	1	2
134	по существу	4	2
135	жизни как	3	2
136	для этого	5	2
137	нет и	1	2
138	xviii века	2	2
139	могут быть	4	2
140	и культуры	3	2
141	в себе	8	2
142	том чтобы	1	2
143	я условно	1	2
144	и на	5	2
145	быть в	1	2
146	призыв к	1	2
147	уже не	9	2
148	я не	8	2
149	не знал	1	2
150	времени в	1	2
151	все эти	2	2
152	есть в	1	2
153	же как	3	2
154	такой же	3	2
155	вместе с	5	2
156	в духовной	2	2
157	который в	2	2
158	одна из	8	2
159	нового типа	2	2
160	мира и	1	2
161	роль в	2	2
162	в употреблении	1	2
163	как будто	2	2
164	должно стать	2	2
165	но не	8	2
166	из глубины	1	2
167	в то	12	2
168	должно было	1	2
169	в новом	1	2
170	том что	19	2
171	бытия в	1	2
172	мир и	2	2
173	так же	1	2
174	можно назвать	1	2
175	но для	1	2
176	в одну	1	2
177	себя в	7	2
178	но в	5	2
179	и т.п	14	2
180	мысли и	1	2
181	обращение к	1	2
182	не к	3	2
183	к более	1	2
184	в той	1	1
185	все в	1	1
186	всех своих	3	1
187	в советской	1	1
188	своего рода	22	1
189	войне и	2	1
190	необходимой для	1	1
191	в самом	4	1
192	во всем	1	1
193	к одному	1	1
194	нет ничего	2	1
195	еще при	1	1
196	ее на	1	1
197	и того	2	1
198	но тут	1	1
199	как океан	1	1
200	последних вопросов	1	1
201	можно сказать	1	1
202	то он	3	1
203	все что	3	1
204	человек как	1	1
205	человека так	1	1
206	человека в	5	1
207	на человека	1	1
208	для всех	5	1
209	мира нового	1	1
210	это конечно	1	1
211	до сих	1	1
212	мире а	1	1
213	а к	2	1
214	содержания жизни	1	1
215	и более	1	1
216	и этот	1	1
217	в котором	1	1
218	освобождения от	2	1
219	по преимуществу	6	1
220	жизни для	1	1
221	значение в	1	1
222	слова все	1	1
223	то это	2	1
224	выходит за	1	1
225	как другие	1	1
226	в статье	2	1
227	что этот	1	1
228	отличие от	6	1
229	что будет	1	1
230	мир в	5	1
231	глубине своей	1	1
232	от жизни	2	1
233	же и	3	1
234	нельзя сказать	1	1
235	они не	1	1
236	из них	5	1
237	советской россии	1	1
238	все еще	2	1
239	который не	1	1
240	свидетельствует о	3	1
241	культуре и	2	1
242	нас и	1	1
243	жизни а	1	1
244	бог и	1	1
245	которая в	3	1
246	переходит в	1	1
247	он легко	1	1
248	уже в	7	1
249	эти слова	2	1
250	во власти	1	1
251	к себе	3	1
252	в свою	2	1
253	в значительной	1	1
254	в состоянии	1	1
255	для себя	6	1
256	из этих	2	1
257	во всяком	3	1
258	том числе	2	1
259	русского народа	1	1
260	можно лишь	1	1
261	культуры мы	1	1
262	процесс в	1	1
263	есть бог	1	1
264	земли и	1	1
265	не должно	1	1
266	одну из	2	1
267	с миром	5	1
268	путь которым	1	1
269	для того	2	1
270	он нуждается	1	1
271	это я	1	1
272	не по	2	1
273	быть не	2	1
274	воспринимаются как	1	1
275	вся жизнь	1	1
276	этой системе	1	1
277	не для	2	1
278	религиозного сознания	1	1
279	пред этой	1	1
280	власть над	1	1
281	думаю что	1	1
282	лишь для	1	1
283	не всегда	1	1
284	из их	1	1
285	в этот	1	1
286	истории он	1	1
287	в одиночестве	1	1
288	это уже	2	1
289	потому оно	1	1
290	он и	5	1
291	было бы	4	1
292	в сущности	5	1
293	в формах	4	1
294	в недрах	1	1
295	в его	9	1
296	значительной степени	1	1
297	к тем	1	1
298	средних веков	1	1
299	мы в	3	1
300	и вся	1	1
301	и вражды	1	1
302	бытия как	1	1
303	говорить о	1	1
304	не с	2	1
305	бытия и	1	1
306	и ему	1	1
307	есть и	1	1
308	но сам	1	1
309	у нас	5	1
310	и когда	1	1
311	для них	2	1
312	не столько	8	1
313	в ночь	1	1
314	других людей	1	1
315	с другими	1	1
