N	4gram	Losev_Dial	Mirosoze
1	и вместе с тем	1	5
2	в то время как	2	4
3	не что иное как	4	4
4	одна и та же	5	3
5	одной и той же	1	3
6	в том что он	1	3
7	так же как и	1	3
8	есть не что иное	3	3
9	никогда не может быть	1	2
10	все более и более	1	2
11	ни в чем не	1	2
12	познания добра и зла	1	2
13	и никто не может	1	2
14	о том что в	1	2
15	в том смысле что	3	1
16	возможна только потому что	1	1
17	значит ли это что	2	1
18	не сама по себе	1	1
19	сомневаться в том что	1	1
20	в то же время	7	1
21	в них нет ничего	1	1
22	друг к другу как	1	1
23	ни с чем не	1	1
24	это и есть самое	1	1
25	и по сравнению с	1	1
26	но это не значит	1	1
27	это не значит что	3	1
28	и есть то что	1	1
29	в него как в	1	1
30	а между тем в	1	1
31	и вот оказывается что	1	1
32	в которой не только	1	1
33	но я никогда не	1	1
34	о том что все	1	1
35	есть та или иная	1	1
36	ни на что не	3	1
37	не было у него	1	1
38	не было бы и	1	1
39	жизни и в нем	1	1
40	по образу и подобию	1	1
41	когда мы говорим что	1	1
42	до сих пор не	1	1
43	не потому что она	2	1
