N	2gram	Voloshinov	Morfolog
1	может быть	14	61
2	и пр	3	45
3	таким образом	12	26
4	могут быть	2	21
5	так как	9	20
6	мы имеем	2	19
7	не может	16	19
8	в этом	4	18
9	в этих	2	17
10	и в	12	17
11	и не	10	16
12	перед нами	1	14
13	прежде всего	8	14
14	при помощи	1	12
15	связи с	1	12
16	и др	5	12
17	а не	5	11
18	что в	2	10
19	то же	5	10
20	мы увидим	1	10
21	не всегда	1	10
22	но если	1	10
23	в том	6	10
24	так и	4	10
25	что и	2	10
26	то что	5	10
27	все же	4	9
28	с другой	4	9
29	но и	3	9
30	можно наблюдать	1	8
31	не только	4	8
32	в результате	1	8
33	имеем в	2	8
34	мы не	3	8
35	в качестве	1	8
36	но не	2	8
37	как мы	1	8
38	и здесь	2	7
39	не могут	1	7
40	не менее	3	7
41	том что	5	7
42	по отношению	11	7
43	наряду с	1	7
44	точки зрения	14	7
45	как это	2	7
46	тем не	3	7
47	образом мы	1	7
48	отношению к	11	7
49	и другие	2	6
50	подобно тому	1	6
51	о том	3	6
52	как бы	13	6
53	но это	2	6
54	это не	2	6
55	с точки	2	6
56	в нашем	11	6
57	вовсе не	1	6
58	во всех	1	6
59	если мы	1	6
60	в форме	2	6
61	героя в	1	5
62	другой стороны	2	5
63	как в	5	5
64	хотя бы	5	5
65	было бы	1	5
66	к тому	1	5
67	ничего не	2	5
68	что они	1	5
69	хотя и	1	5
70	то мы	1	5
71	ясно что	3	5
72	все эти	3	5
73	между собой	2	5
74	там где	2	5
75	мы можем	2	5
76	тому как	1	5
77	между тем	3	5
78	он не	2	5
79	если же	2	5
80	далеко не	1	5
81	особую форму	1	5
82	в целом	1	5
83	и ее	3	5
84	и к	4	4
85	в некоторых	3	4
86	на этом	1	4
87	как и	5	4
88	самом деле	3	4
89	но все	2	4
90	показать что	1	4
91	уже не	4	4
92	еще не	3	4
93	не является	1	4
94	задачи в	1	4
95	входит в	1	4
96	того чтобы	1	4
97	так же	3	4
98	сказать что	7	4
99	следующим образом	1	4
100	на него	2	4
101	и для	3	4
102	но в	5	4
103	герой и	1	4
104	несмотря на	1	4
105	на самом	4	4
106	его в	4	4
107	к этому	2	4
108	в то	2	4
109	мы уже	1	4
110	можно было	1	4
111	от того	4	4
112	независимо от	2	4
113	то время	1	3
114	та же	1	3
115	предметы и	1	3
116	с этой	2	3
117	что это	1	3
118	это уже	1	3
119	ни в	3	3
120	только в	6	3
121	здесь мы	1	3
122	время как	1	3
123	из двух	1	3
124	но мы	2	3
125	так если	1	3
126	не существует	1	3
127	и что	2	3
128	но эти	1	3
129	и тогда	1	3
130	или не	3	3
131	настоящее время	2	3
132	и вне	1	3
133	здесь не	3	3
134	с его	2	3
135	кроме того	2	3
136	для этой	1	3
137	в настоящее	2	3
138	он должен	3	3
139	к нему	4	3
140	бы то	3	3
141	то в	1	3
142	к герою	3	3
143	они не	1	3
144	того что	3	3
145	у нас	1	3
146	это и	1	3
147	в виде	1	3
148	как же	2	3
149	но для	3	3
150	здесь же	1	3
151	в какой	2	3
152	форма в	2	3
153	героя и	5	3
154	как уже	2	3
155	то ни	3	3
156	если бы	9	3
157	друг друга	1	3
158	мы должны	1	3
159	и тем	1	3
160	не в	4	3
161	и их	1	3
162	в пределах	3	3
163	в большинстве	1	3
164	значение и	1	3
165	но есть	1	3
166	и его	13	3
167	и по	3	3
168	и только	1	3
169	к целому	1	2
170	не так	2	2
171	от него	1	2
172	является в	1	2
173	к другу	1	2
174	друг к	1	2
175	с героем	3	2
176	должна быть	5	2
177	материала но	1	2
178	вопросу о	1	2
179	и дает	2	2
180	или просто	1	2
181	потому не	1	2
182	и тот	1	2
183	не на	1	2
184	оно не	2	2
185	более или	1	2
186	например в	1	2
187	относятся к	1	2
188	себя и	2	2
189	только для	1	2
190	может дать	1	2
191	в каком	3	2
192	а эта	1	2
193	одна форма	1	2
194	на другие	1	2
195	нашу задачу	1	2
196	у нее	1	2
197	во всяком	1	2
198	его и	1	2
199	можно сказать	5	2
200	в данном	2	2
201	в основе	1	2
202	и более	3	2
203	что мы	5	2
204	как например	1	2
205	нельзя было	1	2
206	одной стороны	2	2
207	и иных	1	2
208	в другом	1	2
209	и больше	1	2
210	увидим что	1	2
211	в одном	1	2
212	в обоих	1	2
