N	3gram	Losev_Prob	Freidism
1	с точки зрения	9	15
2	не может быть	5	14
3	в самом деле	1	10
4	в том что	17	9
5	как мы видели	2	8
6	во всяком случае	8	8
7	и прежде всего	3	7
8	в то же	10	6
9	может быть и	3	6
10	можно сказать что	2	5
11	это вовсе не	5	4
12	в своей основе	1	4
13	тем не менее	23	4
14	сам по себе	10	4
15	на самом деле	5	4
16	в зависимости от	3	4
17	в данном случае	12	4
18	в чем не	2	4
19	в таком случае	7	4
20	на первый план	3	4
21	ни в чем	2	4
22	и тот же	1	3
23	только то что	4	3
24	ничего общего не	1	3
25	отнюдь не является	3	3
26	для того чтобы	4	3
27	о том что	8	3
28	один и тот	1	3
29	в собственном смысле	1	3
30	до сих пор	4	3
31	что же касается	5	3
32	и той же	1	3
33	бы то ни	5	3
34	на этот вопрос	1	3
35	так и в	2	3
36	узком смысле слова	2	3
37	одной и той	1	3
38	быть и речи	1	3
39	нам уже приходилось	1	3
40	а вовсе не	3	3
41	мы не можем	2	3
42	если бы он	2	3
43	и не может	1	3
44	как мы надеемся	1	2
45	благодаря тому что	1	2
46	и тем не	6	2
47	ни о каком	2	2
48	ни в каком	8	2
49	точка зрения на	1	2
50	равно как и	2	2
51	и может быть	2	2
52	он не только	1	2
53	ни о какой	1	2
54	в этом смысле	5	2
55	заключается в том	5	2
56	в чем же	2	2
57	то или иное	3	2
58	ни в какой	1	2
59	хотя бы и	2	2
60	здесь в том	2	2
61	вовсе не в	2	2
62	в конце концов	4	2
63	сказать и о	2	2
64	чем он сам	1	2
65	а следовательно и	1	2
66	не отличается от	1	2
67	мы могли бы	3	2
68	но если мы	1	2
69	говорить о том	2	2
70	и ни в	4	2
71	не является чем-то	1	2
72	в таких случаях	2	2
73	по своему содержанию	6	2
74	в узком смысле	1	2
75	в каком случае	5	2
76	что же такое	3	2
77	не чем иным	2	2
78	чем иным как	2	2
79	и все его	1	2
80	у нас в	2	2
81	что и в	3	2
82	в отличие от	2	2
83	ни об его	3	2
84	том что он	2	2
85	таким образом в	1	2
86	то ни было	4	2
87	выходит за пределы	1	2
88	то обстоятельство что	1	2
89	к тому что	1	2
90	самом же деле	7	2
91	это и есть	3	2
92	на самом же	7	2
93	с одной стороны	2	2
94	то что мы	3	2
95	как раз и	5	2
96	то же самое	17	2
97	и т д	20	1
98	другими словами мы	1	1
99	что он не	2	1
100	из них как	1	1
101	в этом случае	8	1
102	в вопросе о	1	1
103	собственном смысле слова	1	1
104	ведь для того	1	1
105	так как всякая	1	1
106	в таких словах	1	1
107	а может быть	2	1
108	того или иного	5	1
109	вот в этой	1	1
110	мы можем не	1	1
111	как будто бы	7	1
112	в которой нам	1	1
113	той или иной	16	1
114	всякий художественный образ	3	1
115	вполне понятно что	1	1
116	вообще не существует	1	1
117	каком случае не	4	1
118	которого она является	1	1
119	новых и новых	1	1
120	себе а в	1	1
121	вовсе не является	4	1
122	для самого себя	2	1
123	ни о каких	2	1
124	и только в	3	1
125	и не допускать	1	1
126	принимать во внимание	1	1
127	только в условиях	1	1
128	но и в	2	1
129	между собой в	1	1
130	от того что	1	1
131	только в его	1	1
132	по крайней мере	9	1
133	к целому ряду	1	1
134	по сравнению с	3	1
135	но и его	1	1
