N	2gram	Berdyaev_M	Vvedenie
1	и т	1	45
2	т е	5	40
3	в том	9	38
4	в этом	34	35
5	и в	61	35
6	может быть	42	30
7	том что	7	30
8	не только	42	26
9	для того	4	23
10	того чтобы	4	22
11	также и	6	20
12	не может	39	19
13	то что	10	19
14	потому что	25	18
15	но также	2	16
16	только в	7	16
17	о том	5	16
18	так как	10	15
19	что в	12	13
20	в самом	15	13
21	и именно	2	13
22	и не	26	13
23	в нем	26	13
24	в его	10	12
25	того что	13	12
26	в их	4	12
27	точки зрения	6	12
28	что такое	2	12
29	как на	1	12
30	то же	4	11
31	в ее	3	11
32	по себе	2	11
33	прежде всего	18	10
34	не в	16	10
35	вопрос о	7	10
36	между тем	2	10
37	в той	3	10
38	уже и	1	10
39	но в	12	10
40	смысле этого	1	9
41	все же	2	9
42	но не	8	9
43	и как	3	9
44	не менее	1	9
45	в истории	2	9
46	это не	10	8
47	можно было	1	8
48	с другой	1	8
49	и то	2	7
50	до сих	5	7
51	смысле слова	7	7
52	как и	14	7
53	самом деле	2	7
54	но и	34	7
55	сих пор	5	7
56	в разных	3	7
57	было бы	11	7
58	о природе	1	7
59	этот вопрос	1	7
60	как бы	10	7
61	той мере	1	6
62	один из	9	6
63	на вопрос	1	6
64	об этом	2	6
65	все это	6	6
66	не могут	6	6
67	его в	6	6
68	на этот	2	6
69	тем что	7	6
70	с тем	10	6
71	в какой	1	6
72	а именно	1	6
73	вместе с	7	6
74	в которых	5	6
75	и это	16	6
76	вовсе не	1	6
77	уже не	8	6
78	мере в	1	6
79	и даже	1	6
80	хотя бы	8	6
81	и что	4	6
82	как он	4	6
83	сказать что	5	6
84	могут быть	2	6
85	но если	4	6
86	и его	13	6
87	в то	2	6
88	а в	4	6
89	культуры как	1	6
90	иное как	4	6
91	на почве	3	5
92	а потому	1	5
93	уже в	6	5
94	с этой	4	5
95	хотя и	2	5
96	науки и	1	5
97	что и	6	5
98	в виду	2	5
99	с их	2	5
100	в них	5	5
101	но с	2	5
102	одним из	2	5
103	что не	3	5
104	не есть	21	5
105	что он	16	5
106	что иное	4	5
107	одно из	3	5
108	от этого	4	5
109	по своему	3	5
110	культуры в	1	5
111	во всяком	1	5
112	наука о	1	5
113	в течение	1	5
114	так что	3	5
115	и тем	1	5
116	а не	36	5
117	говорить о	1	5
118	есть и	6	5
119	не что	4	5
120	т п	1	5
121	быть в	1	5
122	а как	2	5
123	она есть	3	5
124	есть не	9	5
125	всяком случае	1	5
126	ответ на	1	4
127	в более	4	4
128	в центре	4	4
129	только что	1	4
130	этот процесс	5	4
131	тогда когда	2	4
132	любовь к	10	4
133	с точки	1	4
134	этом отношении	1	4
135	о чем	3	4
136	в себе	12	4
137	видит в	1	4
138	должен был	4	4
139	особого рода	1	4
140	но все	1	4
141	в одном	1	4
142	в котором	9	4
143	заключается в	1	4
144	и ее	2	4
145	но ведь	1	4
146	в своей	18	4
147	да и	1	4
148	сравнению с	2	4
149	в чем	3	4
150	должен быть	4	4
151	к тому	6	4
152	еще не	1	4
153	не имеет	7	4
154	в каждом	4	4
155	как о	1	4
156	и заключается	1	4
157	даже и	2	4
158	по сравнению	3	4
159	е в	1	4
160	связана с	9	4
161	по отношению	4	4
162	мы имеем	1	4
163	не вполне	1	4
164	отличие от	1	4
165	истории и	2	4
166	в отличие	1	4
167	той же	3	4
168	отношению к	4	4
169	одной из	1	4
170	в области	1	4
171	все более	1	4
172	наук и	2	4
173	только с	3	4
174	и для	7	4
175	всего того	1	3
176	и к	9	3
177	и этого	1	3
178	в свое	1	3
179	с этим	4	3
180	и здесь	6	3
181	и на	9	3
182	как две	1	3
183	того как	3	3
184	и вот	7	3
185	на том	3	3
186	такого рода	1	3
187	что это	5	3
188	в сущности	2	3
189	говорит о	1	3
190	не как	4	3
191	но что	1	3
192	в отношении	6	3
193	в этих	6	3
194	чем в	3	3
195	если бы	5	3
196	себе что	1	3
197	и сам	1	3
198	а также	1	3
199	в силу	1	3
200	мы говорим	1	3
201	за собой	2	3
202	в конце	11	3
203	вообще не	2	3
204	сама по	1	3
205	находит себе	1	3
206	с прошлым	1	3
207	вряд ли	3	3
208	как в	9	3
209	нисколько не	1	3
210	между ними	1	3
211	зависимости от	1	3
212	в каком	2	3
213	есть еще	1	3
214	он мог	2	3
215	литературы в	1	3
216	бы и	8	3
217	и других	2	3
218	все эти	3	3
219	то это	1	3
220	и есть	21	3
221	на этом	5	3
222	духовной жизни	3	3
223	своей природе	1	3
224	что же	2	3
225	в значительной	2	3
226	входит в	3	3
227	же как	1	3
228	в другом	1	3
229	совсем не	3	3
230	в ней	23	3
231	и тогда	2	3
232	и уже	1	3
233	во второй	1	3
