N	2gram	Bakhtin_Fr	Sovremen
1	не может	5	17
2	может быть	10	12
3	точки зрения	8	12
4	таким образом	22	11
5	мы не	3	9
6	в этом	28	7
7	и в	68	7
8	в результате	1	6
9	каждый раз	1	6
10	как и	17	6
11	ничего не	4	6
12	и не	25	6
13	с точки	4	5
14	прежде всего	23	5
15	все эти	16	5
16	в условиях	3	5
17	и наконец	5	5
18	в дальнейшем	4	4
19	а в	3	4
20	так как	7	4
21	это не	5	4
22	не только	21	4
23	в развитии	2	4
24	с помощью	5	4
25	как бы	7	4
26	нет и	1	4
27	их в	7	4
28	жизни и	6	4
29	вместе с	4	4
30	в целом	3	4
31	в том	12	4
32	из них	8	4
33	точку зрения	1	4
34	мы видели	6	4
35	и к	4	3
36	и потому	6	3
37	видели что	1	3
38	и мы	2	3
39	с самого	1	3
40	уже в	4	3
41	то же	14	3
42	при этом	5	3
43	поэтому мы	1	3
44	не в	2	3
45	а не	6	3
46	в системе	3	3
47	для нас	1	3
48	все это	6	3
49	как он	4	3
50	в одном	7	3
51	у нас	4	3
52	а все	1	3
53	самого начала	1	3
54	в конце	8	3
55	ведь это	3	3
56	в наших	2	3
57	было бы	4	3
58	в первом	1	3
59	ли мы	1	3
60	в этой	15	3
61	он в	2	3
62	и все	16	3
63	в себе	5	3
64	не подлежит	4	3
65	одна из	3	3
66	все же	6	3
67	в области	5	3
68	отличается от	1	3
69	между собой	1	3
70	отнюдь не	1	3
71	в нем	12	3
72	но мы	1	3
73	но в	20	3
74	еще не	3	3
75	с этим	2	2
76	что в	14	2
77	в самом	6	2
78	дает нам	4	2
79	совершенно не	1	2
80	мы видим	9	2
81	значение в	4	2
82	и что	2	2
83	отличие от	3	2
84	такие же	1	2
85	ее на	1	2
86	о значении	1	2
87	с одной	5	2
88	в отличие	3	2
89	такого рода	5	2
90	в свою	3	2
91	из этих	2	2
92	в его	21	2
93	во всяком	2	2
94	мы знаем	3	2
95	не дает	4	2
96	еще более	5	2
97	то ни	1	2
98	что это	4	2
99	или же	2	2
100	быть и	2	2
101	в некоторых	1	2
102	из которых	1	2
103	что такое	1	2
104	он приводит	1	2
105	на его	4	2
106	условиях развития	1	2
107	все те	2	2
108	с общим	1	2
109	в живом	1	2
110	в третьем	1	2
111	на их	4	2
112	у него	14	2
113	для его	1	2
114	не могут	1	2
115	в виде	2	2
116	со всеми	5	2
117	свою очередь	2	2
118	и даже	7	2
119	как известно	3	2
120	самом деле	5	2
121	в которой	6	2
122	но все	5	2
123	как мы	18	2
124	настоящее время	2	2
125	тем же	2	2
126	задача эта	1	2
127	и во	6	2
128	той же	9	2
129	в таком	2	2
130	развития но	1	2
131	в нашем	5	2
132	уже не	2	2
133	не знаем	1	2
134	и есть	5	2
135	и они	5	2
136	что все	2	2
137	или иной	2	2
138	и именно	1	2
139	на этот	1	2
140	такой же	3	2
141	на этом	3	2
142	роль в	7	2
143	не менее	2	2
144	так сказать	7	2
145	и по	4	2
146	времени и	5	2
147	может дать	1	2
148	на котором	2	2
149	между всеми	1	2
150	в настоящее	2	2
151	в один	2	2
152	каждого из	1	2
153	знаем что	1	2
154	на другом	1	2
155	тот же	4	2
156	подлежит сомнению	2	2
157	всяком случае	2	2
158	он должен	1	2
159	во всех	8	1
160	все они	5	1
161	остановимся здесь	1	1
162	бы то	1	1
163	которые в	2	1
164	с двух	1	1
165	к которому	2	1
166	что один	2	1
167	это и	4	1
168	с новой	1	1
169	его и	1	1
170	этом случае	1	1
171	в свое	1	1
172	только не	1	1
173	этого явления	2	1
174	искать в	1	1
175	том случае	1	1
176	образом все	2	1
177	во втором	1	1
178	то он	1	1
179	к различным	1	1
180	но как	5	1
181	и живой	1	1
182	чем же	1	1
183	только из	1	1
184	всего необходимо	3	1
185	в данном	5	1
186	это конечно	1	1
187	до сих	6	1
188	только к	1	1
189	все его	2	1
190	бы к	1	1
191	явлений не	1	1
192	еще раз	2	1
193	и более	2	1
194	по преимуществу	3	1
195	пор в	1	1
196	же они	2	1
197	века с	2	1
198	в действительности	1	1
199	в любом	1	1
200	жизнь человека	1	1
201	все элементы	2	1
202	от его	1	1
203	что иное	1	1
204	которых в	1	1
205	видим что	2	1
206	с жизнью	1	1
207	данном случае	3	1
208	как одной	1	1
209	связи с	8	1
210	например у	1	1
211	здесь нет	2	1
212	раз и	2	1
213	в самый	1	1
214	этот процесс	4	1
215	если в	1	1
216	на язык	1	1
217	очень часто	2	1
218	должно быть	1	1
219	мы уже	19	1
220	это как	2	1
221	такую же	1	1
222	несколько слов	1	1
223	с и	1	1
224	в первый	2	1
225	роли и	1	1
226	в течение	3	1
227	чтобы он	1	1
228	она в	1	1
229	ровно ничего	1	1
230	что уже	2	1
231	от всяких	1	1
232	это типичное	1	1
233	одной стороны	4	1
234	этот метод	1	1
235	она всегда	1	1
236	и другую	1	1
237	мы имеем	2	1
238	и у	2	1
239	быть в	2	1
240	в другом	3	1
241	сложное и	1	1
242	несмотря на	1	1
243	том как	1	1
244	т.е от	1	1
245	в ней	6	1
246	которых он	2	1
247	из всех	4	1
248	состав и	1	1
249	ни было	1	1
250	уже к	2	1
251	элементов и	1	1
252	больших и	1	1
253	что эта	2	1
254	кончается в	1	1
255	этот был	1	1
256	которая нужна	1	1
257	хотя и	2	1
258	человек с	1	1
259	с другой	8	1
260	обычно на	1	1
261	подлежит никакому	2	1
262	в этот	2	1
263	подчеркнуть что	1	1
264	с ним	3	1
265	это уже	2	1
266	на которых	2	1
267	и органов	1	1
268	он не	11	1
269	кроме того	5	1
270	и из	1	1
271	под руководством	2	1
272	таким образам	1	1
273	за собой	1	1
274	он ищет	1	1
275	и т.п	17	1
276	и той	2	1
277	никакому сомнению	2	1
278	одной и	2	1
279	громадную роль	2	1
280	мы снова	1	1
281	какой бы	2	1
282	не погиб	1	1
283	те же	6	1
284	вследствие этого	2	1
285	что дело	1	1
286	ей не	1	1
287	а затем	2	1
288	мы в	1	1
289	и вся	1	1
290	эта сторона	1	1
291	поэтому в	2	1
292	только на	4	1
293	но они	4	1
294	и их	5	1
295	вся остальная	1	1
296	это своеобразное	1	1
297	все что	4	1
298	и та	1	1
299	правда и	1	1
300	для своего	1	1
301	и при	2	1
302	в известном	1	1
303	на самом	7	1
304	здесь в	6	1
305	что каждый	1	1
306	для них	1	1
307	эта система	2	1
308	можно было	3	1
309	и должно	1	1
310	xix века	5	1
311	одновременно как	1	1
312	ни в	6	1
313	но только	2	1
314	метод в	3	1
315	новое время	1	1
316	и от	4	1
317	в начале	5	1
318	нами в	1	1
319	его таким	1	1
320	по отношению	3	1
321	еще в	4	1
322	кто же	1	1
323	значении в	1	1
324	стороны и	2	1
325	большинство других	1	1
326	конечно не	4	1
327	весь мир	4	1
328	и тот	4	1
329	но что	1	1
330	и те	1	1
331	только в	9	1
332	такие определения	1	1
333	в совершенно	1	1
334	углом зрения	1	1
335	все равно	1	1
336	научной работы	1	1
337	же время	13	1
338	не случайно	1	1
339	так же	3	1
340	его в	7	1
341	в обоих	1	1
342	отметить что	2	1
343	в большинстве	3	1
344	в конечном	1	1
345	чем в	2	1
346	в своих	7	1
347	не было	7	1
348	с его	6	1
349	процессе развития	1	1
350	один из	9	1
351	всегда и	1	1
352	в духе	11	1
353	не более	1	1
354	если бы	3	1
355	и несколько	2	1
356	дать не	1	1
357	не знает	1	1
358	или в	3	1
359	этой системы	3	1
360	на которые	1	1
361	в гуще	1	1
362	этого не	1	1
363	очень мало	1	1
364	ни одного	1	1
365	много и	1	1
366	и навсегда	1	1
367	из приведенных	1	1
368	равно как	2	1
369	к одному	2	1
370	наших дней	5	1
371	xviii и	1	1
372	и еще	3	1
373	всех деталях	1	1
374	как их	1	1
375	как его	2	1
376	в эту	7	1
377	на такой	2	1
378	развиваются в	1	1
379	так называемый	1	1
380	вообще и	1	1
381	но эта	1	1
382	объяснить что	2	1
383	для каждого	1	1
384	дело в	4	1
385	во многом	1	1
386	одного из	3	1
387	же как	1	1
388	сказать что	3	1
389	и эта	1	1
390	форму и	2	1
391	быть только	1	1
392	поэтому из	1	1
393	в ту	8	1
394	почему и	1	1
395	сомнению что	3	1
396	жизни как	2	1
397	но для	1	1
398	xviii века	6	1
399	именно в	5	1
400	такое же	1	1
401	и до	14	1
402	времени не	1	1
403	представление о	2	1
404	конечном счете	1	1
405	это делает	1	1
406	принадлежит и	1	1
407	привел его	1	1
408	мы разберем	1	1
409	благодаря этому	1	1
410	и чисто	1	1
411	отношению к	2	1
412	в основу	2	1
413	одной из	3	1
414	бы все	1	1
415	жизнью на	1	1
416	более и	1	1
417	в своем	11	1
418	в корне	3	1
419	измененном виде	1	1
420	она и	1	1
421	необходимости и	1	1
422	мы ее	1	1
423	но ведь	3	1
424	в связи	7	1
425	между ними	4	1
426	эти три	2	1
427	во всей	3	1
428	этот раз	1	1
429	же в	2	1
430	том что	6	1
