N	2gram	Bakhtin_KF	Myslijsy
1	потому что	2	182
2	то есть	1	142
3	и в	28	121
4	может быть	45	107
5	в том	6	103
6	то что	7	83
7	для нас	4	75
8	что в	4	73
9	и не	28	73
10	только в	18	72
11	не только	5	67
12	а не	17	67
13	в этом	15	59
14	но и	9	59
15	том что	4	59
16	так как	1	59
17	то же	5	56
18	не в	13	54
19	если бы	8	53
20	в себе	21	53
21	по себе	2	52
22	не может	29	52
23	того что	3	47
24	в сознании	2	46
25	в душе	1	45
26	было бы	8	45
27	в нем	32	45
28	не есть	22	42
29	как и	5	42
30	вместе с	1	39
31	что и	7	38
32	мы не	3	38
33	при этом	4	37
34	как в	2	37
35	так и	2	37
36	тогда когда	3	36
37	что мы	1	36
38	тем что	3	33
39	по отношению	26	30
40	а в	5	30
41	что не	3	29
42	между тем	4	29
43	но не	12	29
44	вовсе не	7	28
45	мы можем	1	28
46	для него	13	28
47	есть только	1	28
48	с этим	1	27
49	что язык	1	27
50	могут быть	3	27
51	не было	8	26
52	независимо от	3	26
53	отношению к	22	26
54	этого слова	2	25
55	в то	3	24
56	с тем	2	23
57	как бы	9	23
58	от того	3	23
59	не имеет	6	22
60	только тогда	1	22
61	но в	5	22
62	и потому	2	21
63	не менее	3	21
64	мысль о	1	20
65	в одном	5	20
66	это не	10	20
67	в ней	3	20
68	мысли и	1	19
69	и как	2	19
70	но это	6	19
71	с ним	5	19
72	того же	1	19
73	тем не	2	19
74	что это	4	19
75	и то	2	19
76	о том	3	19
77	тем самым	4	19
78	должно быть	6	19
79	в самом	1	18
80	для того	3	18
81	по поводу	1	18
82	в человеке	1	18
83	бы не	3	18
84	в каком	4	18
85	для меня	22	18
86	что я	5	18
87	еще не	5	18
88	точки зрения	13	17
89	со стороны	8	17
90	слова и	1	17
91	в его	42	17
92	во всяком	1	17
93	слова в	2	17
94	не можем	1	17
95	только что	1	16
96	и на	3	16
97	к тому	1	16
98	в своем	17	16
99	нашей мысли	1	16
100	в которой	1	16
101	а только	1	16
