N	3gram	Vinokur_St	VelikijI
1	за то что	5	3
2	к тому что	4	3
3	и т д	25	2
4	в том что	29	2
5	в вопросе о	1	2
6	а между тем	2	2
7	это еще не	1	2
8	вместо того чтобы	1	2
9	но и в	2	2
10	том что он	6	2
11	по этому пути	1	2
12	так и в	5	1
13	и теперь еще	1	1
14	во что бы	1	1
15	что бы то	1	1
16	а к тому	1	1
17	если оно не	1	1
18	для него не	1	1
19	т д и	2	1
20	в этих словах	2	1
21	никогда не было	1	1
22	в конце концов	2	1
23	все это имеет	1	1
24	против того что	1	1
25	вместе с тем	2	1
26	и вместе с	1	1
27	потому что оно	1	1
28	и никогда не	1	1
29	по сравнению с	1	1
30	как и в	2	1
31	и что в	1	1
32	самого себя и	1	1
33	в одно целое	1	1
34	по крайней мере	2	1
35	д и т	1	1
36	не могут и	1	1
37	хотя бы и	2	1
38	и не было	1	1
39	но все же	3	1
40	с другой стороны	8	1
41	в известном смысле	1	1
42	и все это	1	1
43	отказывает в праве	1	1
44	не к тому	1	1
45	и можно ли	1	1
46	бы то ни	2	1
47	после того как	5	1
48	было не по	1	1
49	и в этом	4	1
50	то ни стало	1	1
51	я думаю что	4	1
