N	3gram	Losev_Prob	DiskursI
1	в том что	7	28
2	с одной стороны	4	14
3	не может быть	5	12
4	в данном случае	10	12
5	той или иной	5	10
6	о том что	16	9
7	в то же	4	8
8	в этом отношении	2	8
9	как и в	1	7
10	так и в	2	6
11	к тому же	1	6
12	по крайней мере	8	6
13	с точки зрения	3	6
14	в основе своей	1	6
15	одной стороны и	2	5
16	и как бы	2	5
17	несет в себе	1	5
18	то же самое	9	5
19	с другой стороны	7	5
20	в первую очередь	1	5
21	и может быть	1	5
22	что же касается	3	5
23	дело в том	3	5
24	не только в	3	5
25	подобно тому как	2	5
26	до известной степени	1	4
27	тем не менее	25	4
28	можно сказать что	6	4
29	сказать и о	3	4
30	в частности в	2	4
31	одного и того	2	4
32	а с другой	1	4
33	и того же	2	4
34	и не может	1	4
35	в этом случае	6	4
36	тот или иной	3	4
37	как будто бы	4	3
38	говоря уже о	5	3
39	в том числе	2	3
40	более или менее	7	3
41	и то же	1	3
42	того или иного	6	3
43	в том случае	2	3
44	том числе и	2	3
45	можно говорить о	2	3
46	может претендовать на	1	3
47	на первый взгляд	2	3
48	пока еще не	4	3
49	а не в	1	3
50	мы имеем дело	1	3
51	то есть в	6	3
52	не говоря уже	6	3
53	и в частности	3	3
54	одно и то	1	3
55	содержит в себе	7	3
56	в себе не	3	3
57	том что в	2	3
58	во всяком случае	11	3
59	также и в	2	3
60	это прежде всего	1	3
61	бы то ни	2	2
62	на том что	3	2
63	и требует для	1	2
64	он не может	1	2
65	в художественной литературе	1	2
66	и представляет собой	1	2
67	не совпадает с	2	2
68	в самом общем	1	2
69	сами по себе	5	2
70	из них в	1	2
71	хотя и в	1	2
72	и в то	1	2
73	что в них	1	2
74	а в том	1	2
75	до настоящего времени	1	2
76	в целом и	1	2
77	а не только	2	2
78	не то чтобы	1	2
79	и в том	1	2
80	в том и	1	2
81	и тем же	2	2
82	мысль о том	2	2
83	дело не с	1	2
84	но и в	3	2
85	в том чтобы	1	2
86	обратим внимание на	1	2
87	том что ни	1	2
88	только то что	6	2
89	только в том	4	2
90	и той же	1	2
91	одним и тем	2	2
92	имеем дело не	1	2
93	а потом и	1	2
94	ни одна из	2	2
95	как мы видели	1	2
96	одной и той	1	2
97	но отнюдь не	4	2
98	с самого начала	2	2
99	и то что	9	2
100	далеко не всякая	1	2
101	тем что он	2	2
102	том случае если	1	2
103	и не только	1	2
104	а также и	2	2
105	обратить внимание на	1	2
106	никак не могут	1	1
107	в той или	1	1
108	тем более не	1	1
109	а часто и	2	1
110	так и для	2	1
111	это понятие и	1	1
112	что же это	1	1
113	и тем самым	4	1
114	в литературе и	4	1
115	о том как	2	1
116	в этом смысле	8	1
117	о чем мы	2	1
118	и в другом	1	1
119	в пиковой даме	1	1
120	здесь не только	2	1
121	в романе преступление	1	1
122	ничего не знаем	1	1
123	на известного рода	1	1
124	то или иное	2	1
125	которые лежат в	1	1
126	не было и	1	1
127	крайней мере в	2	1
128	или иной мере	1	1
129	хотя бы и	3	1
130	так и от	1	1
131	в самом деле	4	1
132	но далеко не	1	1
133	для того чтобы	9	1
134	было и не	1	1
135	но в таком	7	1
136	что отнюдь не	2	1
137	содержащий в себе	1	1
138	друг от друга	1	1
139	свидетельствует о том	3	1
140	не может существовать	1	1
141	но это только	2	1
142	в таком случае	14	1
143	друг на друга	1	1
144	начала и конца	1	1
145	да и само	1	1
146	так или иначе	7	1
147	сам по себе	7	1
148	вопрос что же	2	1
149	именно в этой	1	1
150	до сих пор	6	1
151	есть она сама	1	1
152	иметь в виду	4	1
153	может и должен	1	1
154	не существуют в	2	1
155	между тем как	1	1
156	но для этого	1	1
157	и далеко не	1	1
158	тех или иных	2	1
159	тому или иному	1	1
160	для этого она	1	1
161	даже помимо воли	1	1
162	в том или	1	1
163	даже и в	3	1
164	не только на	1	1
165	есть не что	5	1
166	и времени в	1	1
167	и по своему	2	1
168	не может не	1	1
169	преступление и наказание	1	1
170	как раз и	11	1
171	в связи с	7	1
172	и все прочие	1	1
173	на этот раз	2	1
174	или по крайней	4	1
175	не имеют никакого	1	1
176	вовсе не является	6	1
177	то есть без	1	1
178	но все же	1	1
179	все дело в	1	1
180	то есть по	3	1
181	том и в	1	1
182	не жаль мне	1	1
183	себя не только	1	1
184	имея в виду	1	1
185	но это не	1	1
186	и о том	3	1
187	которая пока еще	1	1
188	уже одно это	1	1
189	ни для кого	1	1
190	внешней и внутренней	1	1
191	и в этом	5	1
192	в этом последнем	1	1
193	то есть мы	1	1
194	мы все же	1	1
195	том случае когда	1	1
196	это то что	4	1
197	и не быть	1	1
198	может и не	1	1
199	прежде всего как	2	1
200	лежат в основе	1	1
201	является такого рода	1	1
202	в этих случаях	3	1
203	внимание на то	2	1
204	далеко не всякий	3	1
205	и потому что	1	1
206	вместе с тем	2	1
207	все тот же	1	1
208	к тому или	1	1
209	в основе этих	1	1
210	является в данном	1	1
211	даже сказать что	1	1
212	еще не есть	5	1
213	на русском языке	2	1
214	также и на	3	1
215	и только в	2	1
216	на то что	12	1
217	требует для себя	3	1
218	собой и не	2	1
219	не только от	1	1
220	в этом же	1	1
221	заключается в том	2	1
222	образом свидетельствует о	1	1
223	в частности что	1	1
224	даже не только	1	1
225	в это время	1	1
226	в одно целое	2	1
227	в речевой деятельности	1	1
228	том или ином	1	1
229	в теории литературы	1	1
230	что не только	1	1
231	то что в	4	1
232	и в них	1	1
233	в результате этого	1	1
234	и для искусства	1	1
235	романе преступление и	1	1
236	того и другого	1	1
237	это не только	1	1
238	не является ни	1	1
239	и тем более	2	1
240	того чтобы она	1	1
241	можно даже сказать	2	1
