N	4gram	Tiupa_Teor	VLabPisa
1	в то же время	8	5
2	и в то же	2	3
3	следует иметь в виду	1	2
4	в том числе и	2	2
5	одном и том же	1	2
6	с одной стороны и	1	2
7	приводит к тому что	2	2
8	по слову вяч иванова	1	1
9	как один из видов	1	1
10	с этой точки зрения	2	1
11	иметь в виду что	1	1
12	может быть определена как	1	1
13	имеем в виду не	3	1
14	не следует смешивать с	3	1
15	в том случае если	1	1
16	и по отношению к	1	1
17	духовной жизни личности и	1	1
18	одно и то же	2	1
19	в одном и том	1	1
20	той или иной мере	1	1
21	как это происходит в	1	1
22	в виду что в	1	1
23	в той или иной	1	1
24	но в то же	2	1
25	не может быть и	1	1
26	мы имеем дело с	1	1
27	том или ином отношении	1	1
28	есть в конечном счете	1	1
29	в том или ином	1	1
