N	2gram	Bakhtin_Fr	Hudozhes
1	в качестве	1	31
2	то есть	71	26
3	в мире	1	24
4	и в	105	23
5	не только	24	20
6	в том	17	20
7	при этом	10	19
8	может быть	11	19
9	в частности	6	18
10	и не	34	16
11	но и	20	14
12	а не	1	13
13	но не	7	13
14	а в	4	13
15	в себе	7	13
16	в этом	22	12
17	то же	6	12
18	так и	16	12
19	и его	24	12
20	сводится к	1	11
21	как бы	33	11
22	точки зрения	10	11
23	в его	24	11
24	по отношению	2	10
25	но в	16	10
26	отношению к	2	10
27	своего рода	2	9
28	или иной	5	9
29	том что	9	9
30	с другой	3	9
31	в искусстве	3	9
32	не в	4	9
33	не может	9	9
34	особого рода	1	8
35	в области	10	8
36	в то	5	8
37	что в	4	7
38	в самом	7	7
39	только в	16	7
40	в своей	8	7
41	в основе	8	7
42	и т.п	26	7
43	же время	5	7
44	в отличие	4	7
45	отличие от	5	7
46	не столько	1	7
47	как это	1	7
48	по своей	3	7
49	лишь в	4	7
50	отношение к	9	7
51	другой стороны	1	6
52	в состав	1	6
53	приводит к	2	6
54	уже не	3	6
55	можно сказать	4	6
56	с ее	3	6
57	с его	9	6
58	мы имеем	1	6
59	в ее	5	6
60	в нем	16	6
61	ни в	1	5
62	в виду	5	5
63	не на	2	5
64	что он	5	5
65	не менее	2	5
66	не является	4	5
67	того чтобы	3	5
68	для того	2	5
69	со стороны	1	5
70	как к	3	5
71	для него	12	5
72	того что	3	5
73	прежде всего	26	5
74	в их	6	5
75	а на	1	5
76	между ними	4	5
77	той или	5	5
78	и одновременно	6	5
79	самим собой	1	5
80	тем самым	1	5
81	то что	7	5
82	могут быть	4	5
83	место в	4	5
84	для себя	1	4
85	на смену	1	4
86	например в	3	4
87	отношения к	5	4
88	из которого	1	4
89	еще не	8	4
90	входит в	4	4
91	в другом	2	4
92	сознания в	1	4
93	говорить о	1	4
94	и т.д	2	4
95	сказать что	12	4
96	жизни как	3	4
97	к которому	2	4
98	в своем	11	4
99	к тому	3	4
100	во времени	1	4
101	это не	4	4
102	в отношении	7	4
103	его в	7	4
104	не знает	6	4
105	и как	2	4
106	в этих	6	4
107	так в	4	4
108	в себя	9	4
109	того или	1	4
110	между тем	5	4
111	речи и	2	4
112	он не	3	4
113	в форме	6	4
114	далеко не	6	4
115	со своей	1	4
116	и о	4	4
117	в силу	1	4
118	или иного	1	4
119	хотя и	4	4
120	в той	5	3
121	и к	7	3
122	на деле	1	3
123	человеческой жизни	1	3
124	и на	25	3
125	с этой	1	3
126	литературы как	1	3
127	даже в	6	3
128	о чем	3	3
129	подобно тому	2	3
130	если бы	1	3
131	и сам	2	3
132	есть в	6	3
133	внутренняя граница	1	3
134	в романе	8	3
135	в жизни	7	3
136	имеет место	2	3
137	как и	15	3
138	их в	3	3
139	никто не	1	3
140	себя и	2	3
141	культуры в	4	3
142	в противоположность	3	3
143	к нему	5	3
144	потому что	6	3
145	одной стороны	2	3
146	искусства и	6	3
147	отношении к	1	3
148	литературных произведений	1	3
149	направленной на	1	3
150	в одном	8	3
151	имеем в	2	3
152	известной степени	2	3
153	за пределами	1	3
154	во всей	4	3
155	и внешней	1	3
156	из этих	7	3
157	и для	3	3
158	в системе	3	3
159	таким образом	5	3
160	на языке	2	3
161	по преимуществу	3	3
162	миропорядка и	1	3
163	с одной	2	3
164	том числе	10	3
165	в произведении	1	3
166	в художественной	1	3
167	с точки	6	3
168	как раз	3	3
169	внешнего мира	1	3
170	связи с	5	3
171	но он	5	3
172	искусства как	1	3
173	в таком	2	3
174	в контексте	1	3
175	в связи	2	3
176	или даже	2	3
177	по своему	9	3
178	его эстетической	1	3
179	во всех	13	3
180	как уже	1	3
181	тому как	2	3
182	принадлежит к	1	3
183	в которой	1	3
184	автора и	2	3
185	говоря о	2	3
186	в пределах	3	3
187	того же	1	3
188	перед лицом	2	3
189	человека с	1	3
190	в узком	4	3
191	и прежде	4	3
192	в целом	3	3
193	и ее	1	3
194	мире и	3	2
195	и другие	10	2
196	образом и	1	2
