N	3gram	Savitsky_P	OGranits
1	с точки зрения	3	5
2	не может быть	1	4
3	до тех пор	1	4
4	тех пор пока	1	3
5	есть прежде всего	1	3
6	в том что	4	2
7	с одной стороны	3	2
8	с другой стороны	1	2
9	мы все же	1	1
10	не было бы	1	1
11	в борьбе с	1	1
12	чуть ли не	1	1
13	но в то	1	1
14	в значительной мере	2	1
15	в выборе и	1	1
16	если бы мы	1	1
17	так же как	1	1
18	для того чтобы	1	1
19	том что в	1	1
20	можно говорить о	1	1
21	в собственном смысле	1	1
22	что в этом	1	1
23	в отличие от	1	1
24	же время в	1	1
25	та или иная	1	1
26	гоголь и достоевский	1	1
27	во всей полноте	1	1
28	то же время	7	1
29	более или менее	1	1
30	в то же	7	1
31	мы не сумеем	1	1
32	само по себе	1	1
33	и не может	1	1
