N	2gram	Tiupa_Vved	Vladivir
1	и в	23	116
2	то что	9	71
3	и не	24	67
4	в году	2	65
5	у него	8	65
6	не только	32	65
7	в этом	27	53
8	в том	21	52
9	том что	16	51
10	что в	6	48
11	но и	31	47
12	в конце	3	41
13	в его	9	40
14	и с	2	39
15	то есть	13	37
16	и даже	3	36
17	сказать что	1	36
18	также и	6	36
19	так что	1	35
20	потому что	7	33
21	что он	2	32
22	еще и	2	32
23	не может	14	31
24	о том	7	30
25	только в	9	30
26	как мы	5	29
27	никогда не	6	29
28	для него	5	29
29	вовсе не	1	27
30	а в	15	27
31	не было	5	26
32	а к	3	25
33	в себе	15	25
34	но в	14	25
35	в то	5	25
36	и то	1	25
37	и его	9	25
38	а также	12	24
39	точки зрения	1	23
40	между прочим	1	23
41	он не	6	23
42	может быть	25	23
43	что же	6	23
44	он был	1	22
45	в виде	1	22
46	об этом	5	22
47	в своей	10	21
48	вместе с	2	21
49	а именно	3	20
50	и что	2	20
51	в своем	9	20
52	для нас	4	20
53	прежде всего	11	20
54	не менее	4	19
55	и вообще	1	19
56	по поводу	5	19
57	как раз	5	19
58	тем не	3	19
59	таким образом	6	19
60	в те	1	19
61	в течение	2	19
62	так и	14	19
63	и потому	2	19
64	как и	21	18
65	не мог	2	18
66	не в	12	18
67	хотя и	10	18
68	как это	2	18
69	с его	1	18
70	что и	6	17
71	в этой	2	17
72	едва ли	4	17
73	и если	1	17
74	а не	31	17
75	у нас	4	17
76	все же	10	16
77	уже не	7	16
78	к тому	9	16
79	не есть	2	16
80	совсем не	1	16
81	для себя	2	16
82	и все	8	16
83	было бы	4	16
84	того что	7	16
85	в котором	11	16
86	и к	2	15
87	то же	8	15
88	в своих	5	15
89	к этому	3	15
90	несмотря на	2	15
91	в связи	1	15
92	до конца	5	15
93	но это	4	15
94	того же	1	14
95	в с	1	14
96	все эти	1	14
97	раз и	2	14
98	тут же	3	14
99	его жизни	1	14
100	же касается	2	14
101	в москве	1	14
102	и на	5	14
103	уже в	2	14
104	и как	2	14
105	во всем	1	13
106	в результате	5	13
107	с тем	1	13
108	можно сказать	6	13
109	так же	2	13
110	не просто	2	13
111	на этот	2	13
112	и от	3	13
113	что это	2	13
114	да и	3	13
115	дело в	1	13
116	жизни и	8	13
117	по себе	2	12
118	только на	2	12
119	некоторого рода	1	12
120	и это	2	12
121	и у	2	12
122	и по	3	12
123	в нем	9	12
124	то в	1	12
125	содержит в	1	12
126	всяком случае	3	12
127	ничего не	3	12
128	во всяком	3	12
129	есть только	1	12
130	связи с	2	12
131	при этом	43	11
132	более или	2	11
133	в данном	22	11
134	хотя бы	2	11
135	тому же	6	11
136	на то	3	11
137	и здесь	2	11
138	никак не	2	11
139	в отношении	1	11
140	еще в	3	11
141	№ с	1	11
142	все это	3	11
143	то он	2	11
144	или менее	2	11
145	мы должны	1	11
146	и о	4	11
147	в самом	6	10
148	даже в	3	10
149	что все	1	10
150	такого рода	23	10
151	в качестве	18	10
152	можно было	2	10
153	что для	2	10
154	отнюдь не	14	10
155	к нему	2	10
156	с ним	3	10
157	еще не	8	10
158	собственно говоря	1	10
159	в истории	1	10
160	здесь не	2	10
161	он и	2	10
162	о нем	1	10
163	в ней	5	10
164	но не	9	10
165	о чем	4	9
166	и сам	2	9
167	именно в	1	9
168	с другой	10	9
169	и притом	3	9
170	но он	2	9
171	и можно	1	9
172	а только	3	9
173	но как	1	9
174	а с	4	9
175	этом смысле	1	9
176	из этого	1	9
177	в начале	3	9
178	это время	2	9
179	отношения к	1	9
180	своей жизни	3	9
181	что мы	2	9
182	для меня	1	9
183	это не	7	9
184	же время	4	9
185	ни с	2	9
186	этот раз	3	9
187	что касается	5	9
188	в целом	4	9
189	не столько	5	8
