N	3gram	Propp_Isto	VelikijI
1	за то что	2	3
2	к тому что	1	3
3	и т д	35	2
4	в том что	6	2
5	вместо того чтобы	2	2
6	но и в	4	2
7	том что он	1	2
8	того что он	1	1
9	тем что они	2	1
10	между тем если	1	1
11	т д и	2	1
12	является в двух	1	1
13	другой стороны в	1	1
14	никогда не было	1	1
15	вместе с тем	7	1
16	и приведены к	1	1
17	и вместе с	2	1
18	жизнь так и	1	1
19	мы видим что	12	1
20	да и то	1	1
21	в ней и	1	1
22	я ничего не	1	1
23	не могут быть	1	1
24	в одном образе	1	1
25	во всем мире	1	1
26	но все же	7	1
27	с другой стороны	7	1
28	на этом пути	1	1
29	может ли он	1	1
30	что не всегда	1	1
31	бы то ни	2	1
32	одно целое и	1	1
33	и есть то	1	1
34	после того как	2	1
35	и в этом	1	1
36	что он был	1	1
