N	3gram	Losev_Dial	OGranits
1	с точки зрения	18	5
2	не может быть	4	4
3	одно и то	8	3
4	есть прежде всего	1	3
5	в том что	12	2
6	ничего общего с	3	2
7	не что иное	4	2
8	в зависимости от	2	2
9	в данном случае	1	2
10	но так как	1	2
11	и то же	8	2
12	есть не что	3	2
13	в самом деле	3	2
14	что иное как	4	2
15	с одной стороны	3	2
16	с другой стороны	7	2
17	с самого начала	2	2
18	не было бы	2	1
19	на самом деле	3	1
20	и как бы	1	1
21	вопрос возможна ли	1	1
22	может и должно	1	1
23	лишь с точки	1	1
24	иметь в виду	4	1
25	есть одно и	1	1
26	поставить вопрос возможна	1	1
27	но в то	1	1
28	это конечно не	2	1
29	привести только к	1	1
30	равно как и	1	1
31	вечная и неизменная	1	1
32	подобно тому как	1	1
33	ничего общего не	1	1
34	по себе а	2	1
35	это и не	2	1
36	не имеет и	1	1
37	то не только	1	1
38	как то что	1	1
39	если бы мы	1	1
40	так же как	1	1
41	тех или иных	1	1
42	на то что	4	1
43	для того чтобы	1	1
44	только потому что	4	1
45	том что в	1	1
46	она ни была	1	1
47	от этого и	1	1
48	можно говорить о	1	1
49	есть хотя бы	1	1
50	в чем же	1	1
51	что в основе	1	1
52	хотя бы в	1	1
53	выйти за пределы	1	1
54	то или иное	4	1
55	ту или иную	1	1
56	все же есть	1	1
57	в связи с	3	1
58	то же самое	3	1
59	к тому что	3	1
60	та или иная	4	1
61	движение может иметь	1	1
62	тем не менее	3	1
63	все равно не	1	1
64	несмотря на все	1	1
65	только то что	6	1
66	и вопроса о	1	1
67	связаны между собою	1	1
68	в поэзии же	1	1
69	так как все	1	1
70	в этом отношении	2	1
71	точки зрения и	1	1
72	то же время	8	1
73	далеко не всегда	1	1
74	выключить из него	1	1
75	более или менее	5	1
76	в то же	7	1
77	в какую-то пустоту	1	1
78	само по себе	7	1
79	в виду что	2	1
80	и следовательно в	1	1
81	можно было бы	4	1
82	те или иные	1	1
83	но что же	1	1
84	и вместе с	1	1
85	и не может	1	1
86	потому что они	2	1
87	может привести только	1	1
88	может быть и	6	1
