N	4gram	Tiupa_Narr	FransuaR
1	в то же время	3	55
2	в том числе и	4	17
3	дело в том что	1	13
4	и в то же	1	12
5	в той или иной	2	10
6	той или иной форме	1	6
7	и до наших дней	1	5
8	между жизнью и смертью	1	5
9	один и тот же	1	4
10	одного и того же	1	3
11	не что иное как	2	3
12	той или иной степени	1	3
13	есть не что иное	1	3
14	бы то ни было	3	2
15	ни на что не	1	2
16	то же время они	1	2
17	не может быть и	1	2
18	дело здесь не в	1	2
19	и с точки зрения	1	2
20	какой бы то ни	1	2
21	в том или ином	2	2
22	какая бы то ни	1	1
23	хотя они и не	1	1
24	и какая бы то	1	1
25	в нем не только	1	1
26	как мы уже отмечали	1	1
27	в том что в	1	1
28	между вещами и ценностями	1	1
29	не входит в область	1	1
30	друг от друга в	1	1
31	же как и в	1	1
32	людей так и его	1	1
33	состоит в том что	2	1
34	своего рода ключом к	1	1
35	идет не только о	1	1
36	что в отличие от	1	1
37	бы он ни был	1	1
38	по отношению к которому	2	1
39	хотя оно и не	1	1
40	о том что у	1	1
41	к тому или другому	1	1
42	в том что он	1	1
43	в области художественной литературы	1	1
44	во всех его разнообразных	1	1
45	к тому же в	1	1
46	и в особенности его	1	1
47	в том что оно	1	1
