N	4gram	Voloshinov	KulturaY
1	до тех пор пока	3	7
2	в то же время	1	6
3	с этой точки зрения	1	5
4	состоит в том что	1	4
5	в тех случаях когда	1	3
6	лишь с точки зрения	1	2
7	не что иное как	2	2
8	в собственном смысле слова	1	2
9	один и тот же	1	2
10	и к тому что	1	1
11	в узком смысле слова	1	1
12	отношение к слову в	1	1
13	и то же слово	2	1
14	одно и то же	2	1
15	и не может быть	1	1
16	иметь в виду что	1	1
17	вопрос в чем же	1	1
18	и должно составить предмет	1	1
19	только потому что они	1	1
20	на том основании что	1	1
21	есть не что иное	2	1
