N	3gram	Medvedev_F	VelikijI
1	к тому что	3	3
2	и т д	11	2
3	в том что	3	2
4	вместо того чтобы	1	2
5	но и в	4	2
6	есть непрерывная борьба	1	1
7	так и в	6	1
8	во что бы	3	1
9	что бы то	3	1
10	если оно не	1	1
11	и в сознании	1	1
12	свое и свою	1	1
13	и должна быть	1	1
14	в конце концов	2	1
15	лишь в процессе	2	1
16	вместе с тем	5	1
17	и во всяком	1	1
18	мы видим что	1	1
19	в ней и	2	1
20	по сравнению с	1	1
21	как и в	1	1
22	и то и	1	1
23	что не в	1	1
24	по крайней мере	1	1
25	не могут быть	4	1
26	то и другое	1	1
27	хотя бы и	1	1
28	в жизни и	1	1
29	но все же	2	1
30	очень важное место	1	1
31	с другой стороны	4	1
32	не создает новых	1	1
33	бы то ни	4	1
34	раз и навсегда	2	1
35	и в этом	6	1
36	то ни стало	4	1
