N	3gram	Losev_Prob	RusskieA
1	в том что	7	49
2	и т д	12	21
3	тем не менее	25	14
4	в этом случае	6	12
5	вместе с тем	2	11
6	о том что	16	10
7	том что в	2	9
8	и в других	3	9
9	в том чтобы	1	9
10	для того чтобы	9	8
11	в данном случае	10	8
12	но это не	1	8
13	подобно тому как	2	8
14	в настоящее время	17	7
15	как мы увидим	2	7
16	не может быть	5	6
17	по этому поводу	5	6
18	в это время	1	6
19	как мы видели	1	6
20	так же как	2	6
21	в связи с	7	5
22	к тому что	1	5
23	не что иное	5	4
24	том что это	2	4
25	и многие другие	2	4
26	как мы уже	2	4
27	не только на	1	4
28	что в этом	1	4
29	только тогда когда	4	4
30	в этих случаях	3	4
31	что иное как	5	4
32	на себя внимание	1	4
33	в то время	2	4
34	можно было бы	4	4
35	во всяком случае	11	4
36	один из них	1	4
37	мы не будем	2	4
38	но вместе с	1	3
39	более или менее	7	3
40	было бы значительно	1	3
41	до сих пор	6	3
42	же как и	1	3
43	самом же деле	1	3
44	на самом же	1	3
45	и в том	1	3
46	и потому что	1	3
47	на то что	12	3
48	с точки зрения	3	3
49	бы значительно увеличить	1	3
50	к выводу что	1	3
51	здесь мы имеем	1	3
52	до тех пор	4	3
53	в эту ночь	1	3
54	далеко не все	1	3
55	мы уже видели	1	3
56	и что в	2	3
57	с тем что	2	3
58	может быть и	5	3
59	друг к другу	2	3
60	это не значит	1	2
61	в других случаях	2	2
62	о том как	2	2
63	и т п	1	2
64	мы увидим ниже	2	2
65	об этом не	1	2
66	не значит что	1	2
67	может быть только	2	2
68	из них в	1	2
69	ничего общего с	9	2
70	можно судить по	1	2
71	в советской науке	2	2
72	так как это	1	2
73	в одно место	1	2
74	так как они	2	2
75	но все же	1	2
76	с другой стороны	7	2
77	для этой цели	1	2
78	пока еще не	4	2
79	во многих отношениях	1	2
80	т д и	4	2
81	для нас не	1	2
82	а именно в	1	2
83	как и в	1	2
84	можно сказать что	6	2
85	вопрос о том	2	2
86	на самом деле	6	2
87	это пока еще	1	2
88	иметь в виду	4	2
89	ни одна из	2	2
90	не только в	3	2
91	во всех этих	2	2
92	и в этом	5	2
93	но тем не	1	2
94	всяком случае не	1	2
95	с одной стороны	4	2
96	в этом отношении	2	2
97	того чтобы обеспечить	1	1
98	имеет ничего общего	4	1
99	а может быть	3	1
100	в том же	1	1
101	и как бы	2	1
102	во многих других	1	1
103	как будто бы	4	1
104	нечто совсем другое	1	1
105	во время этого	1	1
106	не отличается ни	1	1
107	никак не может	3	1
108	только о том	1	1
109	у нас в	1	1
110	того или другого	2	1
111	до наших дней	1	1
112	же деле это	1	1
113	а это в	1	1
114	во всех отношениях	1	1
115	для этого требуется	1	1
116	но далеко не	1	1
117	то что обычно	1	1
118	и в другое	1	1
119	как будто ничего	1	1
120	но оно в	1	1
121	потому что она	1	1
122	только потому что	3	1
123	в другое время	1	1
124	или может быть	2	1
125	или на холмах	1	1
126	только тем что	1	1
127	в таком случае	14	1
128	которую можно назвать	1	1
129	одного и того	2	1
130	по тому что	1	1
131	по своему содержанию	3	1
132	сам по себе	7	1
133	представление о них	1	1
134	а между тем	1	1
135	нужно было бы	1	1
136	того что в	1	1
137	даже если бы	3	1
138	и о его	1	1
139	раз и является	2	1
140	между тем как	1	1
141	есть как мы	1	1
142	или даже просто	1	1
143	точно так же	7	1
144	которые фигурируют в	1	1
145	ничего не знает	3	1
146	этом не очень	1	1
147	не может считаться	2	1
148	что в них	1	1
149	можно говорить о	2	1
150	на тот же	1	1
151	к тому же	1	1
152	из них не	1	1
153	на скамейку и	1	1
154	и во многих	2	1
155	однако все эти	1	1
156	не имеет ничего	4	1
157	и того же	2	1
158	для нас важны	1	1
159	имеет и свои	1	1
160	не может не	1	1
161	вот что пишет	1	1
162	то же самое	9	1
163	сама по себе	6	1
164	их в себе	1	1
165	деле это не	1	1
166	гораздо более сложное	1	1
167	но и этого	1	1
168	имея в виду	1	1
169	а именно с	1	1
170	в нашей стране	1	1
171	и один из	1	1
172	прежде всего как	2	1
173	ни о каких	1	1
174	еще нужно разгадать	1	1
175	этому поводу с	1	1
176	тому что в	1	1
177	к нему и	1	1
178	в течение всей	1	1
179	между собою и	1	1
180	так как он	2	1
181	тем что в	2	1
182	одним из самых	1	1
