N	4gram	Losev_Vesc	Narrotol
1	в то же время	4	8
2	дело в том что	4	3
3	и в то же	3	2
4	одного и того же	1	2
5	одно и то же	5	2
6	еще и потому что	1	2
7	с этой точки зрения	3	1
8	в том смысле что	1	1
9	не что иное как	12	1
10	но еще и потому	1	1
11	что с точки зрения	1	1
12	с одной стороны и	1	1
13	уж во всяком случае	1	1
14	не только потому что	1	1
15	в качестве одного из	1	1
16	в первом случае мы	1	1
17	в том что и	1	1
18	бы то ни было	12	1
19	в то время как	4	1
20	и уж во всяком	1	1
21	один и тот же	1	1
22	и в самом деле	1	1
23	в самом деле не	1	1
24	в том что он	2	1
25	свидетельствует о том что	3	1
26	это вовсе еще не	1	1
27	и тем не менее	5	1
28	никак не может быть	1	1
29	какой бы то ни	1	1
30	однако и здесь мы	1	1
31	есть не что иное	8	1
