N	3gram	Trubetskoy	Mirosoze
1	не может быть	4	28
2	в том что	7	9
3	это и есть	1	9
4	для того чтобы	6	7
5	и в этом	1	6
6	вместе с тем	3	6
7	о том что	2	6
8	друг к другу	1	6
9	до сих пор	5	5
10	и вместе с	2	5
11	прежде всего в	1	5
12	что он не	2	4
13	по отношению к	1	4
14	заключает в себе	1	4
15	в любви к	1	4
16	в конце концов	3	4
17	никогда не было	1	4
18	от того что	1	4
19	на то что	4	4
20	можно было бы	3	4
21	решения вопроса о	1	3
22	она не может	2	3
23	как бы не	1	3
24	может быть назван	1	3
25	не может не	3	3
26	к тому что	2	3
27	так же как	1	3
28	в значительной степени	1	3
29	в нем самом	1	3
30	во всяком случае	6	3
31	смысле этого слова	1	2
32	на том основании	1	2
33	в этом направлении	2	2
34	никогда не был	1	2
35	он не может	1	2
36	ни у кого	1	2
37	а с ним	1	2
38	но для этого	1	2
39	и во всем	1	2
40	в самом себе	2	2
41	одну и ту	1	2
42	любви к богу	1	2
43	ни к какому	1	2
44	и не может	3	2
45	том основании что	1	2
46	и во всяком	2	2
47	и только в	1	2
48	и ту же	1	2
49	в себе и	2	2
50	к тому чтобы	4	2
51	ли может быть	1	2
52	и есть самое	1	2
53	тем что он	1	2
54	в этом отношении	1	2
55	лишь в том	2	1
56	вне человека а	1	1
57	он не верит	1	1
58	в своей борьбе	1	1
59	душевной жизни в	1	1
60	вряд ли может	1	1
61	в самом деле	1	1
62	и есть истинная	1	1
63	указывает на то	1	1
64	что все это	1	1
65	все же принципиально	1	1
66	и не допускает	1	1
67	к которой он	4	1
68	друг с другом	14	1
69	в том случае	4	1
70	возможно лишь при	4	1
71	на свою родину	1	1
72	а во имя	1	1
73	а между тем	5	1
74	россии а в	2	1
75	речь идет о	1	1
76	многие из нас	1	1
77	и тем самым	2	1
78	своей борьбе с	1	1
79	считает себя принадлежащим	1	1
80	даже и в	1	1
81	к победе над	1	1
82	точки зрения в	1	1
83	и в других	1	1
84	но даже и	1	1
85	роль в истории	1	1
86	но и от	1	1
87	самого себя и	3	1
88	границей и на	1	1
89	по сравнению со	1	1
90	за границей и	1	1
91	духовной культуры в	1	1
92	несмотря на все	1	1
93	человека на земле	1	1
94	не во имя	1	1
95	и в том	2	1
96	ко всему этому	1	1
97	на земле что	1	1
98	лишь тогда когда	1	1
99	за то что	1	1
100	той или иной	3	1
101	и как бы	1	1
102	не только для	1	1
103	и должно быть	1	1
104	и вот в	1	1
105	не только от	1	1
106	с точки зрения	9	1
107	но она не	2	1
108	он верит в	1	1
109	церковь не есть	1	1
110	а следовательно и	2	1
111	сбросить с себя	1	1
112	еще не было	1	1
113	жизни в эпоху	1	1
114	и это особенно	1	1
115	только в этом	1	1
116	он считает себя	1	1
117	в то же	10	1
118	ее он не	1	1
119	в своем сознании	1	1
120	то же время	10	1
121	на самом деле	6	1
122	в этом есть	1	1
123	возможна лишь при	1	1
124	всем существом своим	1	1
125	от этого не	1	1
126	приводит к отрицанию	1	1
127	к богу и	1	1
128	во имя человеколюбия	1	1
129	у него на	1	1
130	есть то что	1	1
131	во всех этих	1	1
132	не будет в	1	1
133	князь мира сего	1	1
134	не вне человека	1	1
135	с самим собой	2	1
136	на точке зрения	1	1
137	таит в себе	1	1
138	ввергнуть его в	1	1
139	к ближнему и	1	1
140	и все же	1	1
141	в нем все	1	1
142	том случае если	3	1
143	сплошь и рядом	1	1
144	это потому что	2	1
145	жизни и в	1	1
146	есть по существу	1	1
147	сама по себе	2	1
148	для настоящего русского	1	1
